Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Cagliari,1,24/02/2020,0,0,0,0,0,0
Cagliari,2,25/02/2020,0,0,0,0,0,0
Cagliari,3,26/02/2020,0,0,0,0,0,0
Cagliari,4,27/02/2020,0,0,0,0,0,0
Cagliari,5,28/02/2020,0,0,0,0,0,0
Cagliari,6,29/02/2020,0,0,0,0,0,0
Cagliari,7,01/03/2020,0,0,0,0,0,0
Cagliari,8,02/03/2020,0,0,0,0,0,0
Cagliari,9,03/03/2020,1,1,0,0,0,0.23199810699999998
Cagliari,10,04/03/2020,1,2,0,0,0,0.46399621399999996
Cagliari,11,05/03/2020,0,2,0,0,0,0.46399621399999996
Cagliari,12,06/03/2020,1,3,0,0,0,0.6959943209999999
Cagliari,13,07/03/2020,0,3,0,0,0,0.6959943209999999
Cagliari,14,08/03/2020,6,9,0,0,0,2.087982962
Cagliari,15,09/03/2020,5,14,0,0,0,3.247973497
Cagliari,16,10/03/2020,1,15,0,0,0,3.479971603
Cagliari,17,11/03/2020,0,15,0,0,0,3.479971603
Cagliari,18,12/03/2020,-4,11,0,0,0,2.551979176
Cagliari,19,13/03/2020,4,15,0,0,0,3.479971603
Cagliari,20,14/03/2020,1,16,0,0,0,3.71196971
Cagliari,21,15/03/2020,2,18,1,1,0.056,4.175965924
Cagliari,22,16/03/2020,6,24,0,1,0.042,5.567954565
Cagliari,23,17/03/2020,3,27,0,1,0.037,6.2639488860000005
Cagliari,24,18/03/2020,5,32,0,1,0.031,7.423939421
Cagliari,25,19/03/2020,9,41,0,1,0.024,9.511922383
Cagliari,26,20/03/2020,2,43,0,1,0.023,9.975918597
Cagliari,27,21/03/2020,2,45,0,1,0.022,10.43991481
Cagliari,28,22/03/2020,7,52,0,1,0.019,12.06390156
Cagliari,29,23/03/2020,9,61,0,1,0.016,14.15188452
Cagliari,30,24/03/2020,3,64,0,1,0.016,14.84787884
Cagliari,31,25/03/2020,10,74,0,1,0.014,17.16785991
