Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Oristano,1,24/02/2020,0,0,0,0,0,0
Oristano,2,25/02/2020,0,0,0,0,0,0
Oristano,3,26/02/2020,0,0,0,0,0,0
Oristano,4,27/02/2020,0,0,0,0,0,0
Oristano,5,28/02/2020,0,0,0,0,0,0
Oristano,6,29/02/2020,0,0,0,0,0,0
Oristano,7,01/03/2020,0,0,0,0,0,0
Oristano,8,02/03/2020,0,0,0,0,0,0
Oristano,9,03/03/2020,0,0,0,0,0,0
Oristano,10,04/03/2020,0,0,0,0,0,0
Oristano,11,05/03/2020,0,0,0,0,0,0
Oristano,12,06/03/2020,0,0,0,0,0,0
Oristano,13,07/03/2020,0,0,0,0,0,0
Oristano,14,08/03/2020,0,0,0,0,0,0
Oristano,15,09/03/2020,1,1,0,0,0,0.63
Oristano,16,10/03/2020,0,1,0,0,0,0.63
Oristano,17,11/03/2020,1,2,0,0,0,1.27
Oristano,18,12/03/2020,0,2,0,0,0,1.27
Oristano,19,13/03/2020,0,2,0,0,0,1.27
Oristano,20,14/03/2020,0,2,0,0,0,1.27
Oristano,21,15/03/2020,0,2,0,0,0,1.27
Oristano,22,16/03/2020,0,2,0,0,0,1.27
Oristano,23,17/03/2020,0,2,0,0,0,1.27
Oristano,24,18/03/2020,1,3,0,0,0,1.9
Oristano,25,19/03/2020,0,3,0,0,0,1.9
Oristano,26,20/03/2020,1,4,0,0,0,2.54
Oristano,27,21/03/2020,0,4,0,0,0,2.54
Oristano,28,22/03/2020,0,4,0,0,0,2.54
Oristano,29,23/03/2020,3,7,0,0,0,4.44
Oristano,30,24/03/2020,0,7,0,0,0,4.44
Oristano,31,25/03/2020,0,7,0,0,0,4.44
Oristano,32,26/03/2020,0,7,0,0,0,4.44
Oristano,33,27/03/2020,2,9,0,0,0,5.71
Oristano,34,28/03/2020,0,9,1,1,0.111,5.71
Oristano,35,29/03/2020,0,9,0,1,0.111,5.71
Oristano,36,30/03/2020,1,10,0,1,0.1,6.34
Oristano,37,31/03/2020,0,10,0,1,0.1,6.34
Oristano,38,01/04/2020,5,15,0,1,0.067,9.51
Oristano,39,02/04/2020,3,18,0,1,0.056,11.41
Oristano,40,03/04/2020,1,19,0,1,0.053,12.05
Oristano,41,04/04/2020,1,20,0,1,0.05,12.68
Oristano,42,05/04/2020,4,24,0,1,0.042,15.22
Oristano,43,06/04/2020,3,27,0,1,0.037,17.12
Oristano,44,07/04/2020,1,28,0,1,0.036,17.75
Oristano,45,08/04/2020,1,29,1,2,0.069,18.39
Oristano,46,09/04/2020,2,31,0,2,0.065,19.66
Oristano,47,10/04/2020,0,31,0,2,0.065,19.66
Oristano,48,11/04/2020,2,33,0,2,0.061,20.92
Oristano,49,12/04/2020,1,34,0,2,0.059,21.56
Oristano,50,13/04/2020,1,35,0,2,0.057,22.19
Oristano,51,14/04/2020,0,35,0,2,0.057,22.19
Oristano,52,15/04/2020,3,38,0,2,0.053,24.1
Oristano,53,16/04/2020,1,39,0,2,0.051,24.73
Oristano,54,17/04/2020,1,40,0,2,0.05,25.36
Oristano,55,18/04/2020,1,41,0,2,0.049,26
Oristano,56,19/04/2020,1,42,0,2,0.048,26.63
Oristano,57,20/04/2020,10,52,0,2,0.038,32.97
Oristano,58,21/04/2020,0,52,0,2,0.038,32.97
Oristano,59,22/04/2020,0,52,0,2,0.038,32.97
Oristano,60,23/04/2020,0,52,1,3,0.058,32.97
Oristano,61,24/04/2020,0,52,0,3,0.058,32.97
Oristano,62,25/04/2020,0,52,0,3,0.058,32.97
Oristano,63,26/04/2020,2,54,0,3,0.056,34.24
Oristano,64,27/04/2020,0,54,0,3,0.056,34.24
Oristano,65,28/04/2020,0,54,0,3,0.056,34.24
Oristano,66,29/04/2020,0,54,0,3,0.056,34.24
Oristano,67,30/04/2020,0,54,0,3,0.056,34.24
Oristano,68,01/05/2020,1,55,0,3,0.055,34.87
Oristano,69,02/05/2020,0,55,0,3,0.055,34.87
Oristano,70,03/05/2020,0,55,0,3,0.055,34.87
Oristano,71,04/05/2020,0,55,0,3,0.055,34.87
Oristano,72,05/05/2020,0,55,0,3,0.055,34.87
Oristano,73,06/05/2020,0,55,0,3,0.055,34.87
Oristano,74,07/05/2020,0,55,0,3,0.055,34.87
Oristano,75,08/05/2020,0,55,0,3,0.055,34.87
Oristano,76,09/05/2020,1,56,0,3,0.054,35.51
Oristano,77,10/05/2020,1,57,0,3,0.053,36.14
Oristano,78,11/05/2020,0,57,0,3,0.053,36.14
Oristano,79,12/05/2020,0,57,0,3,0.053,36.14
Oristano,80,13/05/2020,1,58,0,3,0.052,36.78
Oristano,81,14/05/2020,0,58,0,3,0.052,36.78
Oristano,82,15/05/2020,0,58,0,3,0.052,36.78
Oristano,83,16/05/2020,0,58,0,3,0.052,36.78
Oristano,84,17/05/2020,0,58,0,3,0.052,36.78
Oristano,85,18/05/2020,0,58,0,3,0.052,36.78
Oristano,86,19/05/2020,0,58,0,3,0.052,36.78
Oristano,87,20/05/2020,0,58,0,3,0.052,36.78
Oristano,88,21/05/2020,1,59,1,4,0.068,37.41
Oristano,89,22/05/2020,0,59,0,4,0.068,37.41
Oristano,90,23/05/2020,1,60,0,4,0.067,38.05
Oristano,91,24/05/2020,0,60,0,4,0.067,38.05
Oristano,92,25/05/2020,-1,59,0,4,0.068,37.41
Oristano,93,26/05/2020,0,59,0,4,0.068,37.41
Oristano,94,27/05/2020,0,59,0,4,0.068,37.41
Oristano,95,28/05/2020,0,59,0,4,0.068,37.41
Oristano,96,29/05/2020,0,59,0,4,0.068,37.41
Oristano,97,30/05/2020,0,59,0,4,0.068,37.41
Oristano,98,31/05/2020,0,59,0,4,0.068,37.41
Oristano,99,01/06/2020,0,59,0,4,0.068,37.41
Oristano,100,02/06/2020,0,59,0,4,0.068,37.41
Oristano,101,03/06/2020,0,59,0,4,0.068,37.41
Oristano,102,04/06/2020,0,59,0,4,0.068,37.41
Oristano,103,05/06/2020,0,59,0,4,0.068,37.41
Oristano,104,06/06/2020,1,60,0,4,0.067,38.05
Oristano,105,07/06/2020,0,60,0,4,0.067,38.05
Oristano,106,08/06/2020,0,60,0,4,0.067,38.05
Oristano,107,09/06/2020,0,60,0,4,0.067,38.05
Oristano,108,10/06/2020,0,60,0,4,0.067,38.05
Oristano,109,11/06/2020,-1,59,0,4,0.068,37.41
Oristano,110,12/06/2020,0,59,0,4,0.068,37.41
Oristano,111,13/06/2020,0,59,0,4,0.068,37.41
Oristano,112,14/06/2020,0,59,0,4,0.068,37.41
Oristano,113,15/06/2020,0,59,0,4,0.068,37.41
Oristano,114,16/06/2020,0,59,0,4,0.068,37.41
