Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Pisa,1,24/02/2020,0,0,0,0,0,0
Pisa,2,25/02/2020,0,0,0,0,0,0
Pisa,3,26/02/2020,0,0,0,0,0,0
Pisa,4,27/02/2020,0,0,0,0,0,0
Pisa,5,28/02/2020,0,0,0,0,0,0
Pisa,6,29/02/2020,0,0,0,0,0,0
Pisa,7,01/03/2020,0,0,0,0,0,0
Pisa,8,02/03/2020,0,0,0,0,0,0
Pisa,9,03/03/2020,0,0,0,0,0,0
Pisa,10,04/03/2020,2,2,0,0,0,0.48
Pisa,11,05/03/2020,3,5,0,0,0,1.19
Pisa,12,06/03/2020,3,8,0,0,0,1.91
Pisa,13,07/03/2020,3,11,0,0,0,2.63
Pisa,14,08/03/2020,6,17,0,0,0,4.06
Pisa,15,09/03/2020,3,20,1,1,0.05,4.77
Pisa,16,10/03/2020,11,31,0,1,0.03,7.4
Pisa,17,11/03/2020,3,34,0,1,0.03,8.11
Pisa,18,12/03/2020,0,34,0,1,0.03,8.11
Pisa,19,13/03/2020,17,51,0,1,0.02,12.17
Pisa,20,14/03/2020,11,62,0,1,0.02,14.8
Pisa,21,15/03/2020,9,71,1,2,0.03,16.94
Pisa,22,16/03/2020,7,78,0,2,0.03,18.61
Pisa,23,17/03/2020,23,101,0,2,0.02,24.1
Pisa,24,18/03/2020,23,124,1,3,0.02,29.59
Pisa,25,19/03/2020,22,146,0,3,0.02,34.84
Pisa,26,20/03/2020,34,180,0,3,0.02,42.96
Pisa,27,21/03/2020,31,211,5,8,0.04,50.35
Pisa,28,22/03/2020,23,234,2,10,0.04,55.84
Pisa,29,23/03/2020,32,266,4,14,0.05,63.48
Pisa,30,24/03/2020,19,285,2,16,0.06,68.01
Pisa,31,25/03/2020,32,317,2,18,0.06,75.65
Pisa,32,26/03/2020,33,350,3,21,0.06,83.52
Pisa,33,27/03/2020,0,350,2,23,0.07,83.52
Pisa,34,28/03/2020,48,398,3,26,0.06,94.98
Pisa,35,29/03/2020,34,432,1,27,0.06,103.09
Pisa,36,30/03/2020,14,446,0,27,0.06,106.43
Pisa,37,31/03/2020,25,471,2,29,0.06,112.4
Pisa,38,01/04/2020,20,491,1,30,0.06,117.17
Pisa,39,02/04/2020,24,515,3,33,0.06,122.9
Pisa,40,03/04/2020,4,519,1,34,0.07,123.86
Pisa,41,04/04/2020,8,527,0,34,0.06,125.76
Pisa,42,05/04/2020,17,544,4,38,0.07,129.82
Pisa,43,06/04/2020,16,560,0,38,0.07,133.64
Pisa,44,07/04/2020,24,584,0,38,0.06,139.37
Pisa,45,08/04/2020,8,592,3,41,0.07,141.28
Pisa,46,09/04/2020,14,606,2,43,0.07,144.62
Pisa,47,10/04/2020,7,613,1,44,0.07,146.29
Pisa,48,11/04/2020,23,636,1,45,0.07,151.78
Pisa,49,12/04/2020,41,677,4,49,0.07,161.56
Pisa,50,13/04/2020,17,694,3,52,0.07,165.62
Pisa,51,14/04/2020,33,727,0,52,0.07,173.49
Pisa,52,15/04/2020,6,733,2,54,0.07,174.92
Pisa,53,16/04/2020,17,750,3,57,0.08,178.98
Pisa,54,17/04/2020,16,766,1,58,0.08,182.8
Pisa,55,18/04/2020,8,774,2,60,0.08,184.71
Pisa,56,19/04/2020,4,778,1,61,0.08,185.66
Pisa,57,20/04/2020,26,804,2,63,0.08,191.87
Pisa,58,21/04/2020,7,811,2,65,0.08,193.54
Pisa,59,22/04/2020,7,818,0,65,0.08,195.21
Pisa,60,23/04/2020,5,823,1,66,0.08,196.4
