Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Pistoia,1,24/02/2020,0,0,0,0,0.0,0.0
Pistoia,2,25/02/2020,1,1,0,0,0.0,0.341911903
Pistoia,3,26/02/2020,-1,0,0,0,0.0,0.0
Pistoia,4,27/02/2020,1,1,0,0,0.0,0.341911903
Pistoia,5,28/02/2020,0,1,0,0,0.0,0.341911903
Pistoia,6,29/02/2020,0,1,0,0,0.0,0.341911903
Pistoia,7,01/03/2020,0,1,0,0,0.0,0.341911903
Pistoia,8,02/03/2020,0,1,0,0,0.0,0.341911903
Pistoia,9,03/03/2020,0,1,0,0,0.0,0.341911903
Pistoia,10,04/03/2020,0,1,0,0,0.0,0.341911903
Pistoia,11,05/03/2020,0,1,0,0,0.0,0.341911903
Pistoia,12,06/03/2020,0,1,0,0,0.0,0.341911903
Pistoia,13,07/03/2020,5,6,0,0,0.0,2.051471418
Pistoia,14,08/03/2020,7,13,0,0,0.0,4.444854739
Pistoia,15,09/03/2020,3,16,0,0,0.0,5.470590447999999
Pistoia,16,10/03/2020,5,21,0,0,0.0,7.180149963
Pistoia,17,11/03/2020,11,32,0,0,0.0,10.9411809
Pistoia,18,12/03/2020,11,43,0,0,0.0,14.70221183
Pistoia,19,13/03/2020,5,48,0,0,0.0,16.41177134
Pistoia,20,14/03/2020,15,63,1,1,0.016,21.54044989
Pistoia,21,15/03/2020,16,79,0,1,0.013000000000000001,27.01104034
Pistoia,22,16/03/2020,11,90,0,1,0.011000000000000001,30.77207127
Pistoia,23,17/03/2020,10,100,1,2,0.02,34.1911903
Pistoia,24,18/03/2020,22,122,0,2,0.016,41.71325216
Pistoia,25,19/03/2020,23,145,1,3,0.021,49.57722593
Pistoia,26,20/03/2020,26,171,3,6,0.035,58.46693541
Pistoia,27,21/03/2020,10,181,3,9,0.05,61.88605444
Pistoia,28,22/03/2020,34,215,2,11,0.051,73.51105914
Pistoia,29,23/03/2020,14,229,2,13,0.057,78.29782578
Pistoia,30,24/03/2020,14,243,8,21,0.086,83.08459242
Pistoia,31,25/03/2020,11,254,2,23,0.091,86.84562336
Pistoia,32,26/03/2020,10,264,1,24,0.091,90.26474239
Pistoia,33,27/03/2020,0,264,4,28,0.106,90.26474239
