Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Matera,1,24/02/2020,0,0,0,0,0.0,0.0
Matera,2,25/02/2020,0,0,0,0,0.0,0.0
Matera,3,26/02/2020,0,0,0,0,0.0,0.0
Matera,4,27/02/2020,0,0,0,0,0.0,0.0
Matera,5,28/02/2020,0,0,0,0,0.0,0.0
Matera,6,29/02/2020,0,0,0,0,0.0,0.0
Matera,7,01/03/2020,0,0,0,0,0.0,0.0
Matera,8,02/03/2020,0,0,0,0,0.0,0.0
Matera,9,03/03/2020,0,0,0,0,0.0,0.0
Matera,10,04/03/2020,0,0,0,0,0.0,0.0
Matera,11,05/03/2020,0,0,0,0,0.0,0.0
Matera,12,06/03/2020,1,1,0,0,0.0,0.505282731
Matera,13,07/03/2020,0,1,0,0,0.0,0.505282731
Matera,14,08/03/2020,1,2,0,0,0.0,1.010565462
Matera,15,09/03/2020,1,3,0,0,0.0,1.515848193
Matera,16,10/03/2020,0,3,0,0,0.0,1.515848193
Matera,17,11/03/2020,0,3,0,0,0.0,1.515848193
Matera,18,12/03/2020,0,3,0,0,0.0,1.515848193
Matera,19,13/03/2020,0,3,0,0,0.0,1.515848193
Matera,20,14/03/2020,0,3,0,0,0.0,1.515848193
Matera,21,15/03/2020,1,4,0,0,0.0,2.021130924
Matera,22,16/03/2020,0,4,0,0,0.0,2.021130924
Matera,23,17/03/2020,0,4,0,0,0.0,2.021130924
Matera,24,18/03/2020,1,5,0,0,0.0,2.526413655
Matera,25,19/03/2020,2,7,0,0,0.0,3.536979117
Matera,26,20/03/2020,2,9,0,0,0.0,4.547544579
Matera,27,21/03/2020,-1,8,0,0,0.0,4.042261848
Matera,28,22/03/2020,8,16,0,0,0.0,8.084523695
Matera,29,23/03/2020,2,18,0,0,0.0,9.095089157
Matera,30,24/03/2020,7,25,0,0,0.0,12.63206827
Matera,31,25/03/2020,11,36,0,0,0.0,18.19017831
Matera,32,26/03/2020,12,48,0,0,0.0,24.25357109
Matera,33,27/03/2020,5,53,0,0,0.0,26.77998474
Matera,34,28/03/2020,23,76,0,0,0.0,38.40148755
Matera,35,29/03/2020,8,84,0,0,0.0,42.4437494
Matera,36,30/03/2020,8,92,0,0,0.0,46.48601125
Matera,37,31/03/2020,12,104,0,0,0.0,52.54940402
Matera,38,01/04/2020,10,114,1,1,0.009000000000000001,57.60223133
Matera,39,02/04/2020,4,118,0,1,0.008,59.62336225
Matera,40,03/04/2020,6,124,0,1,0.008,62.65505864
Matera,41,04/04/2020,1,125,0,1,0.008,63.16034137
Matera,42,05/04/2020,11,136,1,2,0.015,68.71845141
Matera,43,06/04/2020,7,143,0,2,0.013999999999999999,72.25543053
Matera,44,07/04/2020,1,144,0,2,0.013999999999999999,72.76071326
Matera,45,08/04/2020,1,145,0,2,0.013999999999999999,73.26599599
Matera,46,09/04/2020,1,146,0,2,0.013999999999999999,73.77127872
Matera,47,10/04/2020,1,147,0,2,0.013999999999999999,74.27656145
Matera,48,11/04/2020,4,151,0,2,0.013000000000000001,76.29769237
Matera,49,12/04/2020,2,153,1,3,0.02,77.30825784
Matera,50,13/04/2020,2,155,0,3,0.019,78.3188233
Matera,51,14/04/2020,0,155,0,3,0.019,78.3188233
Matera,52,15/04/2020,0,155,0,3,0.019,78.3188233
Matera,53,16/04/2020,14,169,0,3,0.018000000000000002,85.39278153
Matera,54,17/04/2020,1,170,0,3,0.018000000000000002,85.89806426
Matera,55,18/04/2020,2,172,1,4,0.023,86.90862972
Matera,56,19/04/2020,2,174,1,5,0.028999999999999998,87.91919519
Matera,57,20/04/2020,0,174,0,5,0.028999999999999998,87.91919519
Matera,58,21/04/2020,3,177,0,5,0.027999999999999997,89.43504338
Matera,59,22/04/2020,4,181,0,5,0.027999999999999997,91.4561743
Matera,60,23/04/2020,2,183,0,5,0.027000000000000003,92.46673976
Matera,61,24/04/2020,2,185,0,5,0.027000000000000003,93.47730523
Matera,62,25/04/2020,1,186,0,5,0.027000000000000003,93.98258796
Matera,63,26/04/2020,2,188,0,5,0.027000000000000003,94.99315342
Matera,64,27/04/2020,0,188,0,5,0.027000000000000003,94.99315342
Matera,65,28/04/2020,0,188,0,5,0.027000000000000003,94.99315342
Matera,66,29/04/2020,0,188,0,5,0.027000000000000003,94.99315342
Matera,67,30/04/2020,1,189,0,5,0.026000000000000002,95.49843615
Matera,68,01/05/2020,1,190,0,5,0.026000000000000002,96.00371888
Matera,69,02/05/2020,2,192,0,5,0.026000000000000002,97.01428434
Matera,70,03/05/2020,6,198,0,5,0.025,100.0459807
Matera,71,04/05/2020,0,198,0,5,0.025,100.0459807
Matera,72,05/05/2020,2,200,0,5,0.025,101.0565462
Matera,73,06/05/2020,2,202,0,5,0.025,102.06711170000001
Matera,74,07/05/2020,0,202,1,6,0.03,102.06711170000001
Matera,75,08/05/2020,0,202,0,6,0.03,102.06711170000001
Matera,76,09/05/2020,0,202,1,7,0.035,102.06711170000001
Matera,77,10/05/2020,2,204,0,7,0.034,103.07767709999999
Matera,78,11/05/2020,1,205,0,7,0.034,103.5829598
Matera,79,12/05/2020,1,206,0,7,0.034,104.0882426
Matera,80,13/05/2020,0,206,0,7,0.034,104.0882426
Matera,81,14/05/2020,0,206,0,7,0.034,104.0882426
Matera,82,15/05/2020,0,206,0,7,0.034,104.0882426
Matera,83,16/05/2020,0,206,0,7,0.034,104.0882426
Matera,84,17/05/2020,1,207,0,7,0.034,104.5935253
Matera,85,18/05/2020,0,207,0,7,0.034,104.5935253
Matera,86,19/05/2020,0,207,0,7,0.034,104.5935253
