Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Potenza,1,24/02/2020,0,0,0,0,0,0
Potenza,2,25/02/2020,0,0,0,0,0,0
Potenza,3,26/02/2020,0,0,0,0,0,0
Potenza,4,27/02/2020,0,0,0,0,0,0
Potenza,5,28/02/2020,0,0,0,0,0,0
Potenza,6,29/02/2020,0,0,0,0,0,0
Potenza,7,01/03/2020,0,0,0,0,0,0
Potenza,8,02/03/2020,0,0,0,0,0,0
Potenza,9,03/03/2020,1,1,0,0,0,0.27
Potenza,10,04/03/2020,0,1,0,0,0,0.27
Potenza,11,05/03/2020,0,1,0,0,0,0.27
Potenza,12,06/03/2020,1,2,0,0,0,0.55
Potenza,13,07/03/2020,0,2,0,0,0,0.55
Potenza,14,08/03/2020,0,2,0,0,0,0.55
Potenza,15,09/03/2020,0,2,0,0,0,0.55
Potenza,16,10/03/2020,2,4,0,0,0,1.1
Potenza,17,11/03/2020,1,5,0,0,0,1.37
Potenza,18,12/03/2020,0,5,0,0,0,1.37
Potenza,19,13/03/2020,2,7,0,0,0,1.92
Potenza,20,14/03/2020,0,7,0,0,0,1.92
Potenza,21,15/03/2020,0,7,0,0,0,1.92
Potenza,22,16/03/2020,1,8,0,0,0,2.19
Potenza,23,17/03/2020,8,16,0,0,0,4.38
Potenza,24,18/03/2020,6,22,0,0,0,6.03
Potenza,25,19/03/2020,8,30,0,0,0,8.22
Potenza,26,20/03/2020,13,43,0,0,0,11.78
Potenza,27,21/03/2020,15,58,0,0,0,15.89
Potenza,28,22/03/2020,7,65,0,0,0,17.81
Potenza,29,23/03/2020,7,72,1,1,0.01,19.73
Potenza,30,24/03/2020,-5,67,0,1,0.01,18.36
Potenza,31,25/03/2020,3,70,0,1,0.01,19.18
Potenza,32,26/03/2020,16,86,0,1,0.01,23.56
Potenza,33,27/03/2020,12,98,2,3,0.03,26.85
Potenza,34,28/03/2020,8,106,0,3,0.03,29.04
Potenza,35,29/03/2020,12,118,1,4,0.03,32.33
Potenza,36,30/03/2020,4,122,1,5,0.04,33.43
Potenza,37,31/03/2020,0,122,2,7,0.06,33.43
Potenza,38,01/04/2020,1,123,1,8,0.06,33.7
Potenza,39,02/04/2020,5,128,1,9,0.07,35.07
Potenza,40,03/04/2020,9,137,1,10,0.07,37.54
Potenza,41,04/04/2020,2,139,0,10,0.07,38.09
Potenza,42,05/04/2020,3,142,1,11,0.08,38.91
Potenza,43,06/04/2020,2,144,0,11,0.08,39.46
Potenza,44,07/04/2020,3,147,1,12,0.08,40.28
Potenza,45,08/04/2020,5,152,0,12,0.08,41.65
Potenza,46,09/04/2020,5,157,1,13,0.08,43.02
Potenza,47,10/04/2020,4,161,0,13,0.08,44.11
Potenza,48,11/04/2020,0,161,2,15,0.09,44.11
Potenza,49,12/04/2020,1,162,0,15,0.09,44.39
Potenza,50,13/04/2020,2,164,0,15,0.09,44.94
Potenza,51,14/04/2020,0,164,1,16,0.1,44.94
Potenza,52,15/04/2020,1,165,2,18,0.11,45.21
Potenza,53,16/04/2020,2,167,1,19,0.11,45.76
Potenza,54,17/04/2020,0,167,0,19,0.11,45.76
Potenza,55,18/04/2020,0,167,0,19,0.11,45.76
Potenza,56,19/04/2020,1,168,0,19,0.11,46.03
Potenza,57,20/04/2020,0,168,0,19,0.11,46.03
Potenza,58,21/04/2020,5,173,0,19,0.11,47.4
Potenza,59,22/04/2020,0,173,0,19,0.11,47.4
Potenza,60,23/04/2020,0,173,0,19,0.11,47.4
Potenza,61,24/04/2020,2,175,0,19,0.11,47.95
Potenza,62,25/04/2020,0,175,1,20,0.11,47.95
Potenza,63,26/04/2020,3,178,0,20,0.11,48.77
Potenza,64,27/04/2020,0,178,0,20,0.11,48.77
Potenza,65,28/04/2020,0,178,0,20,0.11,48.77
Potenza,66,29/04/2020,0,178,0,20,0.11,48.77
Potenza,67,30/04/2020,0,178,0,20,0.11,48.77
Potenza,68,01/05/2020,10,188,0,20,0.11,51.51
Potenza,69,02/05/2020,0,188,0,20,0.11,51.51
Potenza,70,03/05/2020,0,188,0,20,0.11,51.51
Potenza,71,04/05/2020,0,188,0,20,0.11,51.51
Potenza,72,05/05/2020,8,196,0,20,0.1,53.7
Potenza,73,06/05/2020,1,197,0,20,0.1,53.98
Potenza,74,07/05/2020,-16,181,0,20,0.11,49.59
Potenza,75,08/05/2020,-1,180,0,20,0.11,49.32
Potenza,76,09/05/2020,0,180,0,20,0.11,49.32
Potenza,77,10/05/2020,1,181,0,20,0.11,49.59
Potenza,78,11/05/2020,0,181,0,20,0.11,49.59
Potenza,79,12/05/2020,0,181,0,20,0.11,49.59
Potenza,80,13/05/2020,2,183,0,20,0.11,50.14
Potenza,81,14/05/2020,0,183,0,20,0.11,50.14
Potenza,82,15/05/2020,0,183,0,20,0.11,50.14
Potenza,83,16/05/2020,1,184,0,20,0.11,50.42
Potenza,84,17/05/2020,1,185,0,20,0.11,50.69
Potenza,85,18/05/2020,0,185,0,20,0.11,50.69
Potenza,86,19/05/2020,1,186,0,20,0.11,50.96
Potenza,87,20/05/2020,0,186,0,20,0.11,50.96
Potenza,88,21/05/2020,0,186,0,20,0.11,50.96
Potenza,89,22/05/2020,0,186,0,20,0.11,50.96
Potenza,90,23/05/2020,4,190,0,20,0.1,52.06
Potenza,91,24/05/2020,1,191,0,20,0.1,52.33
Potenza,92,25/05/2020,0,191,0,20,0.1,52.33
Potenza,93,26/05/2020,0,191,0,20,0.1,52.33
Potenza,94,27/05/2020,0,191,0,20,0.1,52.33
Potenza,95,28/05/2020,0,191,0,20,0.1,52.33
Potenza,96,29/05/2020,0,191,0,20,0.1,52.33
Potenza,97,30/05/2020,0,191,0,20,0.1,52.33
Potenza,98,31/05/2020,0,191,0,20,0.1,52.33
Potenza,99,01/06/2020,0,191,0,20,0.1,52.33
Potenza,100,02/06/2020,0,191,0,20,0.1,52.33
Potenza,101,03/06/2020,0,191,0,20,0.1,52.33
Potenza,102,04/06/2020,0,191,0,20,0.1,52.33
Potenza,103,05/06/2020,0,191,0,20,0.1,52.33
Potenza,104,06/06/2020,0,191,0,20,0.1,52.33
Potenza,105,07/06/2020,0,191,0,20,0.1,52.33
Potenza,106,08/06/2020,0,191,0,20,0.1,52.33
Potenza,107,09/06/2020,0,191,0,20,0.1,52.33
Potenza,108,10/06/2020,0,191,0,20,0.1,52.33
Potenza,109,11/06/2020,0,191,0,20,0.1,52.33
Potenza,110,12/06/2020,0,191,0,20,0.1,52.33
Potenza,111,13/06/2020,0,191,0,20,0.1,52.33
Potenza,112,14/06/2020,0,191,0,20,0.1,52.33
Potenza,113,15/06/2020,0,191,0,20,0.1,52.33
Potenza,114,16/06/2020,0,191,0,20,0.1,52.33
Potenza,115,17/06/2020,0,191,0,20,0.1,52.33
Potenza,116,18/06/2020,0,191,0,20,0.1,52.33
Potenza,117,19/06/2020,0,191,0,20,0.1,52.33
Potenza,118,20/06/2020,0,191,0,20,0.1,52.33
Potenza,119,21/06/2020,0,191,0,20,0.1,52.33
