Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Venezia,1,24/02/2020,0,0,0,0,0,0
Venezia,2,25/02/2020,7,7,0,0,0,0.82
Venezia,3,26/02/2020,1,8,0,0,0,0.94
Venezia,4,27/02/2020,6,14,0,0,0,1.64
Venezia,5,28/02/2020,1,15,0,0,0,1.76
Venezia,6,29/02/2020,4,19,0,0,0,2.23
Venezia,7,01/03/2020,5,24,0,0,0,2.81
Venezia,8,02/03/2020,24,48,0,0,0,5.62
Venezia,9,03/03/2020,0,48,0,0,0,5.62
Venezia,10,04/03/2020,11,59,0,0,0,6.91
Venezia,11,05/03/2020,14,73,0,0,0,8.55
Venezia,12,06/03/2020,12,85,0,0,0,9.96
Venezia,13,07/03/2020,15,100,0,0,0,11.72
Venezia,14,08/03/2020,26,126,0,0,0,14.77
Venezia,15,09/03/2020,4,130,0,0,0,15.23
Venezia,16,10/03/2020,22,152,0,0,0,17.81
Venezia,17,11/03/2020,27,179,0,0,0,20.98
Venezia,18,12/03/2020,26,205,0,0,0,24.02
Venezia,19,13/03/2020,43,248,0,0,0,29.06
Venezia,20,14/03/2020,34,282,0,0,0,33.05
Venezia,21,15/03/2020,46,328,0,0,0,38.44
Venezia,22,16/03/2020,28,356,0,0,0,41.72
Venezia,23,17/03/2020,22,378,0,0,0,44.3
Venezia,24,18/03/2020,48,426,0,0,0,49.92
Venezia,25,19/03/2020,49,475,0,0,0,55.66
Venezia,26,20/03/2020,99,574,0,0,0,67.27
Venezia,27,21/03/2020,92,666,0,0,0,78.05
Venezia,28,22/03/2020,66,732,0,0,0,85.78
Venezia,29,23/03/2020,67,799,0,0,0,93.63
Venezia,30,24/03/2020,38,837,0,0,0,98.09
Venezia,31,25/03/2020,37,874,0,0,0,102.42
Venezia,32,26/03/2020,46,920,0,0,0,107.81
Venezia,33,27/03/2020,35,955,0,0,0,111.91
Venezia,34,28/03/2020,64,1019,0,0,0,119.41
Venezia,35,29/03/2020,48,1067,0,0,0,125.04
Venezia,36,30/03/2020,40,1107,0,0,0,129.73
Venezia,37,31/03/2020,63,1170,0,0,0,137.11
Venezia,38,01/04/2020,61,1231,0,0,0,144.26
Venezia,39,02/04/2020,62,1293,0,0,0,151.52
Venezia,40,03/04/2020,28,1321,0,0,0,154.8
Venezia,41,04/04/2020,41,1362,0,0,0,159.61
Venezia,42,05/04/2020,63,1425,0,0,0,166.99
Venezia,43,06/04/2020,62,1487,0,0,0,174.26
Venezia,44,07/04/2020,56,1543,0,0,0,180.82
Venezia,45,08/04/2020,87,1630,0,0,0,191.01
Venezia,46,09/04/2020,121,1751,0,0,0,205.19
Venezia,47,10/04/2020,29,1780,0,0,0,208.59
Venezia,48,11/04/2020,103,1883,0,0,0,220.66
Venezia,49,12/04/2020,74,1957,0,0,0,229.33
Venezia,50,13/04/2020,26,1983,0,0,0,232.38
Venezia,51,14/04/2020,25,2008,0,0,0,235.31
Venezia,52,15/04/2020,5,2013,0,0,0,235.9
Venezia,53,16/04/2020,23,2036,0,0,0,238.59
Venezia,54,17/04/2020,60,2096,0,0,0,245.62
Venezia,55,18/04/2020,20,2116,0,0,0,247.97
Venezia,56,19/04/2020,27,2143,0,0,0,251.13
Venezia,57,20/04/2020,34,2177,0,0,0,255.12
Venezia,58,21/04/2020,14,2191,0,0,0,256.76
Venezia,59,22/04/2020,88,2279,0,0,0,267.07
Venezia,60,23/04/2020,29,2308,0,0,0,270.47
Venezia,61,24/04/2020,32,2340,0,0,0,274.22
Venezia,62,25/04/2020,2,2342,0,0,0,274.45
Venezia,63,26/04/2020,5,2347,0,0,0,275.04
Venezia,64,27/04/2020,19,2366,0,0,0,277.26
Venezia,65,28/04/2020,52,2418,0,0,0,283.36
Venezia,66,29/04/2020,7,2425,0,0,0,284.18
Venezia,67,30/04/2020,13,2438,0,0,0,285.7
Venezia,68,01/05/2020,33,2471,0,0,0,289.57
Venezia,69,02/05/2020,16,2487,0,0,0,291.44
Venezia,70,03/05/2020,15,2502,0,0,0,293.2
Venezia,71,04/05/2020,11,2513,0,0,0,294.49
Venezia,72,05/05/2020,6,2519,0,0,0,295.19
Venezia,73,06/05/2020,31,2550,0,0,0,298.83
Venezia,74,07/05/2020,18,2568,0,0,0,300.94
Venezia,75,08/05/2020,7,2575,0,0,0,301.76
Venezia,76,09/05/2020,5,2580,0,0,0,302.34
Venezia,77,10/05/2020,16,2596,0,0,0,304.22
Venezia,78,11/05/2020,3,2599,0,0,0,304.57
Venezia,79,12/05/2020,12,2611,0,0,0,305.97
Venezia,80,13/05/2020,6,2617,0,0,0,306.68
Venezia,81,14/05/2020,5,2622,0,0,0,307.26
Venezia,82,15/05/2020,4,2626,0,0,0,307.73
Venezia,83,16/05/2020,4,2630,0,0,0,308.2
Venezia,84,17/05/2020,2,2632,0,0,0,308.44
Venezia,85,18/05/2020,1,2633,0,0,0,308.55
Venezia,86,19/05/2020,3,2636,0,0,0,308.9
Venezia,87,20/05/2020,4,2640,0,0,0,309.37
Venezia,88,21/05/2020,4,2644,0,0,0,309.84
Venezia,89,22/05/2020,4,2648,0,0,0,310.31
Venezia,90,23/05/2020,1,2649,0,0,0,310.43
Venezia,91,24/05/2020,0,2649,0,0,0,310.43
Venezia,92,25/05/2020,3,2652,0,0,0,310.78
Venezia,93,26/05/2020,5,2657,0,0,0,311.37
Venezia,94,27/05/2020,3,2660,0,0,0,311.72
Venezia,95,28/05/2020,-3,2657,0,0,0,311.37
Venezia,96,29/05/2020,-1,2656,0,0,0,311.25
Venezia,97,30/05/2020,5,2661,0,0,0,311.83
Venezia,98,31/05/2020,0,2661,0,0,0,311.83
Venezia,99,01/06/2020,0,2661,0,0,0,311.83
Venezia,100,02/06/2020,4,2665,0,0,0,312.3
Venezia,101,03/06/2020,0,2665,0,0,0,312.3
Venezia,102,04/06/2020,2,2667,0,0,0,312.54
Venezia,103,05/06/2020,-1,2666,0,0,0,312.42
Venezia,104,06/06/2020,1,2667,0,0,0,312.54
Venezia,105,07/06/2020,1,2668,0,0,0,312.65
Venezia,106,08/06/2020,0,2668,0,0,0,312.65
Venezia,107,09/06/2020,0,2668,0,0,0,312.65
Venezia,108,10/06/2020,3,2671,0,0,0,313.01
Venezia,109,11/06/2020,2,2673,0,0,0,313.24
Venezia,110,12/06/2020,2,2675,0,0,0,313.47
Venezia,111,13/06/2020,-1,2674,0,0,0,313.36
Venezia,112,14/06/2020,4,2678,0,0,0,313.83
Venezia,113,15/06/2020,0,2678,0,0,0,313.83
Venezia,114,16/06/2020,0,2678,0,0,0,313.83
Venezia,115,17/06/2020,1,2679,0,0,0,313.94
Venezia,116,18/06/2020,0,2679,0,0,0,313.94
Venezia,117,19/06/2020,1,2680,0,0,0,314.06
Venezia,118,20/06/2020,0,2680,0,0,0,314.06
Venezia,119,21/06/2020,0,2680,0,0,0,314.06
Venezia,120,22/06/2020,0,2680,0,0,0,314.06
Venezia,121,23/06/2020,1,2681,0,0,0,314.18
Venezia,122,24/06/2020,0,2681,0,0,0,314.18
Venezia,123,25/06/2020,0,2681,0,0,0,314.18
Venezia,124,26/06/2020,0,2681,0,0,0,314.18
Venezia,125,27/06/2020,1,2682,0,0,0,314.3
Venezia,126,28/06/2020,0,2682,0,0,0,314.3
Venezia,127,29/06/2020,0,2682,0,0,0,314.3
Venezia,128,30/06/2020,0,2682,0,0,0,314.3
Venezia,129,01/07/2020,0,2682,0,0,0,314.3
Venezia,130,02/07/2020,0,2682,0,0,0,314.3
Venezia,131,03/07/2020,1,2683,0,0,0,314.41
Venezia,132,04/07/2020,0,2683,0,0,0,314.41
Venezia,133,05/07/2020,1,2684,0,0,0,314.53
Venezia,134,06/07/2020,0,2684,0,0,0,314.53
Venezia,135,07/07/2020,6,2690,0,0,0,315.23
Venezia,136,08/07/2020,-1,2689,0,0,0,315.12
Venezia,137,09/07/2020,3,2692,0,0,0,315.47
Venezia,138,10/07/2020,4,2696,0,0,0,315.94
Venezia,139,11/07/2020,2,2698,0,0,0,316.17
Venezia,140,12/07/2020,1,2699,0,0,0,316.29
Venezia,141,13/07/2020,1,2700,0,0,0,316.4
Venezia,142,14/07/2020,1,2701,0,0,0,316.52
Venezia,143,15/07/2020,1,2702,0,0,0,316.64
Venezia,144,16/07/2020,0,2702,0,0,0,316.64
Venezia,145,17/07/2020,32,2734,0,0,0,320.39
Venezia,146,18/07/2020,2,2736,0,0,0,320.62
Venezia,147,19/07/2020,5,2741,0,0,0,321.21
Venezia,148,20/07/2020,4,2745,0,0,0,321.68
Venezia,149,21/07/2020,1,2746,0,0,0,321.8
Venezia,150,22/07/2020,13,2759,0,0,0,323.32
