Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Belluno,1,24/02/2020,0,0,0,0,0,0
Belluno,2,25/02/2020,0,0,0,0,0,0
Belluno,3,26/02/2020,0,0,0,0,0,0
Belluno,4,27/02/2020,0,0,0,0,0,0
Belluno,5,28/02/2020,0,0,0,0,0,0
Belluno,6,29/02/2020,0,0,0,0,0,0
Belluno,7,01/03/2020,0,0,0,0,0,0
Belluno,8,02/03/2020,3,3,0,0,0,1.48
Belluno,9,03/03/2020,2,5,0,0,0,2.46
Belluno,10,04/03/2020,2,7,0,0,0,3.45
Belluno,11,05/03/2020,0,7,0,0,0,3.45
Belluno,12,06/03/2020,0,7,0,0,0,3.45
Belluno,13,07/03/2020,4,11,0,0,0,5.42
Belluno,14,08/03/2020,12,23,0,0,0,11.33
Belluno,15,09/03/2020,6,29,0,0,0,14.29
Belluno,16,10/03/2020,0,29,0,0,0,14.29
Belluno,17,11/03/2020,1,30,0,0,0,14.78
Belluno,18,12/03/2020,18,48,0,0,0,23.65
Belluno,19,13/03/2020,11,59,0,0,0,29.07
Belluno,20,14/03/2020,19,78,0,0,0,38.43
Belluno,21,15/03/2020,4,82,0,0,0,40.4
Belluno,22,16/03/2020,19,101,0,0,0,49.77
Belluno,23,17/03/2020,8,109,0,0,0,53.71
Belluno,24,18/03/2020,31,140,0,0,0,68.98
Belluno,25,19/03/2020,10,150,0,0,0,73.91
Belluno,26,20/03/2020,45,195,0,0,0,96.08
Belluno,27,21/03/2020,17,212,0,0,0,104.46
Belluno,28,22/03/2020,14,226,0,0,0,111.36
Belluno,29,23/03/2020,28,254,0,0,0,125.15
Belluno,30,24/03/2020,19,273,0,0,0,134.52
Belluno,31,25/03/2020,25,298,0,0,0,146.83
Belluno,32,26/03/2020,15,313,0,0,0,154.23
Belluno,33,27/03/2020,16,329,0,0,0,162.11
Belluno,34,28/03/2020,38,367,0,0,0,180.83
Belluno,35,29/03/2020,29,396,0,0,0,195.12
Belluno,36,30/03/2020,27,423,0,0,0,208.43
Belluno,37,31/03/2020,7,430,0,0,0,211.87
Belluno,38,01/04/2020,30,460,0,0,0,226.66
Belluno,39,02/04/2020,27,487,0,0,0,239.96
Belluno,40,03/04/2020,12,499,0,0,0,245.87
Belluno,41,04/04/2020,23,522,0,0,0,257.21
Belluno,42,05/04/2020,16,538,0,0,0,265.09
Belluno,43,06/04/2020,20,558,0,0,0,274.94
Belluno,44,07/04/2020,19,577,0,0,0,284.31
Belluno,45,08/04/2020,25,602,0,0,0,296.62
Belluno,46,09/04/2020,18,620,0,0,0,305.49
Belluno,47,10/04/2020,29,649,0,0,0,319.78
Belluno,48,11/04/2020,4,653,0,0,0,321.75
Belluno,49,12/04/2020,11,664,0,0,0,327.17
Belluno,50,13/04/2020,22,686,0,0,0,338.01
Belluno,51,14/04/2020,12,698,0,0,0,343.93
Belluno,52,15/04/2020,25,723,0,0,0,356.25
Belluno,53,16/04/2020,32,755,0,0,0,372.01
Belluno,54,17/04/2020,52,807,0,0,0,397.63
Belluno,55,18/04/2020,28,835,0,0,0,411.43
Belluno,56,19/04/2020,21,856,0,0,0,421.78
Belluno,57,20/04/2020,48,904,2,2,0.002,445.43
Belluno,58,21/04/2020,63,967,1,3,0.003,476.47
Belluno,59,22/04/2020,12,979,4,7,0.007,482.38
Belluno,60,23/04/2020,8,987,2,9,0.009,486.33
Belluno,61,24/04/2020,55,1042,1,10,0.01,513.43
Belluno,62,25/04/2020,5,1047,2,12,0.011,515.89
Belluno,63,26/04/2020,3,1050,5,17,0.016,517.37
Belluno,64,27/04/2020,10,1060,1,18,0.017,522.3
Belluno,65,28/04/2020,1,1061,5,23,0.022,522.79
Belluno,66,29/04/2020,23,1084,0,23,0.021,534.12
Belluno,67,30/04/2020,23,1107,5,28,0.025,545.45
Belluno,68,01/05/2020,4,1111,2,30,0.027,547.43
Belluno,69,02/05/2020,13,1124,2,32,0.028,553.83
Belluno,70,03/05/2020,5,1129,1,33,0.029,556.29
Belluno,71,04/05/2020,6,1135,0,33,0.029,559.25
Belluno,72,05/05/2020,5,1140,5,38,0.033,561.71
Belluno,73,06/05/2020,1,1141,3,41,0.036,562.21
Belluno,74,07/05/2020,1,1142,2,43,0.038,562.7
Belluno,75,08/05/2020,3,1145,0,43,0.038,564.18
Belluno,76,09/05/2020,1,1146,3,46,0.04,564.67
Belluno,77,10/05/2020,2,1148,1,47,0.041,565.66
Belluno,78,11/05/2020,0,1148,0,47,0.041,565.66
Belluno,79,12/05/2020,2,1150,2,49,0.043,566.64
Belluno,80,13/05/2020,0,1150,1,50,0.043,566.64
Belluno,81,14/05/2020,1,1151,2,52,0.045,567.13
Belluno,82,15/05/2020,0,1151,0,52,0.045,567.13
Belluno,83,16/05/2020,0,1151,0,52,0.045,567.13
Belluno,84,17/05/2020,2,1153,0,52,0.045,568.12
Belluno,85,18/05/2020,0,1153,0,52,0.045,568.12
Belluno,86,19/05/2020,0,1153,1,53,0.046,568.12
Belluno,87,20/05/2020,0,1153,0,53,0.046,568.12
Belluno,88,21/05/2020,0,1153,0,53,0.046,568.12
Belluno,89,22/05/2020,0,1153,0,53,0.046,568.12
Belluno,90,23/05/2020,0,1153,0,53,0.046,568.12
Belluno,91,24/05/2020,6,1159,0,53,0.046,571.08
Belluno,92,25/05/2020,3,1162,0,53,0.046,572.55
Belluno,93,26/05/2020,0,1162,0,53,0.046,572.55
Belluno,94,27/05/2020,3,1165,0,53,0.045,574.03
Belluno,95,28/05/2020,1,1166,0,53,0.045,574.53
Belluno,96,29/05/2020,-1,1165,0,53,0.045,574.03
Belluno,97,30/05/2020,2,1167,0,53,0.045,575.02
Belluno,98,31/05/2020,3,1170,0,53,0.045,576.5
Belluno,99,01/06/2020,1,1171,0,53,0.045,576.99
Belluno,100,02/06/2020,0,1171,0,53,0.045,576.99
Belluno,101,03/06/2020,2,1173,0,53,0.045,577.97
Belluno,102,04/06/2020,2,1175,0,53,0.045,578.96
Belluno,103,05/06/2020,0,1175,0,53,0.045,578.96
Belluno,104,06/06/2020,1,1176,0,53,0.045,579.45
Belluno,105,07/06/2020,0,1176,1,54,0.046,579.45
Belluno,106,08/06/2020,1,1177,0,54,0.046,579.95
Belluno,107,09/06/2020,0,1177,0,54,0.046,579.95
Belluno,108,10/06/2020,0,1177,0,54,0.046,579.95
Belluno,109,11/06/2020,2,1179,0,54,0.046,580.93
Belluno,110,12/06/2020,0,1179,0,54,0.046,580.93
Belluno,111,13/06/2020,1,1180,0,54,0.046,581.42
Belluno,112,14/06/2020,1,1181,0,54,0.046,581.92
Belluno,113,15/06/2020,0,1181,0,54,0.046,581.92
Belluno,114,16/06/2020,1,1182,0,54,0.046,582.41
Belluno,115,17/06/2020,1,1183,1,55,0.046,582.9
Belluno,116,18/06/2020,0,1183,0,55,0.046,582.9
Belluno,117,19/06/2020,0,1183,0,55,0.046,582.9
Belluno,118,20/06/2020,0,1183,0,55,0.046,582.9
Belluno,119,21/06/2020,2,1185,0,55,0.046,583.89
Belluno,120,22/06/2020,0,1185,0,55,0.046,583.89
Belluno,121,23/06/2020,0,1185,0,55,0.046,583.89
Belluno,122,24/06/2020,0,1185,0,55,0.046,583.89
Belluno,123,25/06/2020,0,1185,0,55,0.046,583.89
Belluno,124,26/06/2020,0,1185,0,55,0.046,583.89
Belluno,125,27/06/2020,1,1186,0,55,0.046,584.38
Belluno,126,28/06/2020,4,1190,0,55,0.046,586.35
Belluno,127,29/06/2020,1,1191,0,55,0.046,586.84
Belluno,128,30/06/2020,0,1191,0,55,0.046,586.84
Belluno,129,01/07/2020,3,1194,0,55,0.046,588.32
Belluno,130,02/07/2020,0,1194,0,55,0.046,588.32
Belluno,131,03/07/2020,0,1194,0,55,0.046,588.32
Belluno,132,04/07/2020,0,1194,0,55,0.046,588.32
Belluno,133,05/07/2020,1,1195,0,55,0.046,588.81
Belluno,134,06/07/2020,0,1195,0,55,0.046,588.81
Belluno,135,07/07/2020,1,1196,1,56,0.047,589.31
Belluno,136,08/07/2020,1,1197,0,56,0.047,589.8
Belluno,137,09/07/2020,0,1197,0,56,0.047,589.8
Belluno,138,10/07/2020,1,1198,0,56,0.047,590.29
Belluno,139,11/07/2020,1,1199,0,56,0.047,590.79
Belluno,140,12/07/2020,1,1200,0,56,0.047,591.28
Belluno,141,13/07/2020,1,1201,0,56,0.047,591.77
Belluno,142,14/07/2020,-1,1200,0,56,0.047,591.28
Belluno,143,15/07/2020,0,1200,0,56,0.047,591.28
Belluno,144,16/07/2020,0,1200,0,56,0.047,591.28
Belluno,145,17/07/2020,0,1200,0,56,0.047,591.28
Belluno,146,18/07/2020,2,1202,0,56,0.047,592.26
Belluno,147,19/07/2020,2,1204,0,56,0.047,593.25
Belluno,148,20/07/2020,0,1204,0,56,0.047,593.25
Belluno,149,21/07/2020,0,1204,0,56,0.047,593.25
Belluno,150,22/07/2020,4,1208,0,56,0.046,595.22
Belluno,151,23/07/2020,3,1211,0,56,0.046,596.7
Belluno,152,24/07/2020,0,1211,0,56,0.046,596.7
Belluno,153,25/07/2020,1,1212,0,56,0.046,597.19
Belluno,154,26/07/2020,0,1212,0,56,0.046,597.19
Belluno,155,27/07/2020,0,1212,0,56,0.046,597.19
Belluno,156,28/07/2020,0,1212,0,56,0.046,597.19
Belluno,157,29/07/2020,0,1212,0,56,0.046,597.19
Belluno,158,30/07/2020,0,1212,0,56,0.046,597.19
Belluno,159,31/07/2020,0,1212,0,56,0.046,597.19
Belluno,160,01/08/2020,0,1212,0,56,0.046,597.19
Belluno,161,02/08/2020,0,1212,0,56,0.046,597.19
Belluno,162,03/08/2020,0,1212,0,56,0.046,597.19
Belluno,163,04/08/2020,0,1212,0,56,0.046,597.19
Belluno,164,05/08/2020,0,1212,0,56,0.046,597.19
Belluno,165,06/08/2020,0,1212,0,56,0.046,597.19
Belluno,166,07/08/2020,0,1212,0,56,0.046,597.19
Belluno,167,08/08/2020,0,1212,0,56,0.046,597.19
Belluno,168,09/08/2020,1,1213,0,56,0.046,597.68
Belluno,169,10/08/2020,0,1213,0,56,0.046,597.68
Belluno,170,11/08/2020,0,1213,0,56,0.046,597.68
Belluno,171,12/08/2020,1,1214,0,56,0.046,598.18
Belluno,172,13/08/2020,1,1215,0,56,0.046,598.67
Belluno,173,14/08/2020,2,1217,0,56,0.046,599.66
Belluno,174,15/08/2020,3,1220,0,56,0.046,601.13
Belluno,175,16/08/2020,0,1220,0,56,0.046,601.13
Belluno,176,17/08/2020,2,1222,0,56,0.046,602.12
Belluno,177,18/08/2020,0,1222,0,56,0.046,602.12
Belluno,178,19/08/2020,6,1228,0,56,0.046,605.08
Belluno,179,20/08/2020,7,1235,0,56,0.045,608.52
Belluno,180,21/08/2020,2,1237,0,56,0.045,609.51
Belluno,181,22/08/2020,4,1241,0,56,0.045,611.48
Belluno,182,23/08/2020,3,1244,0,56,0.045,612.96
Belluno,183,24/08/2020,1,1245,0,56,0.045,613.45
Belluno,184,25/08/2020,3,1248,0,56,0.045,614.93
Belluno,185,26/08/2020,1,1249,0,56,0.045,615.42
Belluno,186,27/08/2020,3,1252,0,56,0.045,616.9
Belluno,187,28/08/2020,5,1257,0,56,0.045,619.36
Belluno,188,29/08/2020,8,1265,0,56,0.044,623.31
Belluno,189,30/08/2020,-1,1264,0,56,0.044,622.81
Belluno,190,31/08/2020,3,1267,0,56,0.044,624.29
Belluno,191,01/09/2020,4,1271,0,56,0.044,626.26
Belluno,192,02/09/2020,0,1271,0,56,0.044,626.26
Belluno,193,03/09/2020,3,1274,0,56,0.044,627.74
Belluno,194,04/09/2020,1,1275,0,56,0.044,628.23
Belluno,195,05/09/2020,2,1277,0,56,0.044,629.22
Belluno,196,06/09/2020,3,1280,0,56,0.044,630.7
Belluno,197,07/09/2020,1,1281,0,56,0.044,631.19
Belluno,198,08/09/2020,1,1282,0,56,0.044,631.68
Belluno,199,09/09/2020,5,1287,0,56,0.044,634.15
Belluno,200,10/09/2020,1,1288,0,56,0.043,634.64
Belluno,201,11/09/2020,5,1293,0,56,0.043,637.1
Belluno,202,12/09/2020,5,1298,0,56,0.043,639.57
Belluno,203,13/09/2020,7,1305,0,56,0.043,643.02
Belluno,204,14/09/2020,1,1306,0,56,0.043,643.51
Belluno,205,15/09/2020,10,1316,0,56,0.043,648.44
Belluno,206,16/09/2020,6,1322,0,56,0.042,651.39
Belluno,207,17/09/2020,7,1329,0,56,0.042,654.84
Belluno,208,18/09/2020,2,1331,0,56,0.042,655.83
Belluno,209,19/09/2020,3,1334,0,56,0.042,657.3
Belluno,210,20/09/2020,2,1336,0,56,0.042,658.29
Belluno,211,21/09/2020,8,1344,0,56,0.042,662.23
Belluno,212,22/09/2020,3,1347,0,56,0.042,663.71
Belluno,213,23/09/2020,6,1353,0,56,0.041,666.67
Belluno,214,24/09/2020,7,1360,0,56,0.041,670.12
Belluno,215,25/09/2020,11,1371,0,56,0.041,675.54
Belluno,216,26/09/2020,1,1372,0,56,0.041,676.03
Belluno,217,27/09/2020,10,1382,0,56,0.041,680.96
Belluno,218,28/09/2020,34,1416,0,56,0.04,697.71
Belluno,219,29/09/2020,7,1423,0,56,0.039,701.16
Belluno,220,30/09/2020,3,1426,0,56,0.039,702.64
Belluno,221,01/10/2020,23,1449,0,56,0.039,713.97
Belluno,222,02/10/2020,5,1454,1,57,0.039,716.43
Belluno,223,03/10/2020,39,1493,0,57,0.038,735.65
Belluno,224,04/10/2020,19,1512,0,57,0.038,745.01
Belluno,225,05/10/2020,26,1538,0,57,0.037,757.82
Belluno,226,06/10/2020,18,1556,0,57,0.037,766.69
Belluno,227,07/10/2020,46,1602,0,57,0.036,789.36
Belluno,228,08/10/2020,39,1641,0,57,0.035,808.57
Belluno,229,09/10/2020,75,1716,0,57,0.033,845.53
Belluno,230,10/10/2020,46,1762,4,61,0.035,868.19
Belluno,231,11/10/2020,46,1808,0,61,0.034,890.86
Belluno,232,12/10/2020,57,1865,0,61,0.033,918.95
Belluno,233,13/10/2020,59,1924,1,62,0.032,948.02
Belluno,234,14/10/2020,50,1974,0,62,0.031,972.65
Belluno,235,15/10/2020,17,1991,2,64,0.032,981.03
Belluno,236,16/10/2020,66,2057,3,67,0.033,1013.55
Belluno,237,17/10/2020,31,2088,1,68,0.033,1028.82
Belluno,238,18/10/2020,54,2142,1,69,0.032,1055.43
Belluno,239,19/10/2020,36,2178,0,69,0.032,1073.17
Belluno,240,20/10/2020,77,2255,1,70,0.031,1111.11
Belluno,241,21/10/2020,63,2318,0,70,0.03,1142.15
Belluno,242,22/10/2020,77,2395,2,72,0.03,1180.09
Belluno,243,23/10/2020,67,2462,0,72,0.029,1213.11
Belluno,244,24/10/2020,101,2563,0,72,0.028,1262.87
Belluno,245,25/10/2020,103,2666,0,72,0.027,1313.62
Belluno,246,26/10/2020,85,2751,0,72,0.026,1355.51
Belluno,247,27/10/2020,84,2835,4,76,0.027,1396.9
Belluno,248,28/10/2020,175,3010,0,76,0.025,1483.12
Belluno,249,29/10/2020,100,3110,3,79,0.025,1532.4
Belluno,250,30/10/2020,133,3243,0,79,0.024,1597.93
Belluno,251,31/10/2020,96,3339,1,80,0.024,1645.23
Belluno,252,01/11/2020,111,3450,0,80,0.023,1699.93
Belluno,253,02/11/2020,58,3508,2,82,0.023,1728.5
Belluno,254,03/11/2020,128,3636,4,86,0.024,1791.57
Belluno,255,04/11/2020,77,3713,2,88,0.024,1829.51
Belluno,256,05/11/2020,155,3868,6,94,0.024,1905.89
Belluno,257,06/11/2020,130,3998,61,155,0.039,1969.94
Belluno,258,07/11/2020,260,4258,6,161,0.038,2098.05
Belluno,259,08/11/2020,268,4526,0,161,0.036,2230.11
Belluno,260,09/11/2020,115,4641,4,165,0.036,2286.77
Belluno,261,10/11/2020,205,4846,6,171,0.035,2387.78
Belluno,262,11/11/2020,286,5132,3,174,0.034,2528.7
Belluno,263,12/11/2020,153,5285,3,177,0.033,2604.09
Belluno,264,13/11/2020,297,5582,3,180,0.032,2750.43
Belluno,265,14/11/2020,210,5792,4,184,0.032,2853.9
Belluno,266,15/11/2020,146,5938,4,188,0.032,2925.84
Belluno,267,16/11/2020,143,6081,2,190,0.031,2996.3
Belluno,268,17/11/2020,167,6248,0,190,0.03,3078.59
Belluno,269,18/11/2020,178,6426,2,192,0.03,3166.3
Belluno,270,19/11/2020,226,6652,0,192,0.029,3277.65
Belluno,271,20/11/2020,205,6857,6,198,0.029,3378.66
Belluno,272,21/11/2020,250,7107,0,198,0.028,3501.85
Belluno,273,22/11/2020,111,7218,0,198,0.027,3556.54
Belluno,274,23/11/2020,152,7370,0,198,0.027,3631.44
Belluno,275,24/11/2020,194,7564,3,201,0.027,3727.03
Belluno,276,25/11/2020,160,7724,0,201,0.026,3805.86
Belluno,277,26/11/2020,146,7870,3,204,0.026,3877.8
Belluno,278,27/11/2020,153,8023,2,206,0.026,3953.19
Belluno,279,28/11/2020,192,8215,3,209,0.025,4047.8
Belluno,280,29/11/2020,186,8401,3,212,0.025,4139.44
Belluno,281,30/11/2020,192,8593,0,212,0.025,4234.05
Belluno,282,01/12/2020,131,8724,0,212,0.024,4298.6
Belluno,283,02/12/2020,119,8843,5,217,0.025,4357.23
Belluno,284,03/12/2020,221,9064,5,222,0.024,4466.12
Belluno,285,04/12/2020,252,9316,5,227,0.024,4590.29
Belluno,286,05/12/2020,247,9563,10,237,0.025,4712
Belluno,287,06/12/2020,345,9908,11,248,0.025,4881.99
Belluno,288,07/12/2020,95,10003,2,250,0.025,4928.8
Belluno,289,08/12/2020,177,10180,5,255,0.025,5016.01
Belluno,290,09/12/2020,90,10270,2,257,0.025,5060.36
Belluno,291,10/12/2020,221,10491,11,268,0.026,5169.25
Belluno,292,11/12/2020,292,10783,4,272,0.025,5313.13
Belluno,293,12/12/2020,255,11038,0,272,0.025,5438.78
Belluno,294,13/12/2020,238,11276,4,276,0.024,5556.05
Belluno,295,14/12/2020,223,11499,1,277,0.024,5665.93
Belluno,296,15/12/2020,171,11670,12,289,0.025,5750.18
Belluno,297,16/12/2020,263,11933,3,292,0.024,5879.77
Belluno,298,17/12/2020,295,12228,3,295,0.024,6025.13
Belluno,299,18/12/2020,193,12421,6,301,0.024,6120.23
Belluno,300,19/12/2020,192,12613,7,308,0.024,6214.83
Belluno,301,20/12/2020,197,12810,4,312,0.024,6311.9
Belluno,302,21/12/2020,136,12946,0,312,0.024,6378.91
Belluno,303,22/12/2020,157,13103,5,317,0.024,6456.27
