Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Padova,1,24/02/2020,0,0,0,0,0,0
Padova,2,25/02/2020,30,30,0,0,0,3.2
Padova,3,26/02/2020,10,40,0,0,0,4.26
Padova,4,27/02/2020,19,59,0,0,0,6.29
Padova,5,28/02/2020,9,68,0,0,0,7.25
Padova,6,29/02/2020,13,81,0,0,0,8.64
Padova,7,01/03/2020,24,105,0,0,0,11.2
Padova,8,02/03/2020,30,135,0,0,0,14.39
Padova,9,03/03/2020,9,144,0,0,0,15.35
Padova,10,04/03/2020,18,162,0,0,0,17.27
Padova,11,05/03/2020,13,175,0,0,0,18.66
Padova,12,06/03/2020,23,198,0,0,0,21.11
Padova,13,07/03/2020,18,216,0,0,0,23.03
Padova,14,08/03/2020,39,255,0,0,0,27.19
Padova,15,09/03/2020,18,273,0,0,0,29.11
Padova,16,10/03/2020,23,296,0,0,0,31.56
Padova,17,11/03/2020,77,373,0,0,0,39.77
Padova,18,12/03/2020,66,439,0,0,0,46.81
Padova,19,13/03/2020,84,523,0,0,0,55.76
Padova,20,14/03/2020,88,611,0,0,0,65.14
Padova,21,15/03/2020,47,658,0,0,0,70.16
Padova,22,16/03/2020,57,715,0,0,0,76.23
Padova,23,17/03/2020,66,781,0,0,0,83.27
Padova,24,18/03/2020,101,882,0,0,0,94.04
Padova,25,19/03/2020,42,924,0,0,0,98.52
Padova,26,20/03/2020,102,1026,0,0,0,109.39
Padova,27,21/03/2020,129,1155,0,0,0,123.15
Padova,28,22/03/2020,122,1277,0,0,0,136.15
Padova,29,23/03/2020,94,1371,0,0,0,146.18
Padova,30,24/03/2020,93,1464,0,0,0,156.09
Padova,31,25/03/2020,172,1636,0,0,0,174.43
Padova,32,26/03/2020,141,1777,0,0,0,189.46
Padova,33,27/03/2020,114,1891,0,0,0,201.62
Padova,34,28/03/2020,118,2009,0,0,0,214.2
Padova,35,29/03/2020,115,2124,0,0,0,226.46
Padova,36,30/03/2020,64,2188,0,0,0,233.29
Padova,37,31/03/2020,76,2264,0,0,0,241.39
Padova,38,01/04/2020,104,2368,0,0,0,252.48
Padova,39,02/04/2020,121,2489,0,0,0,265.38
