Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Treviso,1,24/02/2020,0,0,0,0,0,0
Treviso,2,25/02/2020,1,1,0,0,0,0.11
Treviso,3,26/02/2020,1,2,0,0,0,0.23
Treviso,4,27/02/2020,20,22,0,0,0,2.48
Treviso,5,28/02/2020,1,23,0,0,0,2.59
Treviso,6,29/02/2020,12,35,0,0,0,3.94
Treviso,7,01/03/2020,8,43,0,0,0,4.84
Treviso,8,02/03/2020,29,72,0,0,0,8.11
Treviso,9,03/03/2020,10,82,0,0,0,9.24
Treviso,10,04/03/2020,4,86,0,0,0,9.69
Treviso,11,05/03/2020,3,89,0,0,0,10.02
Treviso,12,06/03/2020,14,103,0,0,0,11.6
Treviso,13,07/03/2020,7,110,0,0,0,12.39
Treviso,14,08/03/2020,16,126,0,0,0,14.19
Treviso,15,09/03/2020,10,136,0,0,0,15.32
Treviso,16,10/03/2020,22,158,0,0,0,17.8
Treviso,17,11/03/2020,27,185,0,0,0,20.84
Treviso,18,12/03/2020,94,279,0,0,0,31.43
Treviso,19,13/03/2020,48,327,0,0,0,36.83
Treviso,20,14/03/2020,49,376,0,0,0,42.35
Treviso,21,15/03/2020,37,413,0,0,0,46.52
Treviso,22,16/03/2020,39,452,0,0,0,50.91
Treviso,23,17/03/2020,50,502,0,0,0,56.54
Treviso,24,18/03/2020,89,591,0,0,0,66.57
Treviso,25,19/03/2020,46,637,0,0,0,71.75
Treviso,26,20/03/2020,82,719,0,0,0,80.99
Treviso,27,21/03/2020,87,806,0,0,0,90.79
Treviso,28,22/03/2020,129,935,0,0,0,105.32
Treviso,29,23/03/2020,64,999,0,0,0,112.52
Treviso,30,24/03/2020,92,1091,0,0,0,122.89
Treviso,31,25/03/2020,86,1177,0,0,0,132.57
Treviso,32,26/03/2020,77,1254,0,0,0,141.25
Treviso,33,27/03/2020,56,1310,0,0,0,147.55
Treviso,34,28/03/2020,49,1359,0,0,0,153.07
Treviso,35,29/03/2020,43,1402,0,0,0,157.92
Treviso,36,30/03/2020,47,1449,0,0,0,163.21
Treviso,37,31/03/2020,73,1522,0,0,0,171.43
Treviso,38,01/04/2020,32,1554,0,0,0,175.04
Treviso,39,02/04/2020,52,1606,0,0,0,180.9
Treviso,40,03/04/2020,51,1657,0,0,0,186.64
Treviso,41,04/04/2020,30,1687,0,0,0,190.02
Treviso,42,05/04/2020,25,1712,0,0,0,192.83
Treviso,43,06/04/2020,14,1726,0,0,0,194.41
Treviso,44,07/04/2020,12,1738,0,0,0,195.76
Treviso,45,08/04/2020,125,1863,0,0,0,209.84
Treviso,46,09/04/2020,43,1906,0,0,0,214.69
Treviso,47,10/04/2020,38,1944,0,0,0,218.97
Treviso,48,11/04/2020,29,1973,0,0,0,222.23
Treviso,49,12/04/2020,10,1983,0,0,0,223.36
Treviso,50,13/04/2020,0,1983,0,0,0,223.36
Treviso,51,14/04/2020,49,2032,0,0,0,228.88
Treviso,52,15/04/2020,1,2033,0,0,0,228.99
Treviso,53,16/04/2020,102,2135,0,0,0,240.48
Treviso,54,17/04/2020,102,2237,0,0,0,251.97
Treviso,55,18/04/2020,63,2300,0,0,0,259.07
Treviso,56,19/04/2020,15,2315,5,5,0.002,260.76
Treviso,57,20/04/2020,10,2325,6,11,0.005,261.88
Treviso,58,21/04/2020,26,2351,5,16,0.007,264.81
Treviso,59,22/04/2020,35,2386,4,20,0.008,268.75
Treviso,60,23/04/2020,9,2395,8,28,0.012,269.77
Treviso,61,24/04/2020,25,2420,11,39,0.016,272.58
Treviso,62,25/04/2020,19,2439,2,41,0.017,274.72
Treviso,63,26/04/2020,14,2453,0,41,0.017,276.3
Treviso,64,27/04/2020,23,2476,12,53,0.021,278.89
Treviso,65,28/04/2020,7,2483,2,55,0.022,279.68
Treviso,66,29/04/2020,4,2487,3,58,0.023,280.13
Treviso,67,30/04/2020,24,2511,3,61,0.024,282.83
Treviso,68,01/05/2020,7,2518,1,62,0.025,283.62
Treviso,69,02/05/2020,21,2539,9,71,0.028,285.99
Treviso,70,03/05/2020,12,2551,0,71,0.028,287.34
Treviso,71,04/05/2020,6,2557,1,72,0.028,288.01
Treviso,72,05/05/2020,3,2560,0,72,0.028,288.35
Treviso,73,06/05/2020,3,2563,2,74,0.029,288.69
Treviso,74,07/05/2020,2,2565,2,76,0.03,288.91
Treviso,75,08/05/2020,23,2588,1,77,0.03,291.51
Treviso,76,09/05/2020,19,2607,3,80,0.031,293.65
Treviso,77,10/05/2020,0,2607,3,83,0.032,293.65
Treviso,78,11/05/2020,2,2609,0,83,0.032,293.87
Treviso,79,12/05/2020,4,2613,3,86,0.033,294.32
Treviso,80,13/05/2020,5,2618,0,86,0.033,294.88
Treviso,81,14/05/2020,3,2621,11,97,0.037,295.22
Treviso,82,15/05/2020,4,2625,0,97,0.037,295.67
Treviso,83,16/05/2020,10,2635,0,97,0.037,296.8
Treviso,84,17/05/2020,2,2637,3,100,0.038,297.02
Treviso,85,18/05/2020,4,2641,0,100,0.038,297.47
Treviso,86,19/05/2020,3,2644,2,102,0.039,297.81
Treviso,87,20/05/2020,4,2648,2,104,0.039,298.26
Treviso,88,21/05/2020,2,2650,1,105,0.04,298.49
Treviso,89,22/05/2020,1,2651,2,107,0.04,298.6
