Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Lecce,1,24/02/2020,0,0,0,0,0,1000000
Lecce,2,25/02/2020,0,0,0,0,0,1000000
Lecce,3,26/02/2020,0,0,0,0,0,1000000
Lecce,4,27/02/2020,0,0,0,0,0,1000000
Lecce,5,28/02/2020,0,0,0,0,0,1000000
Lecce,6,29/02/2020,0,0,0,0,0,1000000
Lecce,7,01/03/2020,0,0,0,0,0,1000000
Lecce,8,02/03/2020,0,0,0,0,0,1000000
Lecce,9,03/03/2020,0,0,0,0,0,1000000
Lecce,10,04/03/2020,1,1,0,0,0,1000000
Lecce,11,05/03/2020,0,1,0,0,0,1000000
Lecce,12,06/03/2020,2,3,0,0,0,1000000
Lecce,13,07/03/2020,1,4,0,0,0,1000000
Lecce,14,08/03/2020,6,10,0,0,0,1000000
Lecce,15,09/03/2020,0,10,0,0,0,1000000
Lecce,16,10/03/2020,0,10,1,1,0.1,1000000
Lecce,17,11/03/2020,2,12,0,1,0.083,1000000
Lecce,18,12/03/2020,6,18,0,1,0.056,1000000
Lecce,19,13/03/2020,1,19,0,1,0.053,1000000
Lecce,20,14/03/2020,5,24,3,4,0.167,1000000
Lecce,21,15/03/2020,14,38,2,6,0.158,1000000
Lecce,22,16/03/2020,0,38,0,6,0.158,1000000
Lecce,23,17/03/2020,24,62,0,6,0.097,1000000
Lecce,24,18/03/2020,3,65,0,6,0.092,1000000
Lecce,25,19/03/2020,6,71,0,6,0.085,1000000
Lecce,26,20/03/2020,17,88,0,6,0.068,1000000
Lecce,27,21/03/2020,15,103,0,6,0.058,1000000
Lecce,28,22/03/2020,17,120,1,7,0.058,1000000
Lecce,29,23/03/2020,29,149,1,8,0.054,1000000
Lecce,30,24/03/2020,12,161,1,9,0.056,1000000
Lecce,31,25/03/2020,3,164,1,10,0.061,1000000
Lecce,32,26/03/2020,13,177,1,11,0.062,1000000
Lecce,33,27/03/2020,38,215,1,12,0.056,1000000
Lecce,34,28/03/2020,24,239,1,13,0.054,1000000
Lecce,35,29/03/2020,0,239,2,15,0.063,1000000
Lecce,36,30/03/2020,54,293,1,16,0.055,1000000
Lecce,37,31/03/2020,10,303,3,19,0.063,1000000
Lecce,38,01/04/2020,18,321,5,24,0.075,1000000
Lecce,39,02/04/2020,32,353,1,25,0.071,1000000
Lecce,40,03/04/2020,6,359,11,36,0.1,1000000
Lecce,41,04/04/2020,3,362,1,37,0.102,1000000
Lecce,42,05/04/2020,6,368,3,40,0.109,1000000
Lecce,43,06/04/2020,10,378,0,40,0.106,1000000
Lecce,44,07/04/2020,6,384,0,40,0.104,1000000
Lecce,45,08/04/2020,5,389,2,42,0.108,1000000
Lecce,46,09/04/2020,6,395,2,44,0.111,1000000
Lecce,47,10/04/2020,8,403,3,47,0.117,1000000
Lecce,48,11/04/2020,15,418,0,47,0.112,1000000
Lecce,49,12/04/2020,0,418,0,47,0.112,1000000
Lecce,50,13/04/2020,6,424,1,48,0.113,1000000
Lecce,51,14/04/2020,1,425,0,48,0.113,1000000
Lecce,52,15/04/2020,1,426,1,49,0.115,1000000
Lecce,53,16/04/2020,1,427,0,49,0.115,1000000
Lecce,54,17/04/2020,7,434,1,50,0.115,1000000
Lecce,55,18/04/2020,9,443,2,52,0.117,1000000
Lecce,56,19/04/2020,8,451,0,52,0.115,1000000
Lecce,57,20/04/2020,1,452,1,53,0.117,1000000
Lecce,58,21/04/2020,0,452,2,55,0.122,1000000
Lecce,59,22/04/2020,9,461,2,57,0.124,1000000
Lecce,60,23/04/2020,5,466,0,57,0.122,1000000
Lecce,61,24/04/2020,0,466,1,58,0.124,1000000
Lecce,62,25/04/2020,4,470,0,58,0.123,1000000
Lecce,63,26/04/2020,5,475,0,58,0.122,1000000
Lecce,64,27/04/2020,1,476,0,58,0.122,1000000
Lecce,65,28/04/2020,4,480,0,58,0.121,1000000
Lecce,66,29/04/2020,4,484,0,58,0.12,1000000
Lecce,67,30/04/2020,3,487,2,60,0.123,1000000
Lecce,68,01/05/2020,2,489,0,60,0.123,1000000
Lecce,69,02/05/2020,6,495,0,60,0.121,1000000
Lecce,70,03/05/2020,2,497,2,62,0.125,1000000
Lecce,71,04/05/2020,0,497,0,62,0.125,1000000
Lecce,72,05/05/2020,1,498,0,62,0.124,1000000
Lecce,73,06/05/2020,2,500,2,64,0.128,1000000
Lecce,74,07/05/2020,2,502,0,64,0.127,1000000
Lecce,75,08/05/2020,1,503,0,64,0.127,1000000
Lecce,76,09/05/2020,0,503,0,64,0.127,1000000
Lecce,77,10/05/2020,1,504,0,64,0.127,1000000
Lecce,78,11/05/2020,1,505,1,65,0.129,1000000
Lecce,79,12/05/2020,0,505,0,65,0.129,1000000
Lecce,80,13/05/2020,3,508,0,65,0.128,1000000
