Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Taranto,1,24/02/2020,0,0,0,0,0,0
Taranto,2,25/02/2020,0,0,0,0,0,0
Taranto,3,26/02/2020,0,0,0,0,0,0
Taranto,4,27/02/2020,0,0,0,0,0,0
Taranto,5,28/02/2020,3,3,0,0,0,0.52
Taranto,6,29/02/2020,0,3,0,0,0,0.52
Taranto,7,01/03/2020,0,3,0,0,0,0.52
Taranto,8,02/03/2020,0,3,0,0,0,0.52
Taranto,9,03/03/2020,0,3,0,0,0,0.52
Taranto,10,04/03/2020,0,3,0,0,0,0.52
Taranto,11,05/03/2020,0,3,0,0,0,0.52
Taranto,12,06/03/2020,0,3,0,0,0,0.52
Taranto,13,07/03/2020,0,3,0,0,0,0.52
Taranto,14,08/03/2020,0,3,0,0,0,0.52
Taranto,15,09/03/2020,0,3,0,0,0,0.52
Taranto,16,10/03/2020,0,3,0,0,0,0.52
Taranto,17,11/03/2020,1,4,0,0,0,0.69
Taranto,18,12/03/2020,2,6,0,0,0,1.04
Taranto,19,13/03/2020,2,8,0,0,0,1.39
Taranto,20,14/03/2020,0,8,0,0,0,1.39
Taranto,21,15/03/2020,2,10,0,0,0,1.73
Taranto,22,16/03/2020,0,10,0,0,0,1.73
Taranto,23,17/03/2020,7,17,1,1,0.06,2.95
Taranto,24,18/03/2020,2,19,0,1,0.05,3.29
Taranto,25,19/03/2020,4,23,0,1,0.04,3.99
Taranto,26,20/03/2020,10,33,0,1,0.03,5.72
Taranto,27,21/03/2020,2,35,0,1,0.03,6.07
Taranto,28,22/03/2020,6,41,0,1,0.02,7.11
Taranto,29,23/03/2020,5,46,0,1,0.02,7.98
Taranto,30,24/03/2020,5,51,0,1,0.02,8.84
Taranto,31,25/03/2020,5,56,0,1,0.02,9.71
Taranto,32,26/03/2020,18,74,0,1,0.01,12.83
Taranto,33,27/03/2020,4,78,1,2,0.03,13.52
Taranto,34,28/03/2020,15,93,0,2,0.02,16.12
Taranto,35,29/03/2020,6,99,0,2,0.02,17.16
Taranto,36,30/03/2020,22,121,0,2,0.02,20.98
Taranto,37,31/03/2020,5,126,1,3,0.02,21.85
Taranto,38,01/04/2020,22,148,0,3,0.02,25.66
Taranto,39,02/04/2020,15,163,0,3,0.02,28.26
Taranto,40,03/04/2020,15,178,0,3,0.02,30.86
Taranto,41,04/04/2020,2,180,0,3,0.02,31.21
Taranto,42,05/04/2020,2,182,0,3,0.02,31.56
Taranto,43,06/04/2020,8,190,1,4,0.02,32.94
Taranto,44,07/04/2020,2,192,0,4,0.02,33.29
Taranto,45,08/04/2020,9,201,1,5,0.03,34.85
Taranto,46,09/04/2020,5,206,2,7,0.03,35.72
Taranto,47,10/04/2020,2,208,1,8,0.04,36.06
Taranto,48,11/04/2020,10,218,2,10,0.05,37.8
Taranto,49,12/04/2020,3,221,1,11,0.05,38.32
Taranto,50,13/04/2020,4,225,1,12,0.05,39.01
Taranto,51,14/04/2020,1,226,0,12,0.05,39.18
Taranto,52,15/04/2020,2,228,2,14,0.06,39.53
Taranto,53,16/04/2020,7,235,1,15,0.06,40.75
Taranto,54,17/04/2020,0,235,0,15,0.06,40.75
Taranto,55,18/04/2020,4,239,1,16,0.07,41.44
Taranto,56,19/04/2020,3,242,0,16,0.07,41.96
Taranto,57,20/04/2020,1,243,1,17,0.07,42.13
Taranto,58,21/04/2020,1,244,1,18,0.07,42.31
Taranto,59,22/04/2020,5,249,1,19,0.08,43.17
Taranto,60,23/04/2020,2,251,3,22,0.09,43.52
Taranto,61,24/04/2020,2,253,0,22,0.09,43.87
Taranto,62,25/04/2020,0,253,0,22,0.09,43.87
Taranto,63,26/04/2020,2,255,0,22,0.09,44.21
Taranto,64,27/04/2020,0,255,0,22,0.09,44.21
Taranto,65,28/04/2020,0,255,0,22,0.09,44.21
Taranto,66,29/04/2020,0,255,0,22,0.09,44.21
Taranto,67,30/04/2020,3,258,0,22,0.09,44.73
Taranto,68,01/05/2020,3,261,0,22,0.08,45.25
Taranto,69,02/05/2020,2,263,1,23,0.09,45.6
Taranto,70,03/05/2020,0,263,0,23,0.09,45.6
Taranto,71,04/05/2020,2,265,0,23,0.09,45.95
Taranto,72,05/05/2020,0,265,1,24,0.09,45.95
Taranto,73,06/05/2020,3,268,1,25,0.09,46.47
Taranto,74,07/05/2020,2,270,1,26,0.1,46.81
Taranto,75,08/05/2020,0,270,0,26,0.1,46.81
Taranto,76,09/05/2020,0,270,0,26,0.1,46.81
Taranto,77,10/05/2020,0,270,0,26,0.1,46.81
Taranto,78,11/05/2020,1,271,0,26,0.1,46.99
Taranto,79,12/05/2020,1,272,0,26,0.1,47.16
Taranto,80,13/05/2020,1,273,0,26,0.1,47.33
Taranto,81,14/05/2020,2,275,0,26,0.1,47.68
Taranto,82,15/05/2020,0,275,0,26,0.1,47.68
Taranto,83,16/05/2020,0,275,0,26,0.1,47.68
Taranto,84,17/05/2020,0,275,1,27,0.1,47.68
Taranto,85,18/05/2020,0,275,0,27,0.1,47.68
Taranto,86,19/05/2020,0,275,0,27,0.1,47.68
Taranto,87,20/05/2020,1,276,0,27,0.1,47.85
Taranto,88,21/05/2020,0,276,0,27,0.1,47.85
Taranto,89,22/05/2020,2,278,0,27,0.1,48.2
Taranto,90,23/05/2020,0,278,0,27,0.1,48.2
Taranto,91,24/05/2020,0,278,0,27,0.1,48.2
Taranto,92,25/05/2020,2,280,0,27,0.1,48.55
Taranto,93,26/05/2020,0,280,0,27,0.1,48.55
Taranto,94,27/05/2020,0,280,0,27,0.1,48.55
Taranto,95,28/05/2020,1,281,0,27,0.1,48.72
Taranto,96,29/05/2020,0,281,0,27,0.1,48.72
Taranto,97,30/05/2020,0,281,0,27,0.1,48.72
Taranto,98,31/05/2020,0,281,0,27,0.1,48.72
Taranto,99,01/06/2020,0,281,0,27,0.1,48.72
Taranto,100,02/06/2020,0,281,0,27,0.1,48.72
Taranto,101,03/06/2020,0,281,0,27,0.1,48.72
Taranto,102,04/06/2020,0,281,1,28,0.1,48.72
Taranto,103,05/06/2020,0,281,0,28,0.1,48.72
Taranto,104,06/06/2020,0,281,0,28,0.1,48.72
Taranto,105,07/06/2020,0,281,0,28,0.1,48.72
Taranto,106,08/06/2020,0,281,0,28,0.1,48.72
Taranto,107,09/06/2020,0,281,0,28,0.1,48.72
Taranto,108,10/06/2020,0,281,0,28,0.1,48.72
Taranto,109,11/06/2020,0,281,0,28,0.1,48.72
Taranto,110,12/06/2020,0,281,0,28,0.1,48.72
Taranto,111,13/06/2020,-1,280,0,28,0.1,48.55
Taranto,112,14/06/2020,0,280,0,28,0.1,48.55
