Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Trento,1,24/02/2020,0,0,0,0,0,0
Trento,2,25/02/2020,0,0,0,0,0,0
Trento,3,26/02/2020,0,0,0,0,0,0
Trento,4,27/02/2020,0,0,0,0,0,0
Trento,5,28/02/2020,0,0,0,0,0,0
Trento,6,29/02/2020,0,0,0,0,0,0
Trento,7,01/03/2020,0,0,0,0,0,0
Trento,8,02/03/2020,0,0,0,0,0,0
Trento,9,03/03/2020,4,4,0,0,0,0.74
Trento,10,04/03/2020,1,5,0,0,0,0.92
Trento,11,05/03/2020,2,7,0,0,0,1.29
Trento,12,06/03/2020,3,10,0,0,0,1.85
Trento,13,07/03/2020,4,14,0,0,0,2.59
Trento,14,08/03/2020,9,23,0,0,0,4.25
Trento,15,09/03/2020,10,33,0,0,0,6.1
Trento,16,10/03/2020,19,52,0,0,0,9.61
Trento,17,11/03/2020,25,77,0,0,0,14.23
Trento,18,12/03/2020,30,107,1,1,0.01,19.77
Trento,19,13/03/2020,56,163,1,2,0.01,30.12
Trento,20,14/03/2020,43,206,0,2,0.01,38.07
Trento,21,15/03/2020,172,378,4,6,0.02,69.86
Trento,22,16/03/2020,0,378,0,6,0.02,69.86
Trento,23,17/03/2020,7,385,1,7,0.02,71.15
Trento,24,18/03/2020,70,455,0,7,0.01,84.09
Trento,25,19/03/2020,68,523,5,12,0.02,96.66
Trento,26,20/03/2020,119,642,1,13,0.02,118.65
Trento,27,21/03/2020,140,782,15,28,0.04,144.52
Trento,28,22/03/2020,172,954,7,35,0.04,176.31
Trento,29,23/03/2020,69,1023,6,41,0.04,189.06
Trento,30,24/03/2020,87,1110,15,56,0.05,205.14
Trento,31,25/03/2020,112,1222,18,74,0.06,225.84
Trento,32,26/03/2020,75,1297,12,86,0.07,239.7
Trento,33,27/03/2020,94,1391,16,102,0.07,257.07
Trento,34,28/03/2020,114,1505,18,120,0.08,278.14
Trento,35,29/03/2020,89,1594,9,129,0.08,294.59
Trento,36,30/03/2020,88,1682,18,147,0.09,310.85
Trento,37,31/03/2020,64,1746,17,164,0.09,322.68
Trento,38,01/04/2020,124,1870,9,173,0.09,345.59
Trento,39,02/04/2020,133,2003,14,187,0.09,370.17
Trento,40,03/04/2020,106,2109,17,204,0.1,389.76
Trento,41,04/04/2020,111,2220,6,210,0.1,410.28
Trento,42,05/04/2020,65,2285,7,217,0.1,422.29
Trento,43,06/04/2020,63,2348,13,230,0.1,433.93
Trento,44,07/04/2020,128,2476,14,244,0.1,457.59
Trento,45,08/04/2020,126,2602,11,255,0.1,480.87
Trento,46,09/04/2020,106,2708,13,268,0.1,500.46
Trento,47,10/04/2020,108,2816,7,275,0.1,520.42
Trento,48,11/04/2020,154,2970,9,284,0.1,548.88
Trento,49,12/04/2020,83,3053,9,293,0.1,564.22
Trento,50,13/04/2020,73,3126,7,300,0.1,577.71
Trento,51,14/04/2020,15,3141,10,310,0.1,580.49
Trento,52,15/04/2020,79,3220,8,318,0.1,595.09
Trento,53,16/04/2020,74,3294,4,322,0.1,608.76
Trento,54,17/04/2020,82,3376,20,342,0.1,623.92
Trento,55,18/04/2020,55,3431,6,348,0.1,634.08
Trento,56,19/04/2020,101,3532,12,360,0.1,652.75
Trento,57,20/04/2020,58,3590,6,366,0.1,663.47
Trento,58,21/04/2020,24,3614,10,376,0.1,667.9
Trento,59,22/04/2020,32,3646,5,381,0.1,673.82
Trento,60,23/04/2020,81,3727,1,382,0.1,688.78
Trento,61,24/04/2020,49,3776,7,389,0.1,697.84
Trento,62,25/04/2020,62,3838,11,400,0.1,709.3
Trento,63,26/04/2020,56,3894,5,405,0.1,719.65
Trento,64,27/04/2020,101,3995,2,407,0.1,738.31
Trento,65,28/04/2020,30,4025,5,412,0.1,743.86
Trento,66,29/04/2020,44,4069,4,416,0.1,751.99
Trento,67,30/04/2020,47,4116,2,418,0.1,760.68
Trento,68,01/05/2020,16,4132,5,423,0.1,763.63
Trento,69,02/05/2020,49,4181,2,425,0.1,772.69
Trento,70,03/05/2020,66,4247,4,429,0.1,784.89
Trento,71,04/05/2020,11,4258,1,430,0.1,786.92
Trento,72,05/05/2020,3,4261,3,433,0.1,787.47
Trento,73,06/05/2020,19,4280,4,437,0.1,790.98
Trento,74,07/05/2020,3,4283,1,438,0.1,791.54
Trento,75,08/05/2020,2,4285,0,438,0.1,791.91
Trento,76,09/05/2020,7,4292,0,438,0.1,793.2
Trento,77,10/05/2020,3,4295,3,441,0.1,793.76
Trento,78,11/05/2020,2,4297,2,443,0.1,794.13
Trento,79,12/05/2020,6,4303,2,445,0.1,795.23
Trento,80,13/05/2020,9,4312,1,446,0.1,796.9
Trento,81,14/05/2020,3,4315,2,448,0.1,797.45
Trento,82,15/05/2020,3,4318,3,451,0.1,798.01
Trento,83,16/05/2020,8,4326,2,453,0.1,799.49
Trento,84,17/05/2020,12,4338,0,453,0.1,801.7
Trento,85,18/05/2020,13,4351,0,453,0.1,804.11
Trento,86,19/05/2020,7,4358,2,455,0.1,805.4
Trento,87,20/05/2020,10,4368,0,455,0.1,807.25
Trento,88,21/05/2020,10,4378,0,455,0.1,809.1
Trento,89,22/05/2020,10,4388,0,455,0.1,810.94
Trento,90,23/05/2020,7,4395,1,456,0.1,812.24
Trento,91,24/05/2020,9,4404,1,457,0.1,813.9
Trento,92,25/05/2020,1,4405,1,458,0.1,814.09
Trento,93,26/05/2020,10,4415,3,461,0.1,815.93
Trento,94,27/05/2020,7,4422,1,462,0.1,817.23
Trento,95,28/05/2020,3,4425,0,462,0.1,817.78
Trento,96,29/05/2020,3,4428,0,462,0.1,818.34
Trento,97,30/05/2020,1,4429,0,462,0.1,818.52
Trento,98,31/05/2020,1,4430,0,462,0.1,818.71
Trento,99,01/06/2020,2,4432,0,462,0.1,819.08
Trento,100,02/06/2020,0,4432,1,463,0.1,819.08
Trento,101,03/06/2020,1,4433,0,463,0.1,819.26
Trento,102,04/06/2020,0,4433,1,464,0.1,819.26
Trento,103,05/06/2020,0,4433,0,464,0.1,819.26
Trento,104,06/06/2020,1,4434,0,464,0.1,819.44
Trento,105,07/06/2020,1,4435,0,464,0.1,819.63
Trento,106,08/06/2020,1,4436,0,464,0.1,819.81
Trento,107,09/06/2020,3,4439,0,464,0.1,820.37
Trento,108,10/06/2020,0,4439,0,464,0.1,820.37
Trento,109,11/06/2020,2,4441,0,464,0.1,820.74
Trento,110,12/06/2020,2,4443,0,464,0.1,821.11
Trento,111,13/06/2020,3,4446,0,464,0.1,821.66
Trento,112,14/06/2020,1,4447,0,464,0.1,821.85
Trento,113,15/06/2020,1,4448,1,465,0.1,822.03
Trento,114,16/06/2020,0,4448,0,465,0.1,822.03
Trento,115,17/06/2020,1,4449,0,465,0.1,822.22
Trento,116,18/06/2020,8,4457,0,465,0.1,823.7
Trento,117,19/06/2020,1,4458,1,466,0.1,823.88
Trento,118,20/06/2020,0,4458,0,466,0.1,823.88
Trento,119,21/06/2020,5,4463,0,466,0.1,824.8
Trento,120,22/06/2020,1,4464,0,466,0.1,824.99
Trento,121,23/06/2020,1,4465,0,466,0.1,825.17
Trento,122,24/06/2020,387,4852,-61,405,0.08,896.7
