Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Ferrara,1,24/02/2020,0,0,0,0,0,0
Ferrara,2,25/02/2020,0,0,0,0,0,0
Ferrara,3,26/02/2020,0,0,0,0,0,0
Ferrara,4,27/02/2020,0,0,0,0,0,0
Ferrara,5,28/02/2020,0,0,0,0,0,0
Ferrara,6,29/02/2020,0,0,0,0,0,0
Ferrara,7,01/03/2020,0,0,0,0,0,0
Ferrara,8,02/03/2020,0,0,0,0,0,0
Ferrara,9,03/03/2020,0,0,0,0,0,0
Ferrara,10,04/03/2020,0,0,0,0,0,0
Ferrara,11,05/03/2020,0,0,0,0,0,0
Ferrara,12,06/03/2020,1,1,0,0,0,0.29
Ferrara,13,07/03/2020,1,2,0,0,0,0.58
Ferrara,14,08/03/2020,4,6,0,0,0,1.74
Ferrara,15,09/03/2020,1,7,0,0,0,2.02
Ferrara,16,10/03/2020,1,8,0,0,0,2.31
Ferrara,17,11/03/2020,4,12,0,0,0,3.47
Ferrara,18,12/03/2020,5,17,0,0,0,4.92
Ferrara,19,13/03/2020,7,24,1,1,0.04,6.94
Ferrara,20,14/03/2020,5,29,2,3,0.1,8.39
Ferrara,21,15/03/2020,5,34,0,3,0.09,9.84
Ferrara,22,16/03/2020,10,44,0,3,0.07,12.73
Ferrara,23,17/03/2020,14,58,0,3,0.05,16.78
Ferrara,24,18/03/2020,6,64,0,3,0.05,18.51
Ferrara,25,19/03/2020,14,78,0,3,0.04,22.56
Ferrara,26,20/03/2020,24,102,1,4,0.04,29.51
Ferrara,27,21/03/2020,21,123,1,5,0.04,35.58
Ferrara,28,22/03/2020,27,150,1,6,0.04,43.39
Ferrara,29,23/03/2020,22,172,2,8,0.05,49.76
Ferrara,30,24/03/2020,18,190,1,9,0.05,54.96
Ferrara,31,25/03/2020,14,204,3,12,0.06,59.01
Ferrara,32,26/03/2020,8,212,4,16,0.07,61.33
Ferrara,33,27/03/2020,32,244,2,18,0.07,70.58
Ferrara,34,28/03/2020,37,281,8,26,0.09,81.29
Ferrara,35,29/03/2020,19,300,1,27,0.09,86.78
Ferrara,36,30/03/2020,6,306,1,28,0.09,88.52
Ferrara,37,31/03/2020,14,320,1,29,0.09,92.57
Ferrara,38,01/04/2020,6,326,1,30,0.09,94.3
Ferrara,39,02/04/2020,15,341,3,33,0.1,98.64
Ferrara,40,03/04/2020,27,368,3,36,0.1,106.45
Ferrara,41,04/04/2020,106,474,1,37,0.08,137.12
Ferrara,42,05/04/2020,14,488,3,40,0.08,141.17
Ferrara,43,06/04/2020,22,510,2,42,0.08,147.53
Ferrara,44,07/04/2020,12,522,3,45,0.09,151
Ferrara,45,08/04/2020,16,538,1,46,0.09,155.63
Ferrara,46,09/04/2020,25,563,4,50,0.09,162.86
Ferrara,47,10/04/2020,3,566,3,53,0.09,163.73
Ferrara,48,11/04/2020,14,580,3,56,0.1,167.78
Ferrara,49,12/04/2020,36,616,3,59,0.1,178.19
Ferrara,50,13/04/2020,2,618,1,60,0.1,178.77
Ferrara,51,14/04/2020,17,635,7,67,0.11,183.69
Ferrara,52,15/04/2020,14,649,4,71,0.11,187.74
Ferrara,53,16/04/2020,60,709,2,73,0.1,205.1
Ferrara,54,17/04/2020,35,744,4,77,0.1,215.22
Ferrara,55,18/04/2020,15,759,2,79,0.1,219.56
Ferrara,56,19/04/2020,12,771,1,80,0.1,223.03
Ferrara,57,20/04/2020,16,787,3,83,0.1,227.66
Ferrara,58,21/04/2020,18,805,6,89,0.11,232.87
Ferrara,59,22/04/2020,28,833,1,90,0.11,240.97
Ferrara,60,23/04/2020,24,857,9,99,0.12,247.91
Ferrara,61,24/04/2020,20,877,4,103,0.12,253.69
Ferrara,62,25/04/2020,8,885,3,106,0.12,256.01
Ferrara,63,26/04/2020,16,901,3,109,0.12,260.64
Ferrara,64,27/04/2020,4,905,5,114,0.13,261.79
Ferrara,65,28/04/2020,4,909,0,114,0.12,262.95
Ferrara,66,29/04/2020,9,918,1,115,0.12,265.56
Ferrara,67,30/04/2020,3,921,3,118,0.13,266.42
Ferrara,68,01/05/2020,5,926,0,118,0.13,267.87
Ferrara,69,02/05/2020,6,932,0,118,0.13,269.6
Ferrara,70,03/05/2020,2,934,6,124,0.13,270.18
Ferrara,71,04/05/2020,4,938,4,128,0.14,271.34
Ferrara,72,05/05/2020,2,940,3,131,0.14,271.92
Ferrara,73,06/05/2020,11,951,0,131,0.14,275.1
Ferrara,74,07/05/2020,9,960,3,134,0.14,277.7
Ferrara,75,08/05/2020,10,970,0,134,0.14,280.6
Ferrara,76,09/05/2020,2,972,1,135,0.14,281.18
Ferrara,77,10/05/2020,3,975,1,136,0.14,282.04
Ferrara,78,11/05/2020,2,977,1,137,0.14,282.62
Ferrara,79,12/05/2020,0,977,0,137,0.14,282.62
Ferrara,80,13/05/2020,0,977,2,139,0.14,282.62
Ferrara,81,14/05/2020,0,977,4,143,0.15,282.62
Ferrara,82,15/05/2020,1,978,1,144,0.15,282.91
Ferrara,83,16/05/2020,2,980,1,145,0.15,283.49
Ferrara,84,17/05/2020,0,980,3,148,0.15,283.49
Ferrara,85,18/05/2020,0,980,1,149,0.15,283.49
Ferrara,86,19/05/2020,0,980,1,150,0.15,283.49
Ferrara,87,20/05/2020,3,983,1,151,0.15,284.36
Ferrara,88,21/05/2020,1,984,1,152,0.15,284.65
Ferrara,89,22/05/2020,1,985,0,152,0.15,284.94
Ferrara,90,23/05/2020,0,985,0,152,0.15,284.94
Ferrara,91,24/05/2020,0,985,1,153,0.16,284.94
Ferrara,92,25/05/2020,1,986,3,156,0.16,285.23
Ferrara,93,26/05/2020,0,986,1,157,0.16,285.23
Ferrara,94,27/05/2020,0,986,1,158,0.16,285.23
Ferrara,95,28/05/2020,1,987,0,158,0.16,285.52
Ferrara,96,29/05/2020,5,992,1,159,0.16,286.96
Ferrara,97,30/05/2020,0,992,0,159,0.16,286.96
Ferrara,98,31/05/2020,1,993,0,159,0.16,287.25
Ferrara,99,01/06/2020,1,994,0,159,0.16,287.54
Ferrara,100,02/06/2020,1,995,0,159,0.16,287.83
Ferrara,101,03/06/2020,0,995,0,159,0.16,287.83
Ferrara,102,04/06/2020,2,997,0,159,0.16,288.41
Ferrara,103,05/06/2020,1,998,2,161,0.16,288.7
Ferrara,104,06/06/2020,1,999,0,161,0.16,288.99
Ferrara,105,07/06/2020,0,999,0,161,0.16,288.99
Ferrara,106,08/06/2020,0,999,0,161,0.16,288.99
Ferrara,107,09/06/2020,1,1000,1,162,0.16,289.28
Ferrara,108,10/06/2020,2,1002,3,165,0.16,289.85
Ferrara,109,11/06/2020,0,1002,0,165,0.16,289.85
Ferrara,110,12/06/2020,3,1005,0,165,0.16,290.72
Ferrara,111,13/06/2020,2,1007,0,165,0.16,291.3
Ferrara,112,14/06/2020,0,1007,0,165,0.16,291.3
Ferrara,113,15/06/2020,0,1007,1,166,0.16,291.3
Ferrara,114,16/06/2020,1,1008,1,167,0.17,291.59
Ferrara,115,17/06/2020,0,1008,0,167,0.17,291.59
Ferrara,116,18/06/2020,0,1008,1,168,0.17,291.59
Ferrara,117,19/06/2020,2,1010,0,168,0.17,292.17
Ferrara,118,20/06/2020,1,1011,0,168,0.17,292.46
Ferrara,119,21/06/2020,1,1012,0,168,0.17,292.75
Ferrara,120,22/06/2020,0,1012,0,168,0.17,292.75
Ferrara,121,23/06/2020,6,1018,0,168,0.16,294.48
Ferrara,122,24/06/2020,8,1026,0,168,0.16,296.8
Ferrara,123,25/06/2020,5,1031,1,169,0.16,298.24
Ferrara,124,26/06/2020,-5,1026,1,170,0.17,296.8
Ferrara,125,27/06/2020,10,1036,0,170,0.16,299.69
Ferrara,126,28/06/2020,5,1041,0,170,0.16,301.14
Ferrara,127,29/06/2020,0,1041,0,170,0.16,301.14
Ferrara,128,30/06/2020,3,1044,0,170,0.16,302
Ferrara,129,01/07/2020,3,1047,0,170,0.16,302.87
Ferrara,130,02/07/2020,0,1047,0,170,0.16,302.87
Ferrara,131,03/07/2020,0,1047,0,170,0.16,302.87
Ferrara,132,04/07/2020,0,1047,0,170,0.16,302.87
Ferrara,133,05/07/2020,1,1048,0,170,0.16,303.16
Ferrara,134,06/07/2020,0,1048,0,170,0.16,303.16
Ferrara,135,07/07/2020,1,1049,0,170,0.16,303.45
Ferrara,136,08/07/2020,0,1049,0,170,0.16,303.45
Ferrara,137,09/07/2020,0,1049,0,170,0.16,303.45
Ferrara,138,10/07/2020,12,1061,0,170,0.16,306.92
Ferrara,139,11/07/2020,7,1068,0,170,0.16,308.95
Ferrara,140,12/07/2020,11,1079,0,170,0.16,312.13
Ferrara,141,13/07/2020,0,1079,0,170,0.16,312.13
Ferrara,142,14/07/2020,1,1080,0,170,0.16,312.42
Ferrara,143,15/07/2020,5,1085,0,170,0.16,313.86
Ferrara,144,16/07/2020,1,1086,0,170,0.16,314.15
Ferrara,145,17/07/2020,9,1095,0,170,0.16,316.76
Ferrara,146,18/07/2020,3,1098,0,170,0.16,317.62
Ferrara,147,19/07/2020,3,1101,0,170,0.15,318.49
Ferrara,148,20/07/2020,1,1102,0,170,0.15,318.78
Ferrara,149,21/07/2020,0,1102,0,170,0.15,318.78
Ferrara,150,22/07/2020,6,1108,0,170,0.15,320.52
Ferrara,151,23/07/2020,3,1111,0,170,0.15,321.39
Ferrara,152,24/07/2020,2,1113,0,170,0.15,321.96
Ferrara,153,25/07/2020,2,1115,1,171,0.15,322.54
Ferrara,154,26/07/2020,0,1115,0,171,0.15,322.54
Ferrara,155,27/07/2020,0,1115,0,171,0.15,322.54
Ferrara,156,28/07/2020,0,1115,0,171,0.15,322.54
Ferrara,157,29/07/2020,3,1118,0,171,0.15,323.41
Ferrara,158,30/07/2020,0,1118,1,172,0.15,323.41
Ferrara,159,31/07/2020,0,1118,0,172,0.15,323.41
Ferrara,160,01/08/2020,4,1122,0,172,0.15,324.57
Ferrara,161,02/08/2020,2,1124,0,172,0.15,325.15
Ferrara,162,03/08/2020,-7,1117,0,172,0.15,323.12
Ferrara,163,04/08/2020,9,1126,0,172,0.15,325.72
Ferrara,164,05/08/2020,2,1128,0,172,0.15,326.3
Ferrara,165,06/08/2020,0,1128,0,172,0.15,326.3
Ferrara,166,07/08/2020,1,1129,0,172,0.15,326.59
Ferrara,167,08/08/2020,0,1129,0,172,0.15,326.59
Ferrara,168,09/08/2020,2,1131,0,172,0.15,327.17
Ferrara,169,10/08/2020,2,1133,0,172,0.15,327.75
Ferrara,170,11/08/2020,0,1133,0,172,0.15,327.75
Ferrara,171,12/08/2020,1,1134,0,172,0.15,328.04
Ferrara,172,13/08/2020,0,1134,0,172,0.15,328.04
Ferrara,173,14/08/2020,2,1136,0,172,0.15,328.62
Ferrara,174,15/08/2020,11,1147,0,172,0.15,331.8
Ferrara,175,16/08/2020,1,1148,0,172,0.15,332.09
Ferrara,176,17/08/2020,0,1148,0,172,0.15,332.09
Ferrara,177,18/08/2020,0,1148,0,172,0.15,332.09
Ferrara,178,19/08/2020,12,1160,0,172,0.15,335.56
Ferrara,179,20/08/2020,7,1167,0,172,0.15,337.58
Ferrara,180,21/08/2020,5,1172,0,172,0.15,339.03
Ferrara,181,22/08/2020,9,1181,0,172,0.15,341.63
Ferrara,182,23/08/2020,11,1192,0,172,0.14,344.82
Ferrara,183,24/08/2020,2,1194,0,172,0.14,345.4
Ferrara,184,25/08/2020,6,1200,0,172,0.14,347.13
Ferrara,185,26/08/2020,12,1212,0,172,0.14,350.6
Ferrara,186,27/08/2020,13,1225,0,172,0.14,354.36
Ferrara,187,28/08/2020,9,1234,0,172,0.14,356.97
Ferrara,188,29/08/2020,4,1238,0,172,0.14,358.12
Ferrara,189,30/08/2020,4,1242,0,172,0.14,359.28
Ferrara,190,31/08/2020,2,1244,0,172,0.14,359.86
Ferrara,191,01/09/2020,7,1251,0,172,0.14,361.88
Ferrara,192,02/09/2020,2,1253,0,172,0.14,362.46
Ferrara,193,03/09/2020,13,1266,0,172,0.14,366.22
Ferrara,194,04/09/2020,5,1271,0,172,0.14,367.67
Ferrara,195,05/09/2020,13,1284,0,172,0.13,371.43
Ferrara,196,06/09/2020,11,1295,0,172,0.13,374.61
Ferrara,197,07/09/2020,8,1303,0,172,0.13,376.93
Ferrara,198,08/09/2020,3,1306,0,172,0.13,377.79
Ferrara,199,09/09/2020,3,1309,0,172,0.13,378.66
Ferrara,200,10/09/2020,8,1317,0,172,0.13,380.98
Ferrara,201,11/09/2020,8,1325,0,172,0.13,383.29
Ferrara,202,12/09/2020,13,1338,0,172,0.13,387.05
Ferrara,203,13/09/2020,5,1343,0,172,0.13,388.5
Ferrara,204,14/09/2020,6,1349,0,172,0.13,390.23
Ferrara,205,15/09/2020,1,1350,0,172,0.13,390.52
Ferrara,206,16/09/2020,15,1365,0,172,0.13,394.86
Ferrara,207,17/09/2020,12,1377,0,172,0.12,398.33
Ferrara,208,18/09/2020,11,1388,0,172,0.12,401.51
Ferrara,209,19/09/2020,10,1398,0,172,0.12,404.41
Ferrara,210,20/09/2020,10,1408,0,172,0.12,407.3
Ferrara,211,21/09/2020,7,1415,0,172,0.12,409.33
Ferrara,212,22/09/2020,5,1420,0,172,0.12,410.77
Ferrara,213,23/09/2020,9,1429,0,172,0.12,413.37
Ferrara,214,24/09/2020,9,1438,0,172,0.12,415.98
Ferrara,215,25/09/2020,5,1443,2,174,0.12,417.42
Ferrara,216,26/09/2020,15,1458,0,174,0.12,421.76
Ferrara,217,27/09/2020,4,1462,0,174,0.12,422.92
Ferrara,218,28/09/2020,0,1462,0,174,0.12,422.92
Ferrara,219,29/09/2020,16,1478,0,174,0.12,427.55
Ferrara,220,30/09/2020,0,1478,0,174,0.12,427.55
Ferrara,221,01/10/2020,4,1482,0,174,0.12,428.71
Ferrara,222,02/10/2020,1,1483,0,174,0.12,429
Ferrara,223,03/10/2020,3,1486,0,174,0.12,429.86
Ferrara,224,04/10/2020,2,1488,0,174,0.12,430.44
Ferrara,225,05/10/2020,2,1490,0,174,0.12,431.02
Ferrara,226,06/10/2020,2,1492,0,174,0.12,431.6
Ferrara,227,07/10/2020,18,1510,0,174,0.12,436.81
Ferrara,228,08/10/2020,0,1510,0,174,0.12,436.81
Ferrara,229,09/10/2020,27,1537,0,174,0.11,444.62
Ferrara,230,10/10/2020,35,1572,0,174,0.11,454.74
Ferrara,231,11/10/2020,29,1601,0,174,0.11,463.13
Ferrara,232,12/10/2020,15,1616,0,174,0.11,467.47
Ferrara,233,13/10/2020,30,1646,1,175,0.11,476.15
Ferrara,234,14/10/2020,27,1673,1,176,0.1,483.96
Ferrara,235,15/10/2020,33,1706,0,176,0.1,493.5
Ferrara,236,16/10/2020,44,1750,0,176,0.1,506.23
Ferrara,237,17/10/2020,71,1821,0,176,0.1,526.77
Ferrara,238,18/10/2020,63,1884,0,176,0.09,545
Ferrara,239,19/10/2020,32,1916,2,178,0.09,554.25
Ferrara,240,20/10/2020,24,1940,1,179,0.09,561.19
Ferrara,241,21/10/2020,39,1979,0,179,0.09,572.48
Ferrara,242,22/10/2020,56,2035,0,179,0.09,588.68
Ferrara,243,23/10/2020,53,2088,2,181,0.09,604.01
Ferrara,244,24/10/2020,59,2147,2,183,0.09,621.07
Ferrara,245,25/10/2020,49,2196,0,183,0.08,635.25
Ferrara,246,26/10/2020,61,2257,0,183,0.08,652.9
Ferrara,247,27/10/2020,66,2323,2,185,0.08,671.99
Ferrara,248,28/10/2020,52,2375,1,186,0.08,687.03
Ferrara,249,29/10/2020,46,2421,0,186,0.08,700.34
Ferrara,250,30/10/2020,55,2476,1,187,0.08,716.25
Ferrara,251,31/10/2020,118,2594,2,189,0.07,750.38
Ferrara,252,01/11/2020,83,2677,0,189,0.07,774.39
Ferrara,253,02/11/2020,93,2770,1,190,0.07,801.29
Ferrara,254,03/11/2020,134,2904,4,194,0.07,840.06
Ferrara,255,04/11/2020,76,2980,2,196,0.07,862.04
Ferrara,256,05/11/2020,123,3103,4,200,0.06,897.62
Ferrara,257,06/11/2020,109,3212,1,201,0.06,929.15
Ferrara,258,07/11/2020,73,3285,4,205,0.06,950.27
Ferrara,259,08/11/2020,113,3398,0,205,0.06,982.96
Ferrara,260,09/11/2020,3,3401,0,205,0.06,983.83
Ferrara,261,10/11/2020,218,3619,2,207,0.06,1046.89
Ferrara,262,11/11/2020,158,3777,0,207,0.06,1092.59
Ferrara,263,12/11/2020,120,3897,3,210,0.05,1127.31
Ferrara,264,13/11/2020,129,4026,2,212,0.05,1164.62
Ferrara,265,14/11/2020,155,4181,2,214,0.05,1209.46
Ferrara,266,15/11/2020,163,4344,2,216,0.05,1256.61
Ferrara,267,16/11/2020,99,4443,1,217,0.05,1285.25
Ferrara,268,17/11/2020,114,4557,1,218,0.05,1318.23
Ferrara,269,18/11/2020,101,4658,3,221,0.05,1347.45
Ferrara,270,19/11/2020,106,4764,3,224,0.05,1378.11
Ferrara,271,20/11/2020,104,4868,3,227,0.05,1408.19
Ferrara,272,21/11/2020,120,4988,2,229,0.05,1442.91
Ferrara,273,22/11/2020,111,5099,4,233,0.05,1475.02
Ferrara,274,23/11/2020,106,5205,1,234,0.04,1505.68
Ferrara,275,24/11/2020,167,5372,3,237,0.04,1553.99
Ferrara,276,25/11/2020,163,5535,2,239,0.04,1601.14
Ferrara,277,26/11/2020,99,5634,0,239,0.04,1629.78
Ferrara,278,27/11/2020,142,5776,4,243,0.04,1670.86
Ferrara,279,28/11/2020,91,5867,7,250,0.04,1697.18
Ferrara,280,29/11/2020,82,5949,1,251,0.04,1720.9
Ferrara,281,30/11/2020,98,6047,5,256,0.04,1749.25
Ferrara,282,01/12/2020,77,6124,9,265,0.04,1771.52
Ferrara,283,02/12/2020,120,6244,7,272,0.04,1806.24
Ferrara,284,03/12/2020,102,6346,1,273,0.04,1835.74
Ferrara,285,04/12/2020,68,6414,0,273,0.04,1855.41
Ferrara,286,05/12/2020,115,6529,2,275,0.04,1888.68
Ferrara,287,06/12/2020,142,6671,6,281,0.04,1929.76
Ferrara,288,07/12/2020,99,6770,0,281,0.04,1958.4
Ferrara,289,08/12/2020,108,6878,6,287,0.04,1989.64
Ferrara,290,09/12/2020,45,6923,0,287,0.04,2002.66
Ferrara,291,10/12/2020,93,7016,8,295,0.04,2029.56
Ferrara,292,11/12/2020,100,7116,7,302,0.04,2058.49
Ferrara,293,12/12/2020,99,7215,6,308,0.04,2087.12
Ferrara,294,13/12/2020,114,7329,2,310,0.04,2120.1
Ferrara,295,14/12/2020,120,7449,3,313,0.04,2154.81
Ferrara,296,15/12/2020,61,7510,8,321,0.04,2172.46
Ferrara,297,16/12/2020,75,7585,8,329,0.04,2194.16
Ferrara,298,17/12/2020,62,7647,4,333,0.04,2212.09
Ferrara,299,18/12/2020,59,7706,6,339,0.04,2229.16
Ferrara,300,19/12/2020,103,7809,0,339,0.04,2258.95
Ferrara,301,20/12/2020,165,7974,2,341,0.04,2306.68
Ferrara,302,21/12/2020,131,8105,1,342,0.04,2344.58
Ferrara,303,22/12/2020,83,8188,3,345,0.04,2368.59
Ferrara,304,23/12/2020,97,8285,4,349,0.04,2396.65
Ferrara,305,24/12/2020,134,8419,9,358,0.04,2435.41
Ferrara,306,25/12/2020,151,8570,0,358,0.04,2479.09
Ferrara,307,26/12/2020,150,8720,0,358,0.04,2522.48
Ferrara,308,27/12/2020,37,8757,2,360,0.04,2533.19
Ferrara,309,28/12/2020,39,8796,0,360,0.04,2544.47
Ferrara,310,29/12/2020,39,8835,4,364,0.04,2555.75
Ferrara,311,30/12/2020,119,8954,9,373,0.04,2590.17
Ferrara,312,31/12/2020,176,9130,5,378,0.04,2641.09
Ferrara,313,01/01/2021,141,9271,0,378,0.04,2681.87
Ferrara,314,02/01/2021,146,9417,3,381,0.04,2724.11
Ferrara,315,03/01/2021,103,9520,1,382,0.04,2753.9
Ferrara,316,04/01/2021,107,9627,0,382,0.04,2784.86
Ferrara,317,05/01/2021,98,9725,13,395,0.04,2813.21
Ferrara,318,06/01/2021,114,9839,5,400,0.04,2846.18
Ferrara,319,07/01/2021,118,9957,6,406,0.04,2880.32
Ferrara,320,08/01/2021,156,10113,8,414,0.04,2925.44
Ferrara,321,09/01/2021,153,10266,4,418,0.04,2969.7
Ferrara,322,10/01/2021,159,10425,1,419,0.04,3015.7
Ferrara,323,11/01/2021,148,10573,10,429,0.04,3058.51
Ferrara,324,12/01/2021,126,10699,5,434,0.04,3094.96
Ferrara,325,13/01/2021,147,10846,3,437,0.04,3137.48
Ferrara,326,14/01/2021,110,10956,6,443,0.04,3169.3
Ferrara,327,15/01/2021,123,11079,5,448,0.04,3204.89
Ferrara,328,16/01/2021,156,11235,0,448,0.04,3250.01
Ferrara,329,17/01/2021,96,11331,4,452,0.04,3277.78
Ferrara,330,18/01/2021,135,11466,6,458,0.04,3316.83
Ferrara,331,19/01/2021,51,11517,2,460,0.04,3331.59
Ferrara,332,20/01/2021,64,11581,6,466,0.04,3350.1
Ferrara,333,21/01/2021,88,11669,6,472,0.04,3375.56
Ferrara,334,22/01/2021,71,11740,3,475,0.04,3396.1
Ferrara,335,23/01/2021,126,11866,3,478,0.04,3432.55
Ferrara,336,24/01/2021,111,11977,0,478,0.04,3464.65
Ferrara,337,25/01/2021,91,12068,11,489,0.04,3490.98
Ferrara,338,26/01/2021,110,12178,7,496,0.04,3522.8
Ferrara,339,27/01/2021,83,12261,3,499,0.04,3546.81
Ferrara,340,28/01/2021,89,12350,5,504,0.04,3572.55
Ferrara,341,29/01/2021,104,12454,6,510,0.04,3602.64
Ferrara,342,30/01/2021,98,12552,0,510,0.04,3630.99
Ferrara,343,31/01/2021,108,12660,1,511,0.04,3662.23
Ferrara,344,01/02/2021,42,12702,8,519,0.04,3674.38
Ferrara,345,02/02/2021,79,12781,5,524,0.04,3697.23
Ferrara,346,03/02/2021,78,12859,5,529,0.04,3719.8
Ferrara,347,04/02/2021,89,12948,4,533,0.04,3745.54
Ferrara,348,05/02/2021,77,13025,8,541,0.04,3767.82
Ferrara,349,06/02/2021,97,13122,2,543,0.04,3795.88
Ferrara,350,07/02/2021,90,13212,4,547,0.04,3821.91
Ferrara,351,08/02/2021,104,13316,2,549,0.04,3851.99
Ferrara,352,09/02/2021,44,13360,8,557,0.04,3864.72
Ferrara,353,10/02/2021,61,13421,5,562,0.04,3882.37
Ferrara,354,11/02/2021,108,13529,3,565,0.04,3913.61
Ferrara,355,12/02/2021,81,13610,7,572,0.04,3937.04
Ferrara,356,13/02/2021,56,13666,0,572,0.04,3953.24
Ferrara,357,14/02/2021,70,13736,5,577,0.04,3973.49
Ferrara,358,15/02/2021,66,13802,5,582,0.04,3992.58
Ferrara,359,16/02/2021,56,13858,3,585,0.04,4008.78
Ferrara,360,17/02/2021,37,13895,5,590,0.04,4019.49
Ferrara,361,18/02/2021,61,13956,4,594,0.04,4037.13
Ferrara,362,19/02/2021,101,14057,7,601,0.04,4066.35
Ferrara,363,20/02/2021,74,14131,5,606,0.04,4087.75
Ferrara,364,21/02/2021,71,14202,0,606,0.04,4108.29
Ferrara,365,22/02/2021,123,14325,2,608,0.04,4143.87
Ferrara,366,23/02/2021,49,14374,6,614,0.04,4158.05
Ferrara,367,24/02/2021,79,14453,3,617,0.04,4180.9
Ferrara,368,25/02/2021,128,14581,3,620,0.04,4217.93
Ferrara,369,26/02/2021,118,14699,1,621,0.04,4252.06
Ferrara,370,27/02/2021,118,14817,0,621,0.04,4286.2
Ferrara,371,28/02/2021,169,14986,1,622,0.04,4335.09
Ferrara,372,01/03/2021,101,15087,5,627,0.04,4364.3
Ferrara,373,02/03/2021,88,15175,3,630,0.04,4389.76
Ferrara,374,03/03/2021,131,15306,2,632,0.04,4427.65
Ferrara,375,04/03/2021,149,15455,4,636,0.04,4470.76
Ferrara,376,05/03/2021,179,15634,4,640,0.04,4522.54
Ferrara,377,06/03/2021,198,15832,2,642,0.04,4579.81
Ferrara,378,07/03/2021,183,16015,70,712,0.04,4632.75
Ferrara,379,08/03/2021,171,16186,6,718,0.04,4682.22
Ferrara,380,09/03/2021,74,16260,2,720,0.04,4703.62
Ferrara,381,10/03/2021,137,16397,4,724,0.04,4743.25
Ferrara,382,11/03/2021,174,16571,2,726,0.04,4793.59
Ferrara,383,12/03/2021,180,16751,2,728,0.04,4845.66
Ferrara,384,13/03/2021,175,16926,0,728,0.04,4896.28
Ferrara,385,14/03/2021,177,17103,2,730,0.04,4947.48
Ferrara,386,15/03/2021,158,17261,9,739,0.04,4993.19
Ferrara,387,16/03/2021,130,17391,2,741,0.04,5030.79
Ferrara,388,17/03/2021,170,17561,2,743,0.04,5079.97
Ferrara,389,18/03/2021,163,17724,2,745,0.04,5127.12
Ferrara,390,19/03/2021,199,17923,3,748,0.04,5184.69
Ferrara,391,20/03/2021,193,18116,2,750,0.04,5240.52
Ferrara,392,21/03/2021,168,18284,0,750,0.04,5289.12
Ferrara,393,22/03/2021,194,18478,8,758,0.04,5345.24
Ferrara,394,23/03/2021,96,18574,4,762,0.04,5373.01
Ferrara,395,24/03/2021,139,18713,4,766,0.04,5413.22
Ferrara,396,25/03/2021,275,18988,4,770,0.04,5492.77
Ferrara,397,26/03/2021,167,19155,3,773,0.04,5541.08
Ferrara,398,27/03/2021,159,19314,1,774,0.04,5587.07
Ferrara,399,28/03/2021,222,19536,0,774,0.04,5651.29
Ferrara,400,29/03/2021,236,19772,12,786,0.04,5719.56
Ferrara,401,30/03/2021,48,19820,4,790,0.04,5733.44
Ferrara,402,31/03/2021,154,19974,8,798,0.04,5777.99
Ferrara,403,01/04/2021,223,20197,2,800,0.04,5842.5
Ferrara,404,02/04/2021,213,20410,1,801,0.04,5904.12
Ferrara,405,03/04/2021,140,20550,0,801,0.04,5944.62
Ferrara,406,04/04/2021,134,20684,1,802,0.04,5983.38
Ferrara,407,05/04/2021,145,20829,6,808,0.04,6025.32
Ferrara,408,06/04/2021,15,20844,5,813,0.04,6029.66
Ferrara,409,07/04/2021,40,20884,5,818,0.04,6041.23
Ferrara,410,08/04/2021,82,20966,6,824,0.04,6064.95
Ferrara,411,09/04/2021,155,21121,0,824,0.04,6109.79
Ferrara,412,10/04/2021,125,21246,1,825,0.04,6145.95
Ferrara,413,11/04/2021,85,21331,2,827,0.04,6170.54
Ferrara,414,12/04/2021,76,21407,9,836,0.04,6192.52
Ferrara,415,13/04/2021,50,21457,3,839,0.04,6206.99
Ferrara,416,14/04/2021,52,21509,2,841,0.04,6222.03
Ferrara,417,15/04/2021,95,21604,0,841,0.04,6249.51
Ferrara,418,16/04/2021,84,21688,2,843,0.04,6273.81
Ferrara,419,17/04/2021,42,21730,5,848,0.04,6285.96
Ferrara,420,18/04/2021,79,21809,1,849,0.04,6308.81
