Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Rimini,1,24/02/2020,0,0,0,0,0.0,0.0
Rimini,2,25/02/2020,1,1,0,0,0.0,0.294970459
Rimini,3,26/02/2020,2,3,0,0,0.0,0.8849113759999999
Rimini,4,27/02/2020,3,6,0,0,0.0,1.7698227519999998
Rimini,5,28/02/2020,3,9,0,0,0.0,2.6547341280000003
Rimini,6,29/02/2020,6,15,0,0,0.0,4.424556881
Rimini,7,01/03/2020,1,16,0,0,0.0,4.719527339
Rimini,8,02/03/2020,3,19,1,1,0.052631579000000005,5.604438715
Rimini,9,03/03/2020,5,24,0,1,0.041666667,7.0792910089999985
Rimini,10,04/03/2020,9,33,0,1,0.03030303,9.734025137
Rimini,11,05/03/2020,35,68,0,1,0.014705882,20.05799119
Rimini,12,06/03/2020,25,93,0,1,0.010752688,27.43225266
Rimini,13,07/03/2020,11,104,1,2,0.019230769,30.67692771
Rimini,14,08/03/2020,9,113,0,2,0.017699115,33.33166183
Rimini,15,09/03/2020,51,164,1,3,0.018292683,48.37515523
Rimini,16,10/03/2020,42,206,3,6,0.029126214,60.76391449
Rimini,17,11/03/2020,39,245,4,10,0.040816327,72.26776238
Rimini,18,12/03/2020,67,312,2,12,0.038461538,92.03078312
Rimini,19,13/03/2020,51,363,0,12,0.033057851,107.0742765
Rimini,20,14/03/2020,35,398,0,12,0.030150754,117.3982426
Rimini,21,15/03/2020,27,425,0,12,0.028235294,125.362445
Rimini,22,16/03/2020,84,509,17,29,0.05697446,150.1399635
Rimini,23,17/03/2020,0,509,3,32,0.06286836900000001,150.1399635
Rimini,24,18/03/2020,104,613,0,32,0.052202284,180.8168912
Rimini,25,19/03/2020,78,691,7,39,0.056439942,203.824587
Rimini,26,20/03/2020,66,757,1,40,0.052840159000000005,223.2926372
Rimini,27,21/03/2020,69,826,6,46,0.055690073,243.6455989
Rimini,28,22/03/2020,116,942,7,53,0.05626327,277.8621721
Rimini,29,23/03/2020,93,1035,0,53,0.051207729,305.2944248
Rimini,30,24/03/2020,49,1084,9,62,0.057195572,319.7479772
Rimini,31,25/03/2020,52,1136,2,64,0.056338028,335.08644110000006
Rimini,32,26/03/2020,53,1189,9,73,0.061396131,350.7198754
Rimini,33,27/03/2020,75,1264,5,78,0.061708861,372.8426598
Rimini,34,28/03/2020,59,1323,6,84,0.063492063,390.2459169
Rimini,35,29/03/2020,34,1357,5,89,0.065585851,400.2749125
Rimini,36,30/03/2020,25,1382,4,93,0.067293777,407.6491739
Rimini,37,31/03/2020,25,1407,1,94,0.066808813,415.0234354
Rimini,38,01/04/2020,38,1445,5,99,0.068512111,426.23231280000016
Rimini,39,02/04/2020,11,1456,4,103,0.070741758,429.4769879
Rimini,40,03/04/2020,55,1511,4,107,0.07081403,445.7003631
Rimini,41,04/04/2020,12,1523,2,109,0.07156927099999999,449.2400086
Rimini,42,05/04/2020,30,1553,5,114,0.07340631,458.0891224
Rimini,43,06/04/2020,22,1575,6,120,0.076190476,464.5784725
