Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Chieti,1,24/02/2020,0,0,0,0,0.0,0
Chieti,2,25/02/2020,0,0,0,0,0.0,0
Chieti,3,26/02/2020,0,0,0,0,0.0,0
Chieti,4,27/02/2020,0,0,0,0,0.0,0
Chieti,5,28/02/2020,0,0,0,0,0.0,0
Chieti,6,29/02/2020,0,0,0,0,0.0,0
Chieti,7,01/03/2020,0,0,0,0,0.0,0
Chieti,8,02/03/2020,0,0,0,0,0.0,0
Chieti,9,03/03/2020,0,0,0,0,0.0,0
Chieti,10,04/03/2020,0,0,0,0,0.0,0
Chieti,11,05/03/2020,2,2,0,0,0.0,0.518688341
Chieti,12,06/03/2020,1,3,0,0,0.0,0.7780325109999999
Chieti,13,07/03/2020,1,4,0,0,0.0,1.037.376.682
Chieti,14,08/03/2020,0,4,0,0,0.0,1.037.376.682
Chieti,15,09/03/2020,3,7,0,0,0.0,1.815.409.193
Chieti,16,10/03/2020,2,9,0,0,0.0,2.334.097.534
Chieti,17,11/03/2020,0,9,0,0,0.0,2.334.097.534
Chieti,18,12/03/2020,11,20,0,0,0.0,5.186.883.409
Chieti,19,13/03/2020,3,23,0,0,0.0,5.964.915.921
Chieti,20,14/03/2020,2,25,0,0,0.0,6.483.604.262
Chieti,21,15/03/2020,5,30,1,1,0.033,7.780.325.114
Chieti,22,16/03/2020,8,38,0,1,0.026,9.855.078.478
Chieti,23,17/03/2020,3,41,0,1,0.024,1.063.311.099
Chieti,24,18/03/2020,3,44,1,2,0.045,114.111.435
Chieti,25,19/03/2020,25,69,0,2,0.029,1.789.474.776
Chieti,26,20/03/2020,11,80,1,3,0.038,2.074.753.364
Chieti,27,21/03/2020,11,91,0,3,0.033,2.360.031.951
Chieti,28,22/03/2020,11,102,2,5,0.049,2.645.310.539
Chieti,29,23/03/2020,27,129,0,5,0.039,3.345.539.799
Chieti,30,24/03/2020,4,133,3,8,0.06,3.449.277.467
Chieti,31,25/03/2020,13,146,2,10,0.068,3.786.424.889
Chieti,32,26/03/2020,29,175,5,15,0.086,4.538.522.983
Chieti,33,27/03/2020,14,189,1,16,0.085,4.901.604.822
Chieti,34,28/03/2020,40,229,3,19,0.083,5.938.981.504
Chieti,35,29/03/2020,37,266,2,21,0.079,6.898.554.934
Chieti,36,30/03/2020,7,273,0,21,0.077,7.080.095.854
Chieti,37,31/03/2020,7,280,3,24,0.086,7.261.636.773
Chieti,38,01/04/2020,12,292,2,26,0.08900000000000001,7.572.849.777
Chieti,39,02/04/2020,7,299,0,26,0.087,7.754.390.697
Chieti,40,03/04/2020,11,310,4,30,0.097,8.039.669.284
Chieti,41,04/04/2020,7,317,2,32,0.101,8.221.210.204
Chieti,42,05/04/2020,8,325,0,32,0.098,8.428.685.540.000.000
Chieti,43,06/04/2020,2,327,1,33,0.101,8.480.554.374
Chieti,44,07/04/2020,16,343,1,34,0.099,8.895.505.047
Chieti,45,08/04/2020,18,361,2,36,0.1,9.362.324.554
Chieti,46,09/04/2020,8,369,0,36,0.098,956.979.989
Chieti,47,10/04/2020,23,392,1,37,0.094,1.016.629.148
Chieti,48,11/04/2020,49,441,2,39,0.08800000000000001,11.437.077.920.000.000
Chieti,49,12/04/2020,11,452,0,39,0.086,117.223.565
Chieti,50,13/04/2020,13,465,3,42,0.09,1.205.950.393
Chieti,51,14/04/2020,4,469,3,45,0.096,1.216.324.159
Chieti,52,15/04/2020,0,469,1,46,0.098,1.216.324.159
Chieti,53,16/04/2020,30,499,2,48,0.096,12.941.274.109.999.900
Chieti,54,17/04/2020,54,553,1,49,0.08900000000000001,1.434.173.263
Chieti,55,18/04/2020,13,566,4,53,0.094,14.678.880.049.999.900
Chieti,56,19/04/2020,5,571,1,54,0.095,1.480.855.213
Chieti,57,20/04/2020,35,606,4,58,0.096,1.571.625.673
Chieti,58,21/04/2020,7,613,4,62,0.101,15.897.797.649.999.900
Chieti,59,22/04/2020,35,648,1,63,0.097,1.680.550.225
Chieti,60,23/04/2020,29,677,0,63,0.093,1.755.760.034
Chieti,61,24/04/2020,10,687,1,64,0.093,1.781.694.451
Chieti,62,25/04/2020,19,706,1,65,0.092,1.830.969.843
Chieti,63,26/04/2020,17,723,1,66,0.091,1.875.058.352
Chieti,64,27/04/2020,0,723,1,67,0.093,1.875.058.352
Chieti,65,28/04/2020,28,751,4,71,0.095,194.767.472
Chieti,66,29/04/2020,6,757,2,73,0.096,196.323.537
Chieti,67,30/04/2020,0,757,2,75,0.099,196.323.537
Chieti,68,01/05/2020,3,760,2,77,0.101,1.971.015.696
Chieti,69,02/05/2020,4,764,2,79,0.103,1.981.389.462
Chieti,70,03/05/2020,1,765,0,79,0.103,1.983.982.904
Chieti,71,04/05/2020,1,766,0,79,0.103,1.986.576.346
Chieti,72,05/05/2020,1,767,0,79,0.103,1.989.169.787
Chieti,73,06/05/2020,-3,764,1,80,0.105,1.981.389.462
Chieti,74,07/05/2020,3,767,3,83,0.108,1.989.169.787
Chieti,75,08/05/2020,2,769,0,83,0.108,1.994.356.671
Chieti,76,09/05/2020,0,769,3,86,0.112,1.994.356.671
Chieti,77,10/05/2020,3,772,0,86,0.111,2.002.136.996
Chieti,78,11/05/2020,0,772,2,88,0.114,2.002.136.996
Chieti,79,12/05/2020,6,778,0,88,0.113,2.017.697.646
Chieti,80,13/05/2020,0,778,0,88,0.113,2.017.697.646
Chieti,81,14/05/2020,0,778,0,88,0.113,2.017.697.646
Chieti,82,15/05/2020,5,783,0,88,0.112,2.030.664.855
Chieti,83,16/05/2020,19,802,1,89,0.111,2.079.940.247
Chieti,84,17/05/2020,2,804,0,89,0.111,2.085.127.131
Chieti,85,18/05/2020,7,811,0,89,0.11,2.103.281.222
Chieti,86,19/05/2020,0,811,0,89,0.11,2.103.281.222
Chieti,87,20/05/2020,2,813,0,89,0.109,21.084.681.060.000.000
Chieti,88,21/05/2020,1,814,1,90,0.111,2.111.061.548
Chieti,89,22/05/2020,4,818,2,92,0.112,21.214.353.140.000.000
Chieti,90,23/05/2020,-1,817,0,92,0.113,2.118.841.873
Chieti,91,24/05/2020,1,818,0,92,0.112,21.214.353.140.000.000
Chieti,92,25/05/2020,0,818,0,92,0.112,21.214.353.140.000.000
Chieti,93,26/05/2020,1,819,0,92,0.112,2.124.028.756
Chieti,94,27/05/2020,2,821,0,92,0.112,2.129.215.639
Chieti,95,28/05/2020,-1,820,1,93,0.113,21.266.221.980.000.000
Chieti,96,29/05/2020,0,820,2,95,0.116,21.266.221.980.000.000
Chieti,97,30/05/2020,0,820,0,95,0.116,21.266.221.980.000.000
Chieti,98,31/05/2020,2,822,0,95,0.116,2.131.809.081
Chieti,99,01/06/2020,1,823,3,98,0.119,2.134.402.523
Chieti,100,02/06/2020,0,823,2,100,0.122,2.134.402.523
Chieti,101,03/06/2020,1,824,0,100,0.121,2.136.995.965
Chieti,102,04/06/2020,0,824,0,100,0.121,2.136.995.965
Chieti,103,05/06/2020,0,824,0,100,0.121,2.136.995.965
Chieti,104,06/06/2020,1,825,1,101,0.122,2.139.589.406
Chieti,105,07/06/2020,0,825,0,101,0.122,2.139.589.406
Chieti,106,08/06/2020,0,825,0,101,0.122,2.139.589.406
Chieti,107,09/06/2020,0,825,0,101,0.122,2.139.589.406
Chieti,108,10/06/2020,0,825,1,102,0.124,2.139.589.406
Chieti,109,11/06/2020,0,825,0,102,0.124,2.139.589.406
Chieti,110,12/06/2020,1,826,0,102,0.123,2.142.182.848
Chieti,111,13/06/2020,2,828,0,102,0.123,21.473.697.310.000.000
Chieti,112,14/06/2020,-1,827,1,103,0.125,214.477.629
Chieti,113,15/06/2020,1,828,0,103,0.124,21.473.697.310.000.000
Chieti,114,16/06/2020,0,828,0,103,0.124,21.473.697.310.000.000
Chieti,115,17/06/2020,1,829,0,103,0.124,2.149.963.173
Chieti,116,18/06/2020,1,830,1,104,0.125,21.525.566.150.000.000
Chieti,117,19/06/2020,0,830,0,104,0.125,21.525.566.150.000.000
Chieti,118,20/06/2020,1,831,0,104,0.125,2.155.150.057
Chieti,119,21/06/2020,0,831,0,104,0.125,2.155.150.057
Chieti,120,22/06/2020,1,832,0,104,0.125,2.157.743.498
Chieti,121,23/06/2020,0,832,0,104,0.125,2.157.743.498
Chieti,122,24/06/2020,-202,630,0,104,0.165,1.633.868.274
Chieti,123,25/06/2020,186,816,0,104,0.127,2.116.248.431
Chieti,124,26/06/2020,0,816,0,104,0.127,2.116.248.431
Chieti,125,27/06/2020,0,816,0,104,0.127,2.116.248.431
Chieti,126,28/06/2020,1,817,0,104,0.127,2.118.841.873
Chieti,127,29/06/2020,1,818,0,104,0.127,21.214.353.140.000.000
Chieti,128,30/06/2020,0,818,1,105,0.128,21.214.353.140.000.000
Chieti,129,01/07/2020,1,819,0,105,0.128,2.124.028.756
Chieti,130,02/07/2020,2,821,0,105,0.128,2.129.215.639
Chieti,131,03/07/2020,4,825,0,105,0.127,2.139.589.406
Chieti,132,04/07/2020,2,827,0,105,0.127,214.477.629
Chieti,133,05/07/2020,0,827,0,105,0.127,214.477.629
Chieti,134,06/07/2020,0,827,0,105,0.127,214.477.629
Chieti,135,07/07/2020,0,827,0,105,0.127,214.477.629
Chieti,136,08/07/2020,0,827,0,105,0.127,214.477.629
Chieti,137,09/07/2020,0,827,0,105,0.127,214.477.629
Chieti,138,10/07/2020,0,827,0,105,0.127,214.477.629
Chieti,139,11/07/2020,0,827,0,105,0.127,214.477.629
Chieti,140,12/07/2020,0,827,0,105,0.127,214.477.629
Chieti,141,13/07/2020,0,827,1,106,0.128,214.477.629
Chieti,142,14/07/2020,0,827,1,107,0.129,214.477.629
Chieti,143,15/07/2020,0,827,0,107,0.129,214.477.629
Chieti,144,16/07/2020,0,827,0,107,0.129,214.477.629
Chieti,145,17/07/2020,1,828,0,107,0.129,21.473.697.310.000.000
Chieti,146,18/07/2020,0,828,0,107,0.129,21.473.697.310.000.000
Chieti,147,19/07/2020,0,828,0,107,0.129,21.473.697.310.000.000
Chieti,148,20/07/2020,4,832,0,107,0.129,2.157.743.498
Chieti,149,21/07/2020,2,834,0,107,0.128,2.162.930.382
Chieti,150,22/07/2020,-3,831,0,107,0.129,2.155.150.057
Chieti,151,23/07/2020,3,834,0,107,0.128,2.162.930.382
Chieti,152,24/07/2020,1,835,0,107,0.128,21.655.238.230.000.000
Chieti,153,25/07/2020,1,836,0,107,0.128,2.168.117.265
Chieti,154,26/07/2020,0,836,0,107,0.128,2.168.117.265
Chieti,155,27/07/2020,1,837,0,107,0.128,2.170.710.707
Chieti,156,28/07/2020,0,837,0,107,0.128,2.170.710.707
Chieti,157,29/07/2020,3,840,0,107,0.127,2.178.491.032
Chieti,158,30/07/2020,1,841,0,107,0.127,2.181.084.474
Chieti,159,31/07/2020,0,841,0,107,0.127,2.181.084.474
Chieti,160,01/08/2020,1,842,0,107,0.127,2.183.677.915
Chieti,161,02/08/2020,1,843,0,107,0.127,2.186.271.357
Chieti,162,03/08/2020,0,843,0,107,0.127,2.186.271.357
Chieti,163,04/08/2020,1,844,0,107,0.127,2.188.864.799
Chieti,164,05/08/2020,1,845,0,107,0.127,21.914.582.400.000.000
Chieti,165,06/08/2020,13,858,0,107,0.125,2.225.172.983
Chieti,166,07/08/2020,1,859,0,107,0.125,2.227.766.424
Chieti,167,08/08/2020,4,863,0,107,0.124,2.238.140.191
Chieti,168,09/08/2020,0,863,0,107,0.124,2.238.140.191
Chieti,169,10/08/2020,6,869,0,107,0.123,2.238.140.191
Chieti,170,11/08/2020,7,876,0,107,0.122,2.238.140.191
Chieti,171,12/08/2020,3,879,0,107,0.122,2.238.140.191
Chieti,172,13/08/2020,2,881,0,107,0.121,2.238.140.191
Chieti,173,14/08/2020,3,884,0,107,0.121,2.238.140.191
Chieti,174,15/08/2020,1,885,0,107,0.121,2.238.140.191
Chieti,175,16/08/2020,1,886,0,107,0.121,2.238.140.191
Chieti,176,17/08/2020,0,886,0,107,0.121,2.297.789.350.290.980
