Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Frosinone,1,2020-02-24,0,0,0,0,0,0
Frosinone,2,2020-02-25,0,0,0,0,0,0
Frosinone,3,2020-02-26,0,0,0,0,0,0
Frosinone,4,2020-02-27,0,0,0,0,0,0
Frosinone,5,2020-02-28,0,0,0,0,0,0
Frosinone,6,2020-02-29,0,0,0,0,0,0
Frosinone,7,2020-03-01,0,0,0,0,0,0
Frosinone,8,2020-03-02,0,0,0,0,0,0
Frosinone,9,2020-03-03,0,0,0,0,0,0
Frosinone,10,2020-03-04,1,1,0,0,0,0.204464272935269
Frosinone,11,2020-03-05,0,1,0,0,0,0.204464272935269
Frosinone,12,2020-03-06,0,1,0,0,0,0.204464272935269
Frosinone,13,2020-03-07,0,1,0,0,0,0.204464272935269
Frosinone,14,2020-03-08,1,2,1,1,0.5,0.408928545870537
Frosinone,15,2020-03-09,0,2,0,1,0.5,0.408928545870537
Frosinone,16,2020-03-10,4,6,0,1,0.166666666666667,1.22678563761161
Frosinone,17,2020-03-11,2,8,0,1,125,1.63571418348215
Frosinone,18,2020-03-12,10,18,0,1,0.0555555555555556,3.68035691283484
Frosinone,19,2020-03-13,10,28,1,2,0.0714285714285714,5.72499964218752
Frosinone,20,2020-03-14,0,28,0,2,0.0714285714285714,5.72499964218752
Frosinone,21,2020-03-15,6,34,1,3,0.0882352941176471,6.95178527979913
Frosinone,22,2020-03-16,10,44,0,3,0.0681818181818182,8.99642800915182
Frosinone,23,2020-03-17,5,49,1,4,0.0816326530612245,10.0187493738282
Frosinone,24,2020-03-18,5,54,1,5,0.0925925925925926,11.0410707385045
Frosinone,25,2020-03-19,-6,48,0,5,0.104166666666667,9.8142851008929
Frosinone,26,2020-03-20,4,52,0,5,0.0961538461538462,10.632142192634
Frosinone,27,2020-03-21,7,59,0,5,0.0847457627118644,12.0633921031809
Frosinone,28,2020-03-22,19,78,2,7,0.0897435897435897,15.948213288951
Frosinone,29,2020-03-23,4,82,1,8,0.0975609756097561,16.766070380692
Frosinone,30,2020-03-24,15,97,1,9,0.0927835051546392,19.8330344747211
Frosinone,31,2020-03-25,9,106,1,10,0.0943396226415094,21.6732129311385
Frosinone,32,2020-03-26,50,156,1,11,0.0705128205128205,31.8964265779019
Frosinone,33,2020-03-27,35,191,4,15,0.0785340314136126,39.0526761306363
Frosinone,34,2020-03-28,41,232,2,17,0.0732758620689655,47.4357113209823
Frosinone,35,2020-03-29,20,252,1,18,0.0714285714285714,51.5249967796877
Frosinone,36,2020-03-30,38,290,2,20,0.0689655172413793,59.2946391512279
Frosinone,37,2020-03-31,31,321,0,20,0.0623052959501558,65.6330316122213
Frosinone,38,2020-04-01,8,329,1,21,0.0638297872340425,67.2687457957034
Frosinone,39,2020-04-02,5,334,1,22,0.0658682634730539,68.2910671603797
Frosinone,40,2020-04-03,20,354,1,23,0.0649717514124294,72.3803526190851
Frosinone,41,2020-04-04,10,364,2,25,0.0686813186813187,74.4249953484378
Frosinone,42,2020-04-05,5,369,3,28,0.0758807588075881,75.4473167131141
Frosinone,43,2020-04-06,5,374,0,28,0.0748663101604278,76.4696380777905
Frosinone,44,2020-04-07,27,401,0,28,0.0698254364089776,81.9901734470427
Frosinone,45,2020-04-08,24,425,1,29,0.0682352941176471,86.8973159974892
Frosinone,46,2020-04-09,16,441,0,29,0.0657596371882086,90.1687443644535
Frosinone,47,2020-04-10,22,463,0,29,0.0626349892008639,94.6669583690294
Frosinone,48,2020-04-11,6,469,0,29,0.0618336886993603,95.893744006641
Frosinone,49,2020-04-12,4,473,1,30,0.0634249471458774,96.7116010983821
Frosinone,50,2020-04-13,-1,472,0,30,0.0635593220338983,96.5071368254468
Frosinone,51,2020-04-14,1,473,0,30,0.0634249471458774,96.7116010983821
Frosinone,52,2020-04-15,6,479,0,30,0.0626304801670146,97.9383867359937
Frosinone,53,2020-04-16,8,487,0,30,0.0616016427104723,99.5741009194758
Frosinone,54,2020-04-17,15,502,0,30,0.0597609561752988,102.641065013505
Frosinone,55,2020-04-18,3,505,0,30,0.0594059405940594,103.254457832311
Frosinone,56,2020-04-19,16,521,0,30,0.0575815738963532,106.525886199275
Frosinone,57,2020-04-20,4,525,1,31,0.0590476190476191,107.343743291016
Frosinone,58,2020-04-21,8,533,0,31,0.0581613508442777,108.979457474498
Frosinone,59,2020-04-22,9,542,1,32,0.0590405904059041,110.819635930916
Frosinone,60,2020-04-23,2,544,2,34,0.0625,111.228564476786
Frosinone,61,2020-04-24,3,547,1,35,0.0639853747714808,111.841957295592
Frosinone,62,2020-04-25,0,547,0,35,0.0639853747714808,111.841957295592
Frosinone,63,2020-04-26,7,554,0,35,0.0631768953068592,113.273207206139
Frosinone,64,2020-04-27,1,555,0,35,0.0630630630630631,113.477671479074
Frosinone,65,2020-04-28,1,556,0,35,0.0629496402877698,113.682135752009
Frosinone,66,2020-04-29,9,565,0,35,0.0619469026548673,115.522314208427
Frosinone,67,2020-04-30,1,566,0,35,0.0618374558303887,115.726778481362
Frosinone,68,2020-05-01,1,567,0,35,0.0617283950617284,115.931242754297
Frosinone,69,2020-05-02,0,567,0,35,0.0617283950617284,115.931242754297
Frosinone,70,2020-05-03,0,567,0,35,0.0617283950617284,115.931242754297
Frosinone,71,2020-05-04,0,567,0,35,0.0617283950617284,115.931242754297
Frosinone,72,2020-05-05,4,571,0,35,0.0612959719789842,116.749099846038
Frosinone,73,2020-05-06,0,571,0,35,0.0612959719789842,116.749099846038
Frosinone,74,2020-05-07,2,573,0,35,0.0610820244328098,117.158028391909
Frosinone,75,2020-05-08,0,573,0,35,0.0610820244328098,117.158028391909
Frosinone,76,2020-05-09,3,576,0,35,0.0607638888888889,117.771421210715
Frosinone,77,2020-05-10,2,578,0,35,0.0605536332179931,118.180349756585
Frosinone,78,2020-05-11,1,579,0,35,0.0604490500863558,118.384814029521
Frosinone,79,2020-05-12,0,579,0,35,0.0604490500863558,118.384814029521
Frosinone,80,2020-05-13,0,579,0,35,0.0604490500863558,118.384814029521
Frosinone,81,2020-05-14,0,579,0,35,0.0604490500863558,118.384814029521
Frosinone,82,2020-05-15,1,580,0,35,0.0603448275862069,118.589278302456
Frosinone,83,2020-05-16,1,581,2,37,0.0636833046471601,118.793742575391
Frosinone,84,2020-05-17,2,583,0,37,0.0634648370497427,119.202671121262
Frosinone,85,2020-05-18,2,585,0,37,0.0632478632478632,119.611599667132
Frosinone,86,2020-05-19,15,600,0,37,0.0616666666666667,122.678563761161
Frosinone,87,2020-05-20,4,604,0,37,0.0612582781456954,123.496420852902
Frosinone,88,2020-05-21,6,610,0,37,0.060655737704918,124.723206490514
Frosinone,89,2020-05-22,0,610,0,37,0.060655737704918,124.723206490514
Frosinone,90,2020-05-23,2,612,0,37,0.0604575163398693,125.132135036384
Frosinone,91,2020-05-24,1,613,0,37,0.0603588907014682,125.33659930932
Frosinone,92,2020-05-25,0,613,0,37,0.0603588907014682,125.33659930932
Frosinone,93,2020-05-26,0,613,1,38,0.0619902120717781,125.33659930932
Frosinone,94,2020-05-27,1,614,0,38,0.0618892508143323,125.541063582255
Frosinone,95,2020-05-28,1,615,0,38,0.0617886178861789,125.74552785519
Frosinone,96,2020-05-29,0,615,0,38,0.0617886178861789,125.74552785519
Frosinone,97,2020-05-30,0,615,0,38,0.0617886178861789,125.74552785519
Frosinone,98,2020-05-31,1,616,0,38,0.0616883116883117,125.949992128125
Frosinone,99,2020-06-01,1,617,0,38,0.0615883306320908,126.154456401061
Frosinone,100,2020-06-02,1,618,0,38,0.0614886731391586,126.358920673996
