Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Latina,1,24/02/2020,0,0,0,0,0,0
Latina,2,25/02/2020,0,0,0,0,0,0
Latina,3,26/02/2020,0,0,0,0,0,0
Latina,4,27/02/2020,0,0,0,0,0,0
Latina,5,28/02/2020,0,0,0,0,0,0
Latina,6,29/02/2020,0,0,0,0,0,0
Latina,7,01/03/2020,0,0,0,0,0,0
Latina,8,02/03/2020,0,0,0,0,0,0
Latina,9,03/03/2020,0,0,0,0,0,0
Latina,10,04/03/2020,0,0,0,0,0,0
Latina,11,05/03/2020,0,0,0,0,0,0
Latina,12,06/03/2020,2,2,0,0,0,0.35
Latina,13,07/03/2020,0,2,0,0,0,0.35
Latina,14,08/03/2020,4,6,0,0,0,1.04
Latina,15,09/03/2020,0,6,0,0,0,1.04
Latina,16,10/03/2020,5,11,1,1,0.09,1.91
Latina,17,11/03/2020,0,11,0,1,0.09,1.91
Latina,18,12/03/2020,0,11,0,1,0.09,1.91
Latina,19,13/03/2020,4,15,0,1,0.07,2.61
Latina,20,14/03/2020,5,20,1,2,0.1,3.48
Latina,21,15/03/2020,3,23,0,2,0.09,4
Latina,22,16/03/2020,0,23,0,2,0.09,4
Latina,23,17/03/2020,0,23,1,3,0.13,4
Latina,24,18/03/2020,0,23,0,3,0.13,4
Latina,25,19/03/2020,0,23,0,3,0.13,4
Latina,26,20/03/2020,92,115,0,3,0.03,19.99
Latina,27,21/03/2020,21,136,1,4,0.03,23.64
Latina,28,22/03/2020,10,146,1,5,0.03,25.38
Latina,29,23/03/2020,13,159,2,7,0.04,27.64
Latina,30,24/03/2020,23,182,0,7,0.04,31.64
Latina,31,25/03/2020,16,198,0,7,0.04,34.42
Latina,32,26/03/2020,8,206,0,7,0.03,35.81
Latina,33,27/03/2020,6,212,0,7,0.03,36.85
Latina,34,28/03/2020,3,215,0,7,0.03,37.37
Latina,35,29/03/2020,24,239,1,8,0.03,41.55
Latina,36,30/03/2020,15,254,0,8,0.03,44.15
Latina,37,31/03/2020,3,257,1,9,0.04,44.68
Latina,38,01/04/2020,15,272,0,9,0.03,47.28
Latina,39,02/04/2020,8,280,1,10,0.04,48.67
