Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Verbano-Cusio-Ossola,1,24/02/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,2,25/02/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,3,26/02/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,4,27/02/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,5,28/02/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,6,29/02/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,7,01/03/2020,0,0,0,0,0,0
Verbano-Cusio-Ossola,8,02/03/2020,4,4,0,0,0,2.53
Verbano-Cusio-Ossola,9,03/03/2020,0,4,0,0,0,2.53
Verbano-Cusio-Ossola,10,04/03/2020,1,5,0,0,0,3.16
Verbano-Cusio-Ossola,11,05/03/2020,0,5,0,0,0,3.16
Verbano-Cusio-Ossola,12,06/03/2020,4,9,0,0,0,5.68
Verbano-Cusio-Ossola,13,07/03/2020,1,10,0,0,0,6.32
Verbano-Cusio-Ossola,14,08/03/2020,3,13,0,0,0,8.21
Verbano-Cusio-Ossola,15,09/03/2020,-2,11,0,0,0,6.95
Verbano-Cusio-Ossola,16,10/03/2020,0,11,0,0,0,6.95
Verbano-Cusio-Ossola,17,11/03/2020,2,13,0,0,0,8.21
Verbano-Cusio-Ossola,18,12/03/2020,5,18,0,0,0,11.37
Verbano-Cusio-Ossola,19,13/03/2020,11,29,1,1,0.034,18.31
Verbano-Cusio-Ossola,20,14/03/2020,7,36,0,1,0.028,22.73
Verbano-Cusio-Ossola,21,15/03/2020,14,50,0,1,0.02,31.58
Verbano-Cusio-Ossola,22,16/03/2020,8,58,4,5,0.086,36.63
Verbano-Cusio-Ossola,23,17/03/2020,18,76,1,6,0.079,48
Verbano-Cusio-Ossola,24,18/03/2020,13,89,1,7,0.079,56.2
Verbano-Cusio-Ossola,25,19/03/2020,0,89,3,10,0.112,56.2
Verbano-Cusio-Ossola,26,20/03/2020,53,142,2,12,0.085,89.68
Verbano-Cusio-Ossola,27,21/03/2020,7,149,5,17,0.114,94.1
Verbano-Cusio-Ossola,28,22/03/2020,10,159,1,18,0.113,100.41
Verbano-Cusio-Ossola,29,23/03/2020,31,190,1,19,0.1,119.99
Verbano-Cusio-Ossola,30,24/03/2020,39,229,8,27,0.118,144.62
Verbano-Cusio-Ossola,31,25/03/2020,18,247,3,30,0.121,155.98
Verbano-Cusio-Ossola,32,26/03/2020,8,255,3,33,0.129,161.04
Verbano-Cusio-Ossola,33,27/03/2020,33,288,2,35,0.122,181.88
Verbano-Cusio-Ossola,34,28/03/2020,20,308,6,41,0.133,194.51
Verbano-Cusio-Ossola,35,29/03/2020,38,346,4,45,0.13,218.5
Verbano-Cusio-Ossola,36,30/03/2020,30,376,2,47,0.125,237.45
Verbano-Cusio-Ossola,37,31/03/2020,17,393,1,48,0.122,248.19
Verbano-Cusio-Ossola,38,01/04/2020,17,410,1,49,0.12,258.92
Verbano-Cusio-Ossola,39,02/04/2020,34,444,5,54,0.122,280.39
Verbano-Cusio-Ossola,40,03/04/2020,61,505,2,56,0.111,318.92
Verbano-Cusio-Ossola,41,04/04/2020,30,535,3,59,0.11,337.86
Verbano-Cusio-Ossola,42,05/04/2020,21,556,3,62,0.112,351.12
Verbano-Cusio-Ossola,43,06/04/2020,63,619,5,67,0.108,390.91
Verbano-Cusio-Ossola,44,07/04/2020,11,630,0,67,0.106,397.86
Verbano-Cusio-Ossola,45,08/04/2020,89,719,1,68,0.095,454.06
Verbano-Cusio-Ossola,46,09/04/2020,55,774,6,74,0.096,488.79
Verbano-Cusio-Ossola,47,10/04/2020,16,790,1,75,0.095,498.9
Verbano-Cusio-Ossola,48,11/04/2020,69,859,2,77,0.09,542.47
Verbano-Cusio-Ossola,49,12/04/2020,6,865,5,82,0.095,546.26
Verbano-Cusio-Ossola,50,13/04/2020,11,876,6,88,0.1,553.21
Verbano-Cusio-Ossola,51,14/04/2020,17,893,0,88,0.099,563.94
Verbano-Cusio-Ossola,52,15/04/2020,11,904,1,89,0.098,570.89
Verbano-Cusio-Ossola,53,16/04/2020,6,910,3,92,0.101,574.68
Verbano-Cusio-Ossola,54,17/04/2020,7,917,1,93,0.101,579.1
Verbano-Cusio-Ossola,55,18/04/2020,4,921,6,99,0.107,581.63
Verbano-Cusio-Ossola,56,19/04/2020,14,935,0,99,0.106,590.47
Verbano-Cusio-Ossola,57,20/04/2020,2,937,0,99,0.106,591.73
Verbano-Cusio-Ossola,58,21/04/2020,8,945,2,101,0.107,596.78
Verbano-Cusio-Ossola,59,22/04/2020,6,951,3,104,0.109,600.57
Verbano-Cusio-Ossola,60,23/04/2020,11,962,0,104,0.108,607.52
Verbano-Cusio-Ossola,61,24/04/2020,8,970,3,107,0.11,612.57
Verbano-Cusio-Ossola,62,25/04/2020,19,989,1,108,0.109,624.57
Verbano-Cusio-Ossola,63,26/04/2020,3,992,0,108,0.109,626.46
Verbano-Cusio-Ossola,64,27/04/2020,4,996,1,109,0.109,628.99
Verbano-Cusio-Ossola,65,28/04/2020,3,999,1,110,0.11,630.88
Verbano-Cusio-Ossola,66,29/04/2020,6,1005,0,110,0.109,634.67
Verbano-Cusio-Ossola,67,30/04/2020,0,1005,0,110,0.109,634.67
Verbano-Cusio-Ossola,68,01/05/2020,17,1022,2,112,0.11,645.41
Verbano-Cusio-Ossola,69,02/05/2020,21,1043,0,112,0.107,658.67
Verbano-Cusio-Ossola,70,03/05/2020,10,1053,0,112,0.106,664.99
Verbano-Cusio-Ossola,71,04/05/2020,12,1065,1,113,0.106,672.57
Verbano-Cusio-Ossola,72,05/05/2020,2,1067,0,113,0.106,673.83
Verbano-Cusio-Ossola,73,06/05/2020,1,1068,2,115,0.108,674.46
Verbano-Cusio-Ossola,74,07/05/2020,1,1069,2,117,0.109,675.09
Verbano-Cusio-Ossola,75,08/05/2020,1,1070,1,118,0.11,675.72
Verbano-Cusio-Ossola,76,09/05/2020,5,1075,2,120,0.112,678.88
Verbano-Cusio-Ossola,77,10/05/2020,6,1081,0,120,0.111,682.67
Verbano-Cusio-Ossola,78,11/05/2020,12,1093,0,120,0.11,690.25
Verbano-Cusio-Ossola,79,12/05/2020,4,1097,0,120,0.109,692.77
Verbano-Cusio-Ossola,80,13/05/2020,1,1098,0,120,0.109,693.41
Verbano-Cusio-Ossola,81,14/05/2020,1,1099,1,121,0.11,694.04
Verbano-Cusio-Ossola,82,15/05/2020,-6,1093,1,122,0.112,690.25
Verbano-Cusio-Ossola,83,16/05/2020,7,1100,0,122,0.111,694.67
Verbano-Cusio-Ossola,84,17/05/2020,0,1100,0,122,0.111,694.67
Verbano-Cusio-Ossola,85,18/05/2020,0,1100,2,124,0.113,694.67
Verbano-Cusio-Ossola,86,19/05/2020,0,1100,0,124,0.113,694.67
Verbano-Cusio-Ossola,87,20/05/2020,0,1100,1,125,0.114,694.67
Verbano-Cusio-Ossola,88,21/05/2020,1,1101,0,125,0.114,695.3
Verbano-Cusio-Ossola,89,22/05/2020,1,1102,0,125,0.113,695.93
Verbano-Cusio-Ossola,90,23/05/2020,1,1103,0,125,0.113,696.56
Verbano-Cusio-Ossola,91,24/05/2020,1,1104,0,125,0.113,697.19
Verbano-Cusio-Ossola,92,25/05/2020,0,1104,0,125,0.113,697.19
Verbano-Cusio-Ossola,93,26/05/2020,2,1106,0,125,0.113,698.46
Verbano-Cusio-Ossola,94,27/05/2020,2,1108,0,125,0.113,699.72
Verbano-Cusio-Ossola,95,28/05/2020,1,1109,0,125,0.113,700.35
Verbano-Cusio-Ossola,96,29/05/2020,-1,1108,0,125,0.113,699.72
Verbano-Cusio-Ossola,97,30/05/2020,0,1108,0,125,0.113,699.72
Verbano-Cusio-Ossola,98,31/05/2020,0,1108,0,125,0.113,699.72
Verbano-Cusio-Ossola,99,01/06/2020,0,1108,0,125,0.113,699.72
Verbano-Cusio-Ossola,100,02/06/2020,3,1111,1,126,0.113,701.61
Verbano-Cusio-Ossola,101,03/06/2020,0,1111,1,127,0.114,701.61
Verbano-Cusio-Ossola,102,04/06/2020,0,1111,0,127,0.114,701.61
Verbano-Cusio-Ossola,103,05/06/2020,0,1111,0,127,0.114,701.61
Verbano-Cusio-Ossola,104,06/06/2020,0,1111,0,127,0.114,701.61
Verbano-Cusio-Ossola,105,07/06/2020,0,1111,0,127,0.114,701.61
Verbano-Cusio-Ossola,106,08/06/2020,0,1111,0,127,0.114,701.61
Verbano-Cusio-Ossola,107,09/06/2020,0,1111,0,127,0.114,701.61
Verbano-Cusio-Ossola,108,10/06/2020,2,1113,1,128,0.115,702.88
Verbano-Cusio-Ossola,109,11/06/2020,1,1114,0,128,0.115,703.51
Verbano-Cusio-Ossola,110,12/06/2020,2,1116,1,129,0.116,704.77
Verbano-Cusio-Ossola,111,13/06/2020,0,1116,0,129,0.116,704.77
