Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Torino,1,24/02/2020,0,0,0,0,0,0
Torino,2,25/02/2020,3,3,0,0,0,0.13
Torino,3,26/02/2020,0,3,0,0,0,0.13
Torino,4,27/02/2020,-1,2,0,0,0,0.09
Torino,5,28/02/2020,9,11,0,0,0,0.49
Torino,6,29/02/2020,0,11,0,0,0,0.49
Torino,7,01/03/2020,38,49,0,0,0,2.17
Torino,8,02/03/2020,-43,6,0,0,0,0.27
Torino,9,03/03/2020,1,7,0,0,0,0.31
Torino,10,04/03/2020,4,11,0,0,0,0.49
Torino,11,05/03/2020,8,19,0,0,0,0.84
Torino,12,06/03/2020,15,34,0,0,0,1.5
Torino,13,07/03/2020,21,55,0,0,0,2.43
Torino,14,08/03/2020,34,89,0,0,0,3.94
Torino,15,09/03/2020,-2,87,2,2,0.02,3.85
Torino,16,10/03/2020,24,111,0,2,0.02,4.91
Torino,17,11/03/2020,48,159,0,2,0.01,7.04
Torino,18,12/03/2020,28,187,5,7,0.04,8.28
Torino,19,13/03/2020,118,305,3,10,0.03,13.5
Torino,20,14/03/2020,0,305,4,14,0.05,13.5
Torino,21,15/03/2020,54,359,3,17,0.05,15.89
Torino,22,16/03/2020,183,542,2,19,0.04,23.99
Torino,23,17/03/2020,207,749,4,23,0.03,33.15
Torino,24,18/03/2020,293,1042,10,33,0.03,46.12
Torino,25,19/03/2020,0,1042,2,35,0.03,46.12
Torino,26,20/03/2020,514,1556,14,49,0.03,68.86
Torino,27,21/03/2020,124,1680,13,62,0.04,74.35
Torino,28,22/03/2020,309,1989,8,70,0.04,88.03
Torino,29,23/03/2020,209,2198,16,86,0.04,97.28
Torino,30,24/03/2020,298,2496,19,105,0.04,110.47
Torino,31,25/03/2020,317,2813,48,153,0.05,124.5
Torino,32,26/03/2020,295,3108,17,170,0.06,137.55
Torino,33,27/03/2020,253,3361,23,193,0.06,148.75
Torino,34,28/03/2020,297,3658,20,213,0.06,161.89
Torino,35,29/03/2020,275,3933,23,236,0.06,174.06
Torino,36,30/03/2020,217,4150,35,271,0.06,183.67
Torino,37,31/03/2020,305,4455,32,303,0.07,197.17
Torino,38,01/04/2020,256,4711,36,339,0.07,208.5
Torino,39,02/04/2020,280,4991,43,382,0.08,220.89
Torino,40,03/04/2020,304,5295,38,420,0.08,234.34
Torino,41,04/04/2020,477,5772,27,447,0.08,255.45
Torino,42,05/04/2020,213,5985,21,468,0.08,264.88
Torino,43,06/04/2020,195,6180,43,511,0.08,273.51
