Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Torino,1,24/02/2020,0,0,0,0,0.0,1000000.0
Torino,2,25/02/2020,3,3,0,0,0.0,1000000.0
Torino,3,26/02/2020,0,3,0,0,0.0,1000000.0
Torino,4,27/02/2020,-1,2,0,0,0.0,1000000.0
Torino,5,28/02/2020,9,11,0,0,0.0,1000000.0
Torino,6,29/02/2020,0,11,0,0,0.0,1000000.0
Torino,7,01/03/2020,38,49,0,0,0.0,1000000.0
Torino,8,02/03/2020,-43,6,0,0,0.0,1000000.0
Torino,9,03/03/2020,1,7,0,0,0.0,1000000.0
Torino,10,04/03/2020,4,11,0,0,0.0,1000000.0
Torino,11,05/03/2020,8,19,0,0,0.0,1000000.0
Torino,12,06/03/2020,15,34,0,0,0.0,1000000.0
Torino,13,07/03/2020,21,55,0,0,0.0,1000000.0
Torino,14,08/03/2020,34,89,0,0,0.0,1000000.0
Torino,15,09/03/2020,-2,87,2,2,0.023,1000000.0
Torino,16,10/03/2020,24,111,0,2,0.018000000000000002,1000000.0
Torino,17,11/03/2020,48,159,0,2,0.013000000000000001,1000000.0
Torino,18,12/03/2020,28,187,5,7,0.037000000000000005,1000000.0
Torino,19,13/03/2020,118,305,3,10,0.033,1000000.0
Torino,20,14/03/2020,0,305,4,14,0.046,1000000.0
Torino,21,15/03/2020,54,359,3,17,0.047,1000000.0
Torino,22,16/03/2020,183,542,2,19,0.035,1000000.0
Torino,23,17/03/2020,207,749,4,23,0.031,1000000.0
Torino,24,18/03/2020,293,1042,10,33,0.032,1000000.0
Torino,25,19/03/2020,0,1042,2,35,0.034,1000000.0
Torino,26,20/03/2020,514,1556,14,49,0.031,1000000.0
Torino,27,21/03/2020,124,1680,13,62,0.037000000000000005,1000000.0
Torino,28,22/03/2020,309,1989,8,70,0.035,1000000.0
Torino,29,23/03/2020,209,2198,16,86,0.039,1000000.0
Torino,30,24/03/2020,298,2496,19,105,0.042,1000000.0
Torino,31,25/03/2020,317,2813,48,153,0.054000000000000006,1000000.0
Torino,32,26/03/2020,295,3108,17,170,0.055,1000000.0
Torino,33,27/03/2020,253,3361,23,193,0.057,1000000.0
Torino,34,28/03/2020,297,3658,20,213,0.057999999999999996,1000000.0
Torino,35,29/03/2020,275,3933,23,236,0.06,1000000.0
Torino,36,30/03/2020,217,4150,35,271,0.065,1000000.0
Torino,37,31/03/2020,305,4455,32,303,0.068,1000000.0
Torino,38,01/04/2020,256,4711,36,339,0.07200000000000001,1000000.0
Torino,39,02/04/2020,280,4991,43,382,0.077,1000000.0
Torino,40,03/04/2020,304,5295,38,420,0.079,1000000.0
Torino,41,04/04/2020,477,5772,27,447,0.077,1000000.0
Torino,42,05/04/2020,213,5985,21,468,0.078,1000000.0
Torino,43,06/04/2020,195,6180,43,511,0.083,1000000.0
Torino,44,07/04/2020,195,6375,31,542,0.085,1000000.0
Torino,45,08/04/2020,220,6595,30,572,0.087,1000000.0
Torino,46,09/04/2020,330,6925,33,605,0.087,1000000.0
Torino,47,10/04/2020,301,7226,36,641,0.08900000000000001,1000000.0
Torino,48,11/04/2020,379,7605,48,689,0.091,1000000.0
Torino,49,12/04/2020,334,7939,38,727,0.092,1000000.0
Torino,50,13/04/2020,190,8129,36,763,0.094,1000000.0
Torino,51,14/04/2020,210,8339,40,803,0.096,1000000.0
Torino,52,15/04/2020,317,8656,42,845,0.098,1000000.0
