Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Udine,1,24/02/2020,0,0,0,0,0,0
Udine,2,25/02/2020,0,0,0,0,0,0
Udine,3,26/02/2020,0,0,0,0,0,0
Udine,4,27/02/2020,0,0,0,0,0,0
Udine,5,28/02/2020,0,0,0,0,0,0
Udine,6,29/02/2020,0,0,0,0,0,0
Udine,7,01/03/2020,0,0,0,0,0,0
Udine,8,02/03/2020,0,0,0,0,0,0
Udine,9,03/03/2020,8,8,0,0,0,1.51
Udine,10,04/03/2020,0,8,0,0,0,1.51
Udine,11,05/03/2020,3,11,0,0,0,2.08
Udine,12,06/03/2020,7,18,0,0,0,3.4
Udine,13,07/03/2020,5,23,0,0,0,4.35
Udine,14,08/03/2020,1,24,0,0,0,4.54
Udine,15,09/03/2020,0,24,0,0,0,4.54
Udine,16,10/03/2020,2,26,0,0,0,4.92
Udine,17,11/03/2020,18,44,0,0,0,8.32
Udine,18,12/03/2020,0,44,0,0,0,8.32
Udine,19,13/03/2020,31,75,0,0,0,14.18
Udine,20,14/03/2020,13,88,0,0,0,16.64
Udine,21,15/03/2020,41,129,0,0,0,24.4
Udine,22,16/03/2020,23,152,0,0,0,28.74
Udine,23,17/03/2020,-7,145,0,0,0,27.42
Udine,24,18/03/2020,36,181,0,0,0,34.23
Udine,25,19/03/2020,85,266,0,0,0,50.3
Udine,26,20/03/2020,30,296,0,0,0,55.98
Udine,27,21/03/2020,42,338,0,0,0,63.92
Udine,28,22/03/2020,23,361,0,0,0,68.27
Udine,29,23/03/2020,24,385,0,0,0,72.81
Udine,30,24/03/2020,20,405,0,0,0,76.59
Udine,31,25/03/2020,26,431,0,0,0,81.51
Udine,32,26/03/2020,29,460,0,0,0,86.99
Udine,33,27/03/2020,27,487,0,0,0,92.1
Udine,34,28/03/2020,43,530,0,0,0,100.23
Udine,35,29/03/2020,6,536,0,0,0,101.36
Udine,36,30/03/2020,-12,524,0,0,0,99.09
Udine,37,31/03/2020,12,536,0,0,0,101.36
Udine,38,01/04/2020,40,576,0,0,0,108.93
Udine,39,02/04/2020,65,641,3,3,0.005,121.22
Udine,40,03/04/2020,40,681,0,3,0.004,128.78
Udine,41,04/04/2020,73,754,4,7,0.009,142.59
Udine,42,05/04/2020,32,786,2,9,0.011,148.64
Udine,43,06/04/2020,7,793,3,12,0.015,149.96
Udine,44,07/04/2020,20,813,0,12,0.015,153.75
Udine,45,08/04/2020,17,830,0,12,0.014,156.96
Udine,46,09/04/2020,9,839,0,12,0.014,158.66
Udine,47,10/04/2020,6,845,1,13,0.015,159.8
Udine,48,11/04/2020,20,865,1,14,0.016,163.58
Udine,49,12/04/2020,8,873,5,19,0.022,165.09
Udine,50,13/04/2020,11,884,0,19,0.021,167.17
Udine,51,14/04/2020,6,890,0,19,0.021,168.31
Udine,52,15/04/2020,1,891,3,22,0.025,168.5
Udine,53,16/04/2020,4,895,2,24,0.027,169.25
Udine,54,17/04/2020,2,897,0,24,0.027,169.63
Udine,55,18/04/2020,9,906,2,26,0.029,171.33
Udine,56,19/04/2020,4,910,0,26,0.029,172.09
Udine,57,20/04/2020,5,915,2,28,0.031,173.04
Udine,58,21/04/2020,6,921,0,28,0.03,174.17
Udine,59,22/04/2020,8,929,1,29,0.031,175.68
Udine,60,23/04/2020,2,931,0,29,0.031,176.06
Udine,61,24/04/2020,4,935,0,29,0.031,176.82
Udine,62,25/04/2020,2,937,0,29,0.031,177.2
Udine,63,26/04/2020,1,938,1,30,0.032,177.39
Udine,64,27/04/2020,6,944,1,31,0.033,178.52
Udine,65,28/04/2020,5,949,2,33,0.035,179.47
Udine,66,29/04/2020,2,951,1,34,0.036,179.84
Udine,67,30/04/2020,0,951,0,34,0.036,179.84
Udine,68,01/05/2020,2,953,1,35,0.037,180.22
Udine,69,02/05/2020,1,954,0,35,0.037,180.41
Udine,70,03/05/2020,3,957,1,36,0.038,180.98
Udine,71,04/05/2020,0,957,1,37,0.039,180.98
Udine,72,05/05/2020,1,958,0,37,0.039,181.17
Udine,73,06/05/2020,1,959,0,37,0.039,181.36
Udine,74,07/05/2020,8,967,0,37,0.038,182.87
Udine,75,08/05/2020,0,967,0,37,0.038,182.87
Udine,76,09/05/2020,1,968,0,37,0.038,183.06
Udine,77,10/05/2020,0,968,0,37,0.038,183.06
Udine,78,11/05/2020,2,970,0,37,0.038,183.44
Udine,79,12/05/2020,0,970,0,37,0.038,183.44
Udine,80,13/05/2020,1,971,0,37,0.038,183.63
Udine,81,14/05/2020,1,972,0,37,0.038,183.82
Udine,82,15/05/2020,1,973,0,37,0.038,184
Udine,83,16/05/2020,0,973,0,37,0.038,184
Udine,84,17/05/2020,0,973,0,37,0.038,184
Udine,85,18/05/2020,0,973,0,37,0.038,184
Udine,86,19/05/2020,0,973,0,37,0.038,184
Udine,87,20/05/2020,1,974,0,37,0.038,184.19
Udine,88,21/05/2020,1,975,0,37,0.038,184.38
Udine,89,22/05/2020,4,979,0,37,0.038,185.14
Udine,90,23/05/2020,0,979,0,37,0.038,185.14
Udine,91,24/05/2020,1,980,0,37,0.038,185.33
Udine,92,25/05/2020,0,980,0,37,0.038,185.33
Udine,93,26/05/2020,1,981,0,37,0.038,185.52
Udine,94,27/05/2020,0,981,0,37,0.038,185.52
Udine,95,28/05/2020,0,981,0,37,0.038,185.52
Udine,96,29/05/2020,1,982,0,37,0.038,185.71
Udine,97,30/05/2020,0,982,0,37,0.038,185.71
Udine,98,31/05/2020,1,983,0,37,0.038,185.9
Udine,99,01/06/2020,1,984,0,37,0.038,186.08
Udine,100,02/06/2020,2,986,0,37,0.038,186.46
Udine,101,03/06/2020,0,986,0,37,0.038,186.46
Udine,102,04/06/2020,1,987,0,37,0.037,186.65
Udine,103,05/06/2020,1,988,0,37,0.037,186.84
Udine,104,06/06/2020,1,989,0,37,0.037,187.03
Udine,105,07/06/2020,0,989,1,38,0.038,187.03
Udine,106,08/06/2020,0,989,0,38,0.038,187.03
Udine,107,09/06/2020,0,989,0,38,0.038,187.03
Udine,108,10/06/2020,2,991,0,38,0.038,187.41
Udine,109,11/06/2020,0,991,0,38,0.038,187.41
Udine,110,12/06/2020,1,992,0,38,0.038,187.6
Udine,111,13/06/2020,1,993,0,38,0.038,187.79
Udine,112,14/06/2020,0,993,0,38,0.038,187.79
Udine,113,15/06/2020,0,993,0,38,0.038,187.79
Udine,114,16/06/2020,0,993,0,38,0.038,187.79
Udine,115,17/06/2020,1,994,0,38,0.038,187.98
Udine,116,18/06/2020,1,995,0,38,0.038,188.17
Udine,117,19/06/2020,1,996,0,38,0.038,188.35
Udine,118,20/06/2020,1,997,0,38,0.038,188.54
Udine,119,21/06/2020,0,997,0,38,0.038,188.54
Udine,120,22/06/2020,0,997,0,38,0.038,188.54
Udine,121,23/06/2020,0,997,0,38,0.038,188.54
Udine,122,24/06/2020,0,997,0,38,0.038,188.54
Udine,123,25/06/2020,0,997,1,39,0.039,188.54
Udine,124,26/06/2020,0,997,0,39,0.039,188.54
Udine,125,27/06/2020,0,997,0,39,0.039,188.54
Udine,126,28/06/2020,0,997,0,39,0.039,188.54
Udine,127,29/06/2020,0,997,0,39,0.039,188.54
Udine,128,30/06/2020,0,997,0,39,0.039,188.54
Udine,129,01/07/2020,1,998,0,39,0.039,188.73
Udine,130,02/07/2020,0,998,0,39,0.039,188.73
Udine,131,03/07/2020,0,998,0,39,0.039,188.73
Udine,132,04/07/2020,3,1001,0,39,0.039,189.3
Udine,133,05/07/2020,0,1001,0,39,0.039,189.3
Udine,134,06/07/2020,0,1001,0,39,0.039,189.3
Udine,135,07/07/2020,0,1001,0,39,0.039,189.3
Udine,136,08/07/2020,0,1001,0,39,0.039,189.3
Udine,137,09/07/2020,0,1001,0,39,0.039,189.3
Udine,138,10/07/2020,0,1001,0,39,0.039,189.3
Udine,139,11/07/2020,0,1001,0,39,0.039,189.3
Udine,140,12/07/2020,0,1001,0,39,0.039,189.3
Udine,141,13/07/2020,0,1001,0,39,0.039,189.3
Udine,142,14/07/2020,1,1002,0,39,0.039,189.49
Udine,143,15/07/2020,0,1002,0,39,0.039,189.49
Udine,144,16/07/2020,1,1003,0,39,0.039,189.68
Udine,145,17/07/2020,0,1003,0,39,0.039,189.68
Udine,146,18/07/2020,0,1003,0,39,0.039,189.68
Udine,147,19/07/2020,0,1003,0,39,0.039,189.68
Udine,148,20/07/2020,4,1007,0,39,0.039,190.43
Udine,149,21/07/2020,1,1008,0,39,0.039,190.62
Udine,150,22/07/2020,2,1010,0,39,0.039,191
Udine,151,23/07/2020,3,1013,0,39,0.038,191.57
Udine,152,24/07/2020,1,1014,0,39,0.038,191.76
Udine,153,25/07/2020,2,1016,0,39,0.038,192.14
Udine,154,26/07/2020,0,1016,0,39,0.038,192.14
Udine,155,27/07/2020,0,1016,0,39,0.038,192.14
Udine,156,28/07/2020,0,1016,0,39,0.038,192.14
Udine,157,29/07/2020,1,1017,0,39,0.038,192.33
Udine,158,30/07/2020,8,1025,0,39,0.038,193.84
Udine,159,31/07/2020,1,1026,0,39,0.038,194.03
Udine,160,01/08/2020,1,1027,0,39,0.038,194.22
Udine,161,02/08/2020,2,1029,0,39,0.038,194.59
Udine,162,03/08/2020,0,1029,0,39,0.038,194.59
Udine,163,04/08/2020,0,1029,0,39,0.038,194.59
Udine,164,05/08/2020,7,1036,0,39,0.038,195.92
Udine,165,06/08/2020,4,1040,0,39,0.038,196.68
Udine,166,07/08/2020,3,1043,0,39,0.037,197.24
Udine,167,08/08/2020,4,1047,0,39,0.037,198
Udine,168,09/08/2020,5,1052,0,39,0.037,198.94
Udine,169,10/08/2020,0,1052,0,39,0.037,198.94
Udine,170,11/08/2020,1,1053,0,39,0.037,199.13
Udine,171,12/08/2020,6,1059,0,39,0.037,200.27
