Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Pordenone,1,24/02/2020,0,0,0,0,0,0
Pordenone,2,25/02/2020,0,0,0,0,0,0
Pordenone,3,26/02/2020,0,0,0,0,0,0
Pordenone,4,27/02/2020,0,0,0,0,0,0
Pordenone,5,28/02/2020,0,0,0,0,0,0
Pordenone,6,29/02/2020,0,0,0,0,0,0
Pordenone,7,01/03/2020,0,0,0,0,0,0
Pordenone,8,02/03/2020,0,0,0,0,0,0
Pordenone,9,03/03/2020,0,0,0,0,0,0
Pordenone,10,04/03/2020,0,0,0,0,0,0
Pordenone,11,05/03/2020,0,0,0,0,0,0
Pordenone,12,06/03/2020,0,0,0,0,0,0
Pordenone,13,07/03/2020,2,2,0,0,0,0.64
Pordenone,14,08/03/2020,0,2,0,0,0,0.64
Pordenone,15,09/03/2020,0,2,0,0,0,0.64
Pordenone,16,10/03/2020,2,4,0,0,0,1.28
Pordenone,17,11/03/2020,9,13,0,0,0,4.16
Pordenone,18,12/03/2020,0,13,0,0,0,4.16
Pordenone,19,13/03/2020,18,31,0,0,0,9.92
Pordenone,20,14/03/2020,14,45,0,0,0,14.4
Pordenone,21,15/03/2020,-3,42,0,0,0,13.44
Pordenone,22,16/03/2020,12,54,0,0,0,17.28
Pordenone,23,17/03/2020,0,54,0,0,0,17.28
Pordenone,24,18/03/2020,22,76,0,0,0,24.32
Pordenone,25,19/03/2020,21,97,0,0,0,31.04
Pordenone,26,20/03/2020,17,114,0,0,0,36.48
Pordenone,27,21/03/2020,30,144,0,0,0,46.08
Pordenone,28,22/03/2020,21,165,0,0,0,52.79
Pordenone,29,23/03/2020,5,170,0,0,0,54.39
Pordenone,30,24/03/2020,31,201,0,0,0,64.31
Pordenone,31,25/03/2020,76,277,0,0,0,88.63
Pordenone,32,26/03/2020,18,295,0,0,0,94.39
Pordenone,33,27/03/2020,37,332,0,0,0,106.23
Pordenone,34,28/03/2020,30,362,0,0,0,115.83
Pordenone,35,29/03/2020,6,368,0,0,0,117.75
Pordenone,36,30/03/2020,15,383,0,0,0,122.55
Pordenone,37,31/03/2020,22,405,0,0,0,129.59
Pordenone,38,01/04/2020,14,419,1,1,0.002,134.07
Pordenone,39,02/04/2020,22,441,1,2,0.005,141.11
Pordenone,40,03/04/2020,11,452,1,3,0.007,144.62
Pordenone,41,04/04/2020,9,461,1,4,0.009,147.5
Pordenone,42,05/04/2020,9,470,1,5,0.011,150.38
