Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Siracusa,1,24/02/2020,0,0,0,0,0,0
Siracusa,2,25/02/2020,0,0,0,0,0,0
Siracusa,3,26/02/2020,0,0,0,0,0,0
Siracusa,4,27/02/2020,0,0,0,0,0,0
Siracusa,5,28/02/2020,0,0,0,0,0,0
Siracusa,6,29/02/2020,0,0,0,0,0,0
Siracusa,7,01/03/2020,0,0,0,0,0,0
Siracusa,8,02/03/2020,0,0,0,0,0,0
Siracusa,9,03/03/2020,0,0,0,0,0,0
Siracusa,10,04/03/2020,0,0,0,0,0,0
Siracusa,11,05/03/2020,0,0,0,0,0,0
Siracusa,12,06/03/2020,2,2,0,0,0,0.5
Siracusa,13,07/03/2020,0,2,0,0,0,0.5
Siracusa,14,08/03/2020,0,2,0,0,0,0.5
Siracusa,15,09/03/2020,0,2,0,0,0,0.5
Siracusa,16,10/03/2020,0,2,0,0,0,0.5
Siracusa,17,11/03/2020,1,3,1,1,0.333,0.75
Siracusa,18,12/03/2020,2,5,0,1,0.2,1.25
Siracusa,19,13/03/2020,0,5,0,1,0.2,1.25
Siracusa,20,14/03/2020,0,5,0,1,0.2,1.25
Siracusa,21,15/03/2020,10,15,0,1,0.067,3.76
Siracusa,22,16/03/2020,6,21,0,1,0.048,5.26
Siracusa,23,17/03/2020,0,21,0,1,0.048,5.26
Siracusa,24,18/03/2020,7,28,0,1,0.036,7.01
Siracusa,25,19/03/2020,5,33,0,1,0.03,8.27
Siracusa,26,20/03/2020,7,40,0,1,0.025,10.02
Siracusa,27,21/03/2020,3,43,0,1,0.023,10.77
Siracusa,28,22/03/2020,6,49,0,1,0.02,12.27
Siracusa,29,23/03/2020,0,49,0,1,0.02,12.27
Siracusa,30,24/03/2020,0,49,0,1,0.02,12.27
Siracusa,31,25/03/2020,15,64,0,1,0.016,16.03
Siracusa,32,26/03/2020,13,77,1,2,0.026,19.29
Siracusa,33,27/03/2020,2,79,0,2,0.025,19.79
Siracusa,34,28/03/2020,5,84,0,2,0.024,21.04
Siracusa,35,29/03/2020,3,87,1,3,0.034,21.79
Siracusa,36,30/03/2020,2,89,3,6,0.067,22.29
Siracusa,37,31/03/2020,4,93,0,6,0.065,23.3
Siracusa,38,01/04/2020,5,98,0,6,0.061,24.55
Siracusa,39,02/04/2020,3,101,0,6,0.059,25.3
Siracusa,40,03/04/2020,5,106,0,6,0.057,26.55
Siracusa,41,04/04/2020,1,107,0,6,0.056,26.8
Siracusa,42,05/04/2020,2,109,1,7,0.064,27.3
Siracusa,43,06/04/2020,2,111,0,7,0.063,27.8
Siracusa,44,07/04/2020,2,113,0,7,0.062,28.3
Siracusa,45,08/04/2020,9,122,2,9,0.074,30.56
Siracusa,46,09/04/2020,2,124,0,9,0.073,31.06
Siracusa,47,10/04/2020,11,135,0,9,0.067,33.82
Siracusa,48,11/04/2020,11,146,1,10,0.068,36.57
Siracusa,49,12/04/2020,2,148,0,10,0.068,37.07
Siracusa,50,13/04/2020,1,149,1,11,0.074,37.32
Siracusa,51,14/04/2020,7,156,0,11,0.071,39.08
Siracusa,52,15/04/2020,2,158,1,12,0.076,39.58
Siracusa,53,16/04/2020,16,174,2,14,0.08,43.58
Siracusa,54,17/04/2020,3,177,2,16,0.09,44.34
Siracusa,55,18/04/2020,5,182,1,17,0.093,45.59
Siracusa,56,19/04/2020,0,182,0,17,0.093,45.59
Siracusa,57,20/04/2020,1,183,0,17,0.093,45.84
Siracusa,58,21/04/2020,14,197,0,17,0.086,49.35
Siracusa,59,22/04/2020,0,197,1,18,0.091,49.35
Siracusa,60,23/04/2020,0,197,1,19,0.096,49.35
Siracusa,61,24/04/2020,3,200,3,22,0.11,50.1
Siracusa,62,25/04/2020,1,201,1,23,0.114,50.35
Siracusa,63,26/04/2020,10,211,0,23,0.109,52.85
Siracusa,64,27/04/2020,10,221,1,24,0.109,55.36
Siracusa,65,28/04/2020,0,221,0,24,0.109,55.36
Siracusa,66,29/04/2020,3,224,0,24,0.107,56.11
Siracusa,67,30/04/2020,3,227,0,24,0.106,56.86
Siracusa,68,01/05/2020,0,227,0,24,0.106,56.86
Siracusa,69,02/05/2020,3,230,0,24,0.104,57.61
Siracusa,70,03/05/2020,4,234,0,24,0.103,58.61
Siracusa,71,04/05/2020,0,234,1,25,0.107,58.61
Siracusa,72,05/05/2020,1,235,0,25,0.106,58.86
Siracusa,73,06/05/2020,0,235,0,25,0.106,58.86
Siracusa,74,07/05/2020,0,235,0,25,0.106,58.86
Siracusa,75,08/05/2020,0,235,1,26,0.111,58.86
Siracusa,76,09/05/2020,4,239,1,27,0.113,59.87
Siracusa,77,10/05/2020,0,239,0,27,0.113,59.87
Siracusa,78,11/05/2020,0,239,0,27,0.113,59.87
Siracusa,79,12/05/2020,0,239,0,27,0.113,59.87
Siracusa,80,13/05/2020,2,241,0,27,0.112,60.37
Siracusa,81,14/05/2020,0,241,0,27,0.112,60.37
Siracusa,82,15/05/2020,0,241,0,27,0.112,60.37
Siracusa,83,16/05/2020,0,241,1,28,0.116,60.37
Siracusa,84,17/05/2020,4,245,0,28,0.114,61.37
Siracusa,85,18/05/2020,1,246,0,28,0.114,61.62
Siracusa,86,19/05/2020,0,246,0,28,0.114,61.62
Siracusa,87,20/05/2020,2,248,0,28,0.113,62.12
Siracusa,88,21/05/2020,0,248,0,28,0.113,62.12
Siracusa,89,22/05/2020,0,248,0,28,0.113,62.12
Siracusa,90,23/05/2020,0,248,0,28,0.113,62.12
Siracusa,91,24/05/2020,0,248,0,28,0.113,62.12
Siracusa,92,25/05/2020,0,248,1,29,0.117,62.12
Siracusa,93,26/05/2020,0,248,0,29,0.117,62.12
Siracusa,94,27/05/2020,3,251,0,29,0.116,62.87
Siracusa,95,28/05/2020,0,251,0,29,0.116,62.87
Siracusa,96,29/05/2020,0,251,0,29,0.116,62.87
Siracusa,97,30/05/2020,0,251,0,29,0.116,62.87
Siracusa,98,31/05/2020,0,251,0,29,0.116,62.87
Siracusa,99,01/06/2020,0,251,0,29,0.116,62.87
Siracusa,100,02/06/2020,0,251,0,29,0.116,62.87
Siracusa,101,03/06/2020,0,251,0,29,0.116,62.87
Siracusa,102,04/06/2020,0,251,0,29,0.116,62.87
Siracusa,103,05/06/2020,0,251,0,29,0.116,62.87
Siracusa,104,06/06/2020,0,251,0,29,0.116,62.87
Siracusa,105,07/06/2020,0,251,0,29,0.116,62.87
Siracusa,106,08/06/2020,0,251,0,29,0.116,62.87
Siracusa,107,09/06/2020,0,251,0,29,0.116,62.87
Siracusa,108,10/06/2020,0,251,0,29,0.116,62.87
Siracusa,109,11/06/2020,0,251,0,29,0.116,62.87
