Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Vibo Valentia,1,24/02/2020,0,0,0,0,0,0
Vibo Valentia,2,25/02/2020,0,0,0,0,0,0
Vibo Valentia,3,26/02/2020,0,0,0,0,0,0
Vibo Valentia,4,27/02/2020,0,0,0,0,0,0
Vibo Valentia,5,28/02/2020,0,0,0,0,0,0
Vibo Valentia,6,29/02/2020,0,0,0,0,0,0
Vibo Valentia,7,01/03/2020,0,0,0,0,0,0
Vibo Valentia,8,02/03/2020,0,0,0,0,0,0
Vibo Valentia,9,03/03/2020,0,0,0,0,0,0
Vibo Valentia,10,04/03/2020,0,0,0,0,0,0
Vibo Valentia,11,05/03/2020,0,0,0,0,0,0
Vibo Valentia,12,06/03/2020,0,0,0,0,0,0
Vibo Valentia,13,07/03/2020,0,0,0,0,0,0
Vibo Valentia,14,08/03/2020,0,0,0,0,0,0
Vibo Valentia,15,09/03/2020,2,2,0,0,0,1.25
Vibo Valentia,16,10/03/2020,-1,1,0,0,0,0.62
Vibo Valentia,17,11/03/2020,4,5,0,0,0,3.12
Vibo Valentia,18,12/03/2020,0,5,0,0,0,3.12
Vibo Valentia,19,13/03/2020,0,5,0,0,0,3.12
Vibo Valentia,20,14/03/2020,12,17,0,0,0,10.62
Vibo Valentia,21,15/03/2020,-11,6,0,0,0,3.75
Vibo Valentia,22,16/03/2020,0,6,0,0,0,3.75
Vibo Valentia,23,17/03/2020,0,6,0,0,0,3.75
Vibo Valentia,24,18/03/2020,2,8,0,0,0,5
Vibo Valentia,25,19/03/2020,0,8,0,0,0,5
Vibo Valentia,26,20/03/2020,0,8,0,0,0,5
Vibo Valentia,27,21/03/2020,3,11,0,0,0,6.87
Vibo Valentia,28,22/03/2020,3,14,0,0,0,8.75
Vibo Valentia,29,23/03/2020,6,20,0,0,0,12.49
Vibo Valentia,30,24/03/2020,1,21,0,0,0,13.12
Vibo Valentia,31,25/03/2020,2,23,0,0,0,14.37
Vibo Valentia,32,26/03/2020,5,28,1,1,0.036,17.49
Vibo Valentia,33,27/03/2020,1,29,0,1,0.034,18.12
Vibo Valentia,34,28/03/2020,10,39,0,1,0.026,24.36
Vibo Valentia,35,29/03/2020,0,39,0,1,0.026,24.36
Vibo Valentia,36,30/03/2020,5,44,0,1,0.023,27.49
Vibo Valentia,37,31/03/2020,0,44,0,1,0.023,27.49
Vibo Valentia,38,01/04/2020,0,44,0,1,0.023,27.49
Vibo Valentia,39,02/04/2020,4,48,0,1,0.021,29.99
Vibo Valentia,40,03/04/2020,6,54,1,2,0.037,33.73
Vibo Valentia,41,04/04/2020,3,57,0,2,0.035,35.61
Vibo Valentia,42,05/04/2020,3,60,3,5,0.083,37.48
Vibo Valentia,43,06/04/2020,0,60,0,5,0.083,37.48
Vibo Valentia,44,07/04/2020,0,60,0,5,0.083,37.48
Vibo Valentia,45,08/04/2020,1,61,0,5,0.082,38.11
Vibo Valentia,46,09/04/2020,0,61,0,5,0.082,38.11
Vibo Valentia,47,10/04/2020,4,65,0,5,0.077,40.61
Vibo Valentia,48,11/04/2020,3,68,0,5,0.074,42.48
Vibo Valentia,49,12/04/2020,0,68,0,5,0.074,42.48
Vibo Valentia,50,13/04/2020,0,68,0,5,0.074,42.48
Vibo Valentia,51,14/04/2020,0,68,0,5,0.074,42.48
Vibo Valentia,52,15/04/2020,0,68,0,5,0.074,42.48
Vibo Valentia,53,16/04/2020,2,70,0,5,0.071,43.73
Vibo Valentia,54,17/04/2020,0,70,0,5,0.071,43.73
Vibo Valentia,55,18/04/2020,0,70,0,5,0.071,43.73
Vibo Valentia,56,19/04/2020,1,71,0,5,0.07,44.35
Vibo Valentia,57,20/04/2020,0,71,0,5,0.07,44.35
Vibo Valentia,58,21/04/2020,0,71,0,5,0.07,44.35
Vibo Valentia,59,22/04/2020,0,71,0,5,0.07,44.35
Vibo Valentia,60,23/04/2020,0,71,0,5,0.07,44.35
Vibo Valentia,61,24/04/2020,1,72,0,5,0.069,44.98
Vibo Valentia,62,25/04/2020,0,72,0,5,0.069,44.98
Vibo Valentia,63,26/04/2020,0,72,0,5,0.069,44.98
Vibo Valentia,64,27/04/2020,1,73,0,5,0.068,45.6
Vibo Valentia,65,28/04/2020,0,73,0,5,0.068,45.6
Vibo Valentia,66,29/04/2020,2,75,0,5,0.067,46.85
Vibo Valentia,67,30/04/2020,0,75,0,5,0.067,46.85
Vibo Valentia,68,01/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,69,02/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,70,03/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,71,04/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,72,05/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,73,06/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,74,07/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,75,08/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,76,09/05/2020,0,75,0,5,0.067,46.85
Vibo Valentia,77,10/05/2020,1,76,0,5,0.066,47.48
